timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
Break
1117697267,0.42,-3.03,9.96,0.24,0.32,-0.48,10.25,21.19,-35.75
1117711406,0.42,-3.03,9.96,0.21,0.40,-0.36,10.25,21.19,-35.75
1117715851,0.42,-3.03,9.96,-0.11,-0.05,-0.25,10.25,21.19,-35.75
1117724594,0.42,-3.03,9.96,-0.09,-0.02,-0.20,10.25,21.19,-35.75
1117735561,-0.46,-1.00,10.00,-0.09,-0.02,-0.20,10.25,21.19,-35.75
1117746655,-0.46,-1.00,10.00,-0.10,-0.02,-0.22,10.25,21.19,-35.75
1117755191,-0.46,-1.00,10.00,-0.08,-0.07,-0.24,10.25,21.19,-35.75
1117765807,-0.46,-1.00,10.00,-0.08,-0.08,-0.25,10.25,21.19,-35.75
1117775531,-0.46,-1.00,10.00,-0.09,-0.04,-0.26,10.25,21.19,-35.75
1117785581,-0.46,-1.00,10.00,-0.10,0.02,-0.25,10.25,21.19,-35.75
1117795472,-0.46,-1.00,10.00,-0.07,0.03,-0.23,10.25,21.19,-35.75
1117805928,-1.95,-0.77,8.20,-0.07,0.03,-0.23,10.25,21.19,-35.75
1117815520,-1.95,-0.77,8.20,-0.02,-0.08,-0.15,10.25,21.19,-35.75
1117825100,-1.95,-0.77,8.20,-0.02,-0.07,-0.12,10.25,21.19,-35.75
1117835891,-1.95,-0.77,8.20,-0.01,-0.01,-0.08,10.25,21.19,-35.75
1117845540,-1.95,-0.77,8.20,0.01,-0.02,-0.03,10.25,21.19,-35.75
1117855571,-1.95,-0.77,8.20,0.05,-0.08,0.01,10.25,21.19,-35.75
1117865810,-1.95,-0.77,8.20,0.06,-0.05,0.04,10.25,21.19,-35.75
1117875476,-1.95,-0.77,8.20,0.08,-0.03,0.07,10.25,21.19,-35.75
1117885554,-1.95,-0.77,8.20,0.08,-0.01,0.11,10.25,21.19,-35.75
1117895227,-1.95,-0.77,8.20,0.10,-0.02,0.11,10.25,21.19,-35.75
1117905850,-1.95,-0.77,8.20,0.08,0.01,0.14,10.25,21.19,-35.75
1117915530,-1.95,-0.77,8.20,0.06,-0.03,0.13,10.25,21.19,-35.75
1117925528,-1.95,-0.77,8.20,0.05,-0.02,0.14,10.25,21.19,-35.75
1117935932,-1.95,-0.77,8.20,0.09,-0.04,0.18,10.25,21.19,-35.75
1117946545,-1.95,-0.77,8.20,0.11,0.01,0.24,10.25,21.19,-35.75
1117955536,-1.95,-0.77,8.20,0.13,0.01,0.28,10.25,21.19,-35.75
1117965126,-1.95,-0.77,8.20,0.12,0.04,0.29,10.25,21.19,-35.75
1117975826,-1.95,-0.77,8.20,0.09,0.05,0.30,10.25,21.19,-35.75
1117985565,-1.95,-0.77,8.20,0.09,-0.10,0.28,10.25,21.19,-35.75
1117995541,-1.95,-0.77,8.20,0.06,-0.08,0.21,10.25,21.19,-35.75
1118005891,-1.95,-0.77,8.20,-0.01,0.04,0.17,10.25,21.19,-35.75
1118015502,-1.95,-0.77,8.20,-0.01,0.01,0.13,10.25,21.19,-35.75
1118025496,-1.95,-0.77,8.20,-0.06,0.04,0.08,10.25,21.19,-35.75
1118036297,-1.95,-0.77,8.20,-0.09,0.00,0.03,10.25,21.19,-35.75
1118045844,-1.95,-0.77,8.20,-0.06,-0.13,-0.01,10.25,21.19,-35.75
1118055528,-1.95,-0.77,8.20,-0.10,-0.03,-0.05,10.25,21.19,-35.75
1118065430,-1.95,-0.77,8.20,-0.11,0.05,-0.08,10.25,21.19,-35.75
1118075820,-1.95,-0.77,8.20,-0.12,0.08,-0.14,10.25,21.19,-35.75
1118086208,-1.95,-0.77,8.20,-0.13,0.01,-0.19,10.25,21.19,-35.75
1118097003,-1.95,-0.77,8.20,-0.22,-0.02,-0.28,10.25,21.19,-35.75
1118106382,-1.95,-0.77,8.20,-0.22,-0.10,-0.36,10.25,21.19,-35.75
1118115501,-1.95,-0.77,8.20,-0.18,-0.08,-0.32,10.25,21.19,-35.75
1118125468,-1.95,-0.77,8.20,-0.16,-0.02,-0.31,10.25,21.19,-35.75
1118135269,-1.95,-0.77,8.20,-0.18,0.05,-0.33,10.25,21.19,-35.75
1118146545,-1.95,-0.77,8.20,-0.14,0.02,-0.28,10.25,21.19,-35.75
1118156151,-1.95,-0.77,8.20,-0.15,-0.03,-0.28,10.25,21.19,-35.75
1118165557,-1.95,-0.77,8.20,-0.17,-0.09,-0.34,10.25,21.19,-35.75
1118176467,-1.95,-0.77,8.20,-0.14,-0.11,-0.34,10.25,21.19,-35.75
1118186141,-1.95,-0.77,8.20,-0.11,-0.02,-0.32,10.25,21.19,-35.75
1118196273,-1.95,-0.77,8.20,-0.11,0.07,-0.34,10.25,21.19,-35.75
1118205142,-1.95,-0.77,8.20,-0.12,0.11,-0.36,10.25,21.19,-35.75
1118215425,-1.95,-0.77,8.20,-0.13,0.04,-0.40,10.25,21.19,-35.75
