timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
34351813,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34369547,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34371243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34379776,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34391255,0.00,0.00,0.00,-0.20,0.36,0.30,0.00,0.00,0.00
34399990,0.00,0.00,0.00,-0.20,0.36,0.30,0.00,0.00,0.00
34413575,-3.68,-1.23,9.08,-0.20,0.36,0.30,0.00,0.00,0.00
34421266,-3.68,-1.23,9.08,-0.15,-0.07,0.25,0.00,0.00,0.00
34430868,10.69,3.41,16.89,-0.15,-0.07,0.25,0.00,0.00,0.00
34441554,3.60,2.22,10.96,-0.15,-0.07,0.25,0.00,0.00,0.00
34451227,3.60,2.22,10.96,-0.22,0.22,0.30,0.00,0.00,0.00
34461300,-2.18,-1.04,7.93,-0.22,0.22,0.30,0.00,0.00,0.00
34471522,2.45,4.18,12.41,-0.22,0.22,0.30,0.00,0.00,0.00
34481219,2.45,4.18,12.41,-0.35,0.21,0.15,0.00,0.00,0.00
34490552,2.45,4.18,12.41,-0.16,-0.25,0.10,0.00,0.00,0.00
34500830,5.82,-2.22,9.73,-0.16,-0.25,0.10,0.00,0.00,0.00
34511621,2.11,-3.87,11.30,-0.16,-0.25,0.10,0.00,0.00,0.00
34521239,2.11,-3.87,11.30,-0.05,-0.19,0.06,0.00,0.00,0.00
34531368,0.88,0.50,9.16,-0.05,-0.19,0.06,0.00,0.00,0.00
34541563,2.64,1.61,7.39,-0.05,-0.19,0.06,0.00,0.00,0.00
34551340,2.64,1.61,7.39,-0.15,0.06,0.13,0.00,0.00,0.00
34560708,2.64,1.61,7.39,-0.27,0.03,0.06,0.00,0.00,0.00
34571158,4.79,-0.34,17.78,-0.27,0.03,0.06,0.00,0.00,0.00
34581228,4.79,-0.34,17.78,-0.14,-0.05,-0.13,0.00,0.00,0.00
34591248,4.79,-0.34,17.78,-0.21,0.23,-0.07,0.00,0.00,0.00
34601276,1.15,-1.76,8.58,-0.21,0.23,-0.07,0.00,0.00,0.00
34611602,3.87,-0.19,9.81,-0.21,0.23,-0.07,0.00,0.00,0.00
34621236,3.87,-0.19,9.81,-0.29,0.22,-0.09,0.00,0.00,0.00
34630610,3.87,-0.19,9.81,-0.30,0.00,-0.02,0.00,0.00,0.00
34641849,4.64,-6.55,16.05,-0.30,0.00,-0.02,0.00,0.00,0.00
34651237,4.64,-6.55,16.05,-0.14,-0.08,-0.19,0.00,0.00,0.00
34661321,4.64,-6.55,16.05,-0.30,0.35,-0.01,0.00,0.00,0.00
34671148,-6.74,-1.57,11.84,-0.30,0.35,-0.01,0.00,0.00,0.00
34681516,1.65,0.92,7.24,-0.30,0.35,-0.01,0.00,0.00,0.00
34691359,1.65,0.92,7.24,-0.14,-0.02,0.07,0.00,0.00,0.00
34700558,1.65,0.92,7.24,-0.04,-0.25,0.08,0.00,0.00,0.00
34711701,-3.95,-1.27,10.27,-0.04,-0.25,0.08,0.00,0.00,0.00
34721240,-3.95,-1.27,10.27,-0.40,0.62,0.21,0.00,0.00,0.00
34731314,-3.95,-1.27,10.27,-0.11,-0.17,0.03,0.00,0.00,0.00
34741006,9.92,1.42,11.57,-0.11,-0.17,0.03,0.00,0.00,0.00
34751676,11.57,-1.00,10.69,-0.11,-0.17,0.03,0.00,0.00,0.00
34761357,11.57,-1.00,10.69,-0.13,0.32,0.26,0.00,0.00,0.00
34771256,11.57,-1.00,10.69,-0.08,0.15,0.26,0.00,0.00,0.00
34781514,-10.23,-1.72,12.95,-0.08,0.15,0.26,0.00,0.00,0.00
34791245,-10.23,-1.72,12.95,-0.03,-0.29,0.01,0.00,0.00,0.00
34801271,-10.23,-1.72,12.95,-0.04,0.02,0.11,0.00,0.00,0.00
34811040,-11.30,-2.99,-0.19,-0.04,0.02,0.11,0.00,0.00,0.00
34821496,-9.12,-1.49,1.15,-0.04,0.02,0.11,0.00,0.00,0.00
34831237,-9.12,-1.49,1.15,0.10,-0.59,0.04,0.00,0.00,0.00
34841300,-9.12,-1.49,1.15,-0.12,0.01,0.07,0.00,0.00,0.00
34851556,-0.92,-2.91,3.33,-0.12,0.01,0.07,0.00,0.00,0.00
34861385,-0.92,-2.91,3.33,-0.08,-0.03,0.13,0.00,0.00,0.00
34870559,-0.92,-2.91,3.33,-0.04,-0.17,0.08,0.00,0.00,0.00
34880803,2.72,0.19,14.21,-0.04,-0.17,0.08,0.00,0.00,0.00
34891567,3.26,-1.15,16.78,-0.04,-0.17,0.08,0.00,0.00,0.00
34901218,3.26,-1.15,16.78,-0.12,-0.02,0.11,0.00,0.00,0.00
34911329,3.26,-1.15,16.78,-0.18,0.31,0.12,0.00,0.00,0.00
34921536,-6.40,-2.84,2.95,-0.18,0.31,0.12,0.00,0.00,0.00
34931253,-6.40,-2.84,2.95,0.01,-0.36,-0.04,0.00,0.00,0.00
34940622,-6.40,-2.84,2.95,-0.16,0.04,-0.07,0.00,0.00,0.00
34951286,-2.57,0.19,9.20,-0.16,0.04,-0.07,0.00,0.00,0.00
34961364,-2.57,0.19,9.20,-0.18,-0.08,-0.16,0.00,0.00,0.00
34971233,-2.57,0.19,9.20,-0.07,-0.08,-0.10,0.00,0.00,0.00
34981287,-2.57,0.19,9.20,-0.07,-0.05,-0.06,0.00,0.00,0.00
34991514,-7.74,-2.61,9.50,-0.07,-0.05,-0.06,0.00,0.00,0.00
