timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
83168648,-4.94,-0.30,8.28,-0.34,-0.05,-0.59,-15.81,11.06,-53.12
83183234,-4.94,-0.30,8.28,-0.33,-0.05,-0.60,-15.81,11.06,-53.12
83187155,-4.94,-0.30,8.28,0.05,-0.09,0.21,-15.81,11.06,-53.12
83196280,-4.94,-0.30,8.28,0.05,-0.23,0.23,-15.81,11.06,-53.12
83206637,-4.94,-0.30,8.28,0.05,-0.23,0.23,-10.31,-2.88,-49.88
83217441,-4.94,-0.30,8.28,-0.11,-0.11,0.15,-10.31,-2.88,-49.88
83227112,-4.94,-0.30,8.28,-0.14,0.10,0.28,-10.31,-2.88,-49.88
83237224,-4.94,-0.30,8.28,-0.02,0.10,0.43,-10.31,-2.88,-49.88
83246762,-4.94,-0.30,8.28,0.06,0.03,0.39,-10.31,-2.88,-49.88
83257461,-4.94,-0.30,8.28,0.11,-0.03,0.42,-10.31,-2.88,-49.88
83267129,-4.94,-0.30,8.28,0.06,-0.14,0.44,-10.31,-2.88,-49.88
83277240,-4.94,-0.30,8.28,-0.05,-0.14,0.35,-10.31,-2.88,-49.88
83287194,-4.94,-0.30,8.28,-0.05,-0.09,0.31,-10.31,-2.88,-49.88
83297440,-1.46,-2.38,9.50,-0.05,-0.09,0.31,-10.31,-2.88,-49.88
83307235,-1.46,-2.38,9.50,-0.11,0.31,0.35,-10.31,-2.88,-49.88
83316810,-1.46,-2.38,9.50,0.05,-0.24,0.27,-10.31,-2.88,-49.88
83327457,-1.46,-2.38,9.50,-0.05,-0.05,0.28,-10.31,-2.88,-49.88
83337151,-1.46,-2.38,9.50,-0.24,0.39,0.25,-10.31,-2.88,-49.88
83347159,-1.46,-2.38,9.50,-0.01,-0.24,0.11,-10.31,-2.88,-49.88
83357155,-1.46,-2.38,9.50,-0.12,-0.00,0.06,-10.31,-2.88,-49.88
83368935,-5.09,0.27,13.41,-0.12,-0.00,0.06,-10.31,-2.88,-49.88
83377970,-5.09,0.27,13.41,-0.22,-0.19,-0.01,-10.31,-2.88,-49.88
83387971,-5.09,0.27,13.41,-0.14,-0.13,0.00,-10.31,-2.88,-49.88
83398122,-5.09,0.27,13.41,-0.29,0.37,0.07,-10.31,-2.88,-49.88
83407114,-5.09,0.27,13.41,-0.21,-0.04,-0.03,-10.31,-2.88,-49.88
83417000,-5.09,0.27,13.41,-0.17,-0.28,-0.18,-10.31,-2.88,-49.88
83428186,-5.09,0.27,13.41,-0.05,-0.38,-0.19,-10.31,-2.88,-49.88
83437870,-5.09,0.27,13.41,-0.23,-0.05,-0.00,-10.31,-2.88,-49.88
83447958,-5.09,0.27,13.41,-0.24,0.12,-0.04,-10.31,-2.88,-49.88
83457765,-5.09,0.27,13.41,-0.16,0.31,0.13,-10.31,-2.88,-49.88
83468092,-5.09,0.27,13.41,-0.13,0.08,-0.01,-10.31,-2.88,-49.88
83477920,-5.09,0.27,13.41,-0.27,0.06,-0.20,-10.31,-2.88,-49.88
83486815,-5.09,0.27,13.41,-0.17,-0.20,-0.21,-10.31,-2.88,-49.88
83498058,-5.09,0.27,13.41,-0.19,-0.25,-0.26,-10.31,-2.88,-49.88
83507727,-5.09,0.27,13.41,-0.25,-0.15,-0.33,-10.31,-2.88,-49.88
83517778,-5.09,0.27,13.41,-0.20,0.04,-0.25,-10.31,-2.88,-49.88
83528053,-5.09,0.27,13.41,-0.25,0.08,-0.21,-10.31,-2.88,-49.88
83537662,-5.09,0.27,13.41,-0.19,-0.26,-0.28,-10.31,-2.88,-49.88
83547856,-5.09,0.27,13.41,-0.05,-0.23,-0.31,-10.31,-2.88,-49.88
83556743,-5.09,0.27,13.41,-0.28,0.47,-0.43,-10.31,-2.88,-49.88
83568082,-5.09,0.27,13.41,-0.36,0.12,-0.51,-10.31,-2.88,-49.88
83577689,-5.09,0.27,13.41,-0.08,-0.45,-0.45,-10.31,-2.88,-49.88
83587812,-5.09,0.27,13.41,-0.25,-0.12,-0.34,-10.31,-2.88,-49.88
83597985,-5.09,0.27,13.41,-0.21,-0.39,-0.50,-10.31,-2.88,-49.88
83607652,-5.09,0.27,13.41,-0.19,0.05,-0.40,-10.31,-2.88,-49.88
83617767,-5.09,0.27,13.41,-0.28,0.69,-0.10,-10.31,-2.88,-49.88
83626842,-5.09,0.27,13.41,-0.07,-0.10,-0.21,-10.31,-2.88,-49.88
83638064,-5.09,0.27,13.41,0.04,-0.57,-0.26,-10.31,-2.88,-49.88
83647689,-5.09,0.27,13.41,-0.10,-0.14,-0.28,-10.31,-2.88,-49.88
83657644,-5.09,0.27,13.41,-0.18,0.03,-0.21,-10.31,-2.88,-49.88
83667951,-5.09,0.27,13.41,0.01,-0.24,-0.12,-10.31,-2.88,-49.88
83677617,-5.09,0.27,13.41,-0.11,0.28,-0.06,-10.31,-2.88,-49.88
83687864,-5.09,0.27,13.41,0.09,0.03,0.08,-10.31,-2.88,-49.88
83697936,-5.09,0.27,13.41,0.24,-0.34,0.02,-10.31,-2.88,-49.88
83707908,-5.09,0.27,13.41,-0.16,0.13,-0.05,-10.31,-2.88,-49.88
83717597,-5.09,0.27,13.41,-0.10,0.05,-0.09,-10.31,-2.88,-49.88
83727655,-5.09,0.27,13.41,0.21,-0.18,-0.02,-10.31,-2.88,-49.88
83737967,-5.09,0.27,13.41,-0.04,0.26,-0.17,-10.31,-2.88,-49.88
83747626,-5.09,0.27,13.41,-0.18,0.06,-0.16,-10.31,-2.88,-49.88
83757694,-5.09,0.27,13.41,0.09,-0.21,-0.07,-10.31,-2.88,-49.88
83767809,-5.09,0.27,13.41,-0.18,0.21,0.07,-10.31,-2.88,-49.88
83778121,-5.09,0.27,13.41,0.17,-0.38,0.09,-10.31,-2.88,-49.88
83787854,-5.09,0.27,13.41,0.28,-0.26,0.06,-10.31,-2.88,-49.88
83797470,-5.09,0.27,13.41,-0.01,0.67,0.21,-10.31,-2.88,-49.88
83807540,-5.09,0.27,13.41,-0.07,0.65,0.19,-10.31,-2.88,-49.88
83817989,-5.09,0.27,13.41,0.16,-0.50,0.06,-10.31,-2.88,-49.88
83827688,-5.09,0.27,13.41,-0.04,-0.30,-0.35,-10.31,-2.88,-49.88
83837588,-5.09,0.27,13.41,-0.27,0.35,-0.28,-10.31,-2.88,-49.88
83847909,-5.09,0.27,13.41,-0.12,0.15,-0.22,-10.31,-2.88,-49.88
83857768,-5.09,0.27,13.41,-0.25,0.22,-0.05,-10.31,-2.88,-49.88
83867394,-5.09,0.27,13.41,0.27,-0.39,0.02,-10.31,-2.88,-49.88
83877921,-5.09,0.27,13.41,0.46,-0.35,0.01,-10.31,-2.88,-49.88
83887620,-5.09,0.27,13.41,0.21,0.41,-0.01,-10.31,-2.88,-49.88
83897679,-5.09,0.27,13.41,-0.19,0.66,0.12,-10.31,-2.88,-49.88
83907570,-5.09,0.27,13.41,-0.07,-0.01,0.17,-10.31,-2.88,-49.88
83917932,-5.09,0.27,13.41,0.11,-0.51,0.05,-10.31,-2.88,-49.88
83927692,-5.09,0.27,13.41,0.08,-0.17,0.01,-10.31,-2.88,-49.88
83937314,-5.09,0.27,13.41,0.09,0.35,0.07,-10.31,-2.88,-49.88
83947905,-5.09,0.27,13.41,-0.03,0.72,0.24,-10.31,-2.88,-49.88
83957632,-5.09,0.27,13.41,0.13,0.18,0.29,-10.31,-2.88,-49.88
83967786,-5.09,0.27,13.41,0.04,-0.28,0.33,-10.31,-2.88,-49.88
83977624,-5.09,0.27,13.41,0.18,-0.50,0.21,-10.31,-2.88,-49.88
83988000,-5.09,0.27,13.41,0.28,-0.14,0.32,-10.31,-2.88,-49.88
83997724,-5.09,0.27,13.41,0.31,0.27,0.59,-10.31,-2.88,-49.88
84007310,-5.09,0.27,13.41,0.36,0.21,0.52,-10.31,-2.88,-49.88
84017887,-5.09,0.27,13.41,-0.11,0.53,0.43,-10.31,-2.88,-49.88
84027601,-5.09,0.27,13.41,0.15,-0.34,0.59,-10.31,-2.88,-49.88
84037649,-5.09,0.27,13.41,0.37,-0.64,0.28,-10.31,-2.88,-49.88
84047982,-5.09,0.27,13.41,0.01,0.24,0.25,-10.31,-2.88,-49.88
84057670,-5.09,0.27,13.41,-0.15,0.67,0.50,-10.31,-2.88,-49.88
84067682,-5.09,0.27,13.41,0.48,-0.43,0.51,-10.31,-2.88,-49.88
84077275,-5.09,0.27,13.41,0.45,-0.48,0.56,-10.31,-2.88,-49.88
84087966,-5.09,0.27,13.41,0.09,0.20,0.52,-10.31,-2.88,-49.88
84097573,-5.09,0.27,13.41,0.09,0.02,0.51,-10.31,-2.88,-49.88
84107650,-5.09,0.27,13.41,0.20,-0.19,0.46,-10.31,-2.88,-49.88
84117987,-5.09,0.27,13.41,-0.00,0.39,0.38,-10.31,-2.88,-49.88
84127547,-5.09,0.27,13.41,-0.17,0.30,0.36,-10.31,-2.88,-49.88
84137688,-5.09,0.27,13.41,0.29,-0.54,0.38,-10.31,-2.88,-49.88
84147180,-5.09,0.27,13.41,0.09,-0.24,0.43,-10.31,-2.88,-49.88
84157597,-5.09,0.27,13.41,0.16,-0.36,0.49,-10.31,-2.88,-49.88
84168119,-5.09,0.27,13.41,0.15,0.01,0.43,-10.31,-2.88,-49.88
84177471,-5.09,0.27,13.41,-0.05,0.56,0.61,-10.31,-2.88,-49.88
84187581,-5.09,0.27,13.41,0.10,0.08,0.54,-10.31,-2.88,-49.88
84197917,-5.09,0.27,13.41,0.07,-0.36,0.46,-10.31,-2.88,-49.88
84207687,-5.09,0.27,13.41,0.10,-0.57,0.29,-10.31,-2.88,-49.88
84217581,-5.09,0.27,13.41,-0.02,-0.25,0.20,-10.31,-2.88,-49.88
84227945,-5.09,0.27,13.41,-0.01,-0.02,0.24,-10.31,-2.88,-49.88
84237686,-5.09,0.27,13.41,-0.13,0.41,0.13,-10.31,-2.88,-49.88
84247259,-5.09,0.27,13.41,-0.29,0.48,0.22,-10.31,-2.88,-49.88
84257528,-5.09,0.27,13.41,0.06,-0.55,0.27,-10.31,-2.88,-49.88
84267912,-5.09,0.27,13.41,0.10,-0.72,-0.01,-10.31,-2.88,-49.88
84277627,-5.09,0.27,13.41,-0.16,0.02,-0.10,-10.31,-2.88,-49.88
84287572,-5.09,0.27,13.41,-0.17,0.21,0.09,-10.31,-2.88,-49.88
84297837,-5.09,0.27,13.41,-0.12,0.16,0.02,-10.31,-2.88,-49.88
84307617,-5.09,0.27,13.41,-0.19,-0.01,-0.11,-10.31,-2.88,-49.88
84317034,-5.09,0.27,13.41,-0.11,-0.35,-0.36,-10.31,-2.88,-49.88
84327447,-5.09,0.27,13.41,-0.24,0.01,-0.43,-10.31,-2.88,-49.88
84337900,-5.09,0.27,13.41,-0.29,0.19,-0.39,-10.31,-2.88,-49.88
84347558,-5.09,0.27,13.41,-0.25,0.04,-0.40,-10.31,-2.88,-49.88
84357477,-5.09,0.27,13.41,-0.23,0.03,-0.43,-10.31,-2.88,-49.88
84367841,-5.09,0.27,13.41,-0.07,-0.22,-0.42,-10.31,-2.88,-49.88
