timestamp,quatI,quatJ,quatK,quatReal
Right
247350747,-0.07,-0.08,0.99,0.00
247360050,-0.07,-0.08,0.99,0.01
247361226,-0.01,-0.01,1.00,0.06
247363682,-0.01,-0.01,1.00,0.06
247366933,-0.01,-0.01,1.00,0.06
247368716,-0.01,-0.01,1.00,0.06
247371444,-0.01,-0.01,1.00,0.06
247372690,-0.01,-0.01,1.00,0.06
247376243,-0.01,-0.01,1.00,0.06
247380107,-0.01,-0.01,1.00,0.06
247382105,-0.01,-0.01,1.00,0.06
247385178,-0.01,-0.01,1.00,0.05
247387680,-0.01,-0.01,1.00,0.05
247389436,-0.01,-0.01,1.00,0.05
247392239,-0.01,-0.01,1.00,0.05
247395243,-0.01,-0.01,1.00,0.05
247398316,-0.01,-0.01,1.00,0.05
247401263,-0.01,-0.01,1.00,0.05
247404222,-0.01,-0.01,1.00,0.05
247407252,-0.01,-0.01,1.00,0.05
247410254,-0.01,-0.01,1.00,0.05
247413230,-0.01,-0.01,1.00,0.05
247416232,-0.01,-0.01,1.00,0.05
247419910,-0.01,-0.01,1.00,0.05
247422814,-0.01,-0.01,1.00,0.05
247479360,-0.01,-0.01,1.00,0.05
247489123,-0.01,-0.01,1.00,0.05
247490496,-0.01,-0.00,1.00,0.05
247492118,-0.01,0.00,1.00,0.05
247494426,-0.01,0.00,1.00,0.05
247498977,-0.01,0.00,1.00,0.04
247500222,-0.01,0.00,1.00,0.04
247503454,-0.01,0.00,1.00,0.04
247506709,-0.01,0.00,1.00,0.04
247508505,-0.01,0.00,1.00,0.04
247511347,-0.01,0.00,1.00,0.04
247514803,-0.01,0.00,1.00,0.04
247516800,-0.01,0.00,1.00,0.04
247520292,-0.01,0.00,1.00,0.04
247522372,-0.01,0.00,1.00,0.04
247525110,-0.01,0.00,1.00,0.04
247527275,-0.01,0.00,1.00,0.04
247530442,-0.01,0.00,1.00,0.04
247533270,-0.01,0.00,1.00,0.04
247536246,-0.01,0.00,1.00,0.04
247539336,-0.01,0.00,1.00,0.04
247543097,-0.01,0.00,1.00,0.04
247545476,-0.01,0.00,1.00,0.04
247548304,-0.01,0.00,1.00,0.04
247551286,-0.01,0.00,1.00,0.04
247554270,-0.01,0.00,1.00,0.04
247557906,-0.01,0.00,1.00,0.04
247560518,-0.01,0.00,1.00,0.04
247563390,-0.01,0.00,1.00,0.04
247566240,-0.01,0.00,1.00,0.04
247569246,-0.01,0.00,1.00,0.04
247573014,-0.01,0.00,1.00,0.04
247575387,-0.01,0.00,1.00,0.04
247578242,-0.01,0.00,1.00,0.04
247581222,-0.01,0.00,1.00,0.04
247584236,-0.01,0.00,1.00,0.04
247587896,-0.01,0.00,1.00,0.04
247590382,-0.01,0.00,1.00,0.04
247593228,-0.01,0.00,1.00,0.04
247596306,-0.01,0.00,1.00,0.04
247600023,-0.01,0.00,1.00,0.04
247602301,-0.01,0.00,1.00,0.04
247605457,-0.01,0.00,1.00,0.04
247608260,-0.01,0.00,1.00,0.04
247611266,-0.01,0.00,1.00,0.04
247614930,-0.01,0.00,1.00,0.04
247617240,-0.01,0.00,1.00,0.03
247620350,-0.01,0.00,1.00,0.03
247623239,-0.01,0.00,1.00,0.03
247626239,-0.01,0.00,1.00,0.03
247629246,-0.01,0.00,1.00,0.03
247633491,-0.01,0.00,1.00,0.03
247635335,-0.01,0.00,1.00,0.03
247638214,-0.01,0.00,1.00,0.03
247641227,-0.01,0.00,1.00,0.03
247644234,-0.01,0.00,1.00,0.03
247647771,-0.01,0.00,1.00,0.03
247650369,-0.01,0.00,1.00,0.03
247653266,-0.01,0.00,1.00,0.03
247656220,-0.01,0.00,1.00,0.03
247659281,-0.01,0.00,1.00,0.03
247662273,-0.01,0.00,1.00,0.03
247666197,-0.01,0.00,1.00,0.03
247668940,-0.01,0.00,1.00,0.03
247671345,-0.01,0.00,1.00,0.03
247674249,-0.01,0.00,1.00,0.03
247677242,-0.01,0.00,1.00,0.03
247680304,-0.01,0.00,1.00,0.03
247683246,-0.01,0.00,1.00,0.03
247686221,-0.01,0.00,1.00,0.03
247689907,-0.01,0.00,1.00,0.03
247692241,-0.01,0.00,1.00,0.03
247695248,-0.01,0.00,1.00,0.03
247698241,-0.01,0.00,1.00,0.03
247701902,-0.01,0.00,1.00,0.03
247704249,-0.01,0.00,1.00,0.03
247707247,-0.01,0.00,1.00,0.03
247710327,-0.01,-0.00,1.00,0.03
247713346,-0.01,-0.00,1.00,0.03
247716223,-0.01,-0.00,1.00,0.03
247719317,-0.01,-0.00,1.00,0.03
247723741,-0.01,-0.00,1.00,0.03
247725275,-0.01,-0.00,1.00,0.03
247728260,-0.01,-0.00,1.00,0.03
247731253,-0.01,-0.00,1.00,0.03
247734301,-0.01,-0.00,1.00,0.03
247737898,-0.01,-0.00,1.00,0.03
247740229,-0.01,-0.00,1.00,0.03
247743224,-0.01,-0.00,1.00,0.03
247747021,-0.01,-0.00,1.00,0.03
247749247,-0.01,-0.00,1.00,0.03
247752724,-0.01,-0.00,1.00,0.03
247755256,-0.01,-0.00,1.00,0.03
247758230,-0.01,-0.00,1.00,0.03
247761232,-0.01,-0.00,1.00,0.03
247764886,-0.01,-0.00,1.00,0.03
247767253,-0.01,-0.00,1.00,0.03
247770308,-0.01,-0.00,1.00,0.03
247773260,-0.01,-0.00,1.00,0.03
247776232,-0.01,-0.00,1.00,0.03
247779980,-0.01,-0.00,1.00,0.03
247782271,-0.01,-0.00,1.00,0.03
247785412,-0.01,-0.00,1.00,0.03
247788258,-0.01,-0.00,1.00,0.03
247791919,-0.01,-0.00,1.00,0.03
247794255,-0.01,-0.00,1.00,0.03
247797374,-0.01,-0.00,1.00,0.03
247800230,-0.01,-0.00,1.00,0.03
247803280,-0.01,-0.00,1.00,0.03
247806240,-0.01,-0.00,1.00,0.03
247809896,-0.01,-0.00,1.00,0.03
247812249,-0.01,-0.00,1.00,0.03
247815228,-0.01,-0.00,1.00,0.03
247818234,-0.01,-0.00,1.00,0.03
247821326,-0.01,-0.00,1.00,0.03
247824908,-0.01,-0.00,1.00,0.03
247827293,-0.01,-0.00,1.00,0.03
247830224,-0.01,-0.00,1.00,0.03
247833355,-0.01,-0.00,1.00,0.03
247836952,-0.01,-0.01,1.00,0.03
247839333,-0.01,-0.01,1.00,0.03
247842947,-0.01,-0.01,1.00,0.03
247845269,-0.01,-0.01,1.00,0.03
247848278,-0.01,-0.01,1.00,0.03
247851932,-0.01,-0.01,1.00,0.03
247854259,-0.01,-0.01,1.00,0.03
247857267,-0.01,-0.01,1.00,0.03
247860229,-0.01,-0.01,1.00,0.03
247863225,-0.01,-0.01,1.00,0.03
247866229,-0.01,-0.01,1.00,0.03
247869902,-0.01,-0.01,1.00,0.03
247872324,-0.01,-0.01,1.00,0.03
247875224,-0.01,-0.01,1.00,0.03
247878247,-0.01,-0.01,1.00,0.03
247881219,-0.01,-0.01,1.00,0.03
247884902,-0.01,-0.01,1.00,0.03
247887263,-0.01,-0.01,1.00,0.03
247890314,-0.01,-0.01,1.00,0.03
247893295,-0.01,-0.01,1.00,0.03
247896334,-0.01,-0.01,1.00,0.03
247899300,-0.01,-0.01,1.00,0.03
247902950,-0.01,-0.01,1.00,0.03
247905286,-0.01,-0.01,1.00,0.03
247908266,-0.01,-0.01,1.00,0.03
247911222,-0.01,-0.01,1.00,0.03
247914887,-0.01,-0.01,1.00,0.03
247917294,-0.01,-0.01,1.00,0.03
247920235,-0.00,-0.01,1.00,0.02
247923252,-0.00,-0.01,1.00,0.02
247926243,-0.00,-0.01,1.00,0.02
247929892,-0.00,-0.01,1.00,0.02
247932251,-0.00,-0.01,1.00,0.02
247935250,-0.00,-0.01,1.00,0.02
247938245,-0.00,-0.01,1.00,0.02
247941953,-0.00,-0.01,1.00,0.02
247944264,-0.00,-0.01,1.00,0.02
247947324,-0.00,-0.01,1.00,0.02
247950224,-0.00,-0.01,1.00,0.02
247953247,-0.00,-0.01,1.00,0.02
247956250,-0.00,-0.01,1.00,0.02
247959964,-0.00,-0.01,1.00,0.02
247962905,-0.00,-0.01,1.00,0.02
247965339,-0.00,-0.01,1.00,0.02
247968260,-0.00,-0.01,1.00,0.02
