timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
Left
6,-4.21,0.23,11.15,-0.24,0.02,-0.26
18,-1.46,-2.68,12.64,-0.24,0.02,-0.26
21,-1.46,-2.68,12.64,0.38,0.28,0.26
22,-1.46,-2.68,12.64,0.47,0.05,0.36
25,0.27,-0.88,6.82,0.47,0.05,0.36
30,0.27,-0.88,6.82,0.47,-0.08,0.41
36,0.04,-1.72,8.35,0.47,-0.08,0.41
41,0.46,-1.38,9.30,0.47,-0.08,0.41
46,-1.04,-1.65,9.73,0.47,-0.08,0.41
51,-1.04,-1.65,9.73,0.51,0.09,0.45
56,-1.04,-1.65,9.73,0.49,0.05,0.46
61,-1.38,-0.42,9.27,0.49,0.05,0.46
66,-5.63,1.19,8.74,0.49,0.05,0.46
71,-7.47,1.72,8.08,0.49,0.05,0.46
76,-2.07,-0.73,6.97,0.49,0.05,0.46
81,-0.54,-2.30,7.27,0.49,0.05,0.46
86,-1.84,-2.41,8.20,0.49,0.05,0.46
91,-2.14,-2.61,8.27,0.49,0.05,0.46
96,5.94,-2.49,8.70,0.49,0.05,0.46
101,5.94,-2.49,8.70,0.48,-0.65,0.57
106,6.66,-1.88,8.62,0.48,-0.65,0.57
111,4.75,-2.91,8.01,0.48,-0.65,0.57
116,2.91,-2.80,5.86,0.48,-0.65,0.57
122,0.34,-2.76,6.47,0.48,-0.65,0.57
126,-1.46,-2.61,8.96,0.48,-0.65,0.57
131,0.04,-3.48,10.23,0.48,-0.65,0.57
137,1.15,-4.37,11.50,0.48,-0.65,0.57
141,1.57,-4.14,10.96,0.48,-0.65,0.57
146,2.68,-4.75,10.41,0.48,-0.65,0.57
151,2.76,-3.98,10.27,0.48,-0.65,0.57
156,2.45,-3.41,10.11,0.48,-0.65,0.57
161,1.72,-2.30,9.35,0.48,-0.65,0.57
167,-2.07,-0.77,7.97,0.48,-0.65,0.57
171,-2.07,-0.77,7.97,0.69,0.05,0.90
176,-2.07,-0.77,7.97,0.70,0.01,0.90
181,-4.02,-1.61,9.93,0.70,0.01,0.90
186,-4.48,-1.65,10.30,0.70,0.01,0.90
191,-3.56,-1.49,10.45,0.70,0.01,0.90
196,-2.45,-0.77,9.80,0.70,0.01,0.90
200,-2.76,-0.50,9.34,0.70,0.01,0.90
206,-2.76,-0.50,9.34,0.68,-0.20,1.16
212,0.00,6.51,6.47,0.68,-0.20,1.16
217,-1.91,10.15,9.54,0.68,-0.20,1.16
221,-1.91,10.15,9.54,0.54,-0.09,1.26
226,4.56,2.07,7.36,0.54,-0.09,1.26
231,5.29,0.19,8.58,0.54,-0.09,1.26
237,0.84,-3.07,9.65,0.54,-0.09,1.26
241,0.84,-3.07,9.65,0.52,-0.04,1.47
246,-0.30,0.08,7.97,0.52,-0.04,1.47
251,-3.56,0.34,10.07,0.52,-0.04,1.47
256,-3.56,0.34,10.07,0.58,-0.00,1.58
262,-3.60,2.45,11.26,0.58,-0.00,1.58
267,-3.41,1.30,12.34,0.58,-0.00,1.58
271,-3.41,1.30,12.34,0.43,-0.25,1.30
276,-3.41,1.30,12.34,0.38,-0.32,1.32
281,2.07,-4.94,16.21,0.38,-0.32,1.32
287,1.11,-2.80,15.86,0.38,-0.32,1.32
291,1.11,-2.80,15.86,0.54,0.21,1.43
296,1.11,-2.80,15.86,0.57,0.14,1.44
302,-4.71,-2.87,10.80,0.57,0.14,1.44
306,-4.71,-2.87,10.80,0.58,-0.15,1.31
311,-4.71,-2.87,10.80,0.57,-0.22,1.23
316,1.72,-3.79,9.23,0.57,-0.22,1.23
322,4.02,-3.33,9.54,0.57,-0.22,1.23
326,4.02,-3.33,9.54,0.53,0.13,1.17
331,2.49,-1.68,7.43,0.53,0.13,1.17
336,1.46,-1.61,7.16,0.53,0.13,1.17
341,4.14,0.69,9.73,0.53,0.13,1.17
347,4.14,0.69,9.73,0.30,-0.02,1.14
351,0.77,6.55,7.93,0.30,-0.02,1.14
357,6.86,1.53,7.31,0.30,-0.02,1.14
361,6.86,1.53,7.31,0.50,-0.12,0.98
366,4.45,4.18,9.27,0.50,-0.12,0.98
371,10.30,-0.77,10.57,0.50,-0.12,0.98
376,10.96,2.95,12.38,0.50,-0.12,0.98
381,5.25,8.20,10.73,0.50,-0.12,0.98
386,8.04,6.40,10.57,0.50,-0.12,0.98
392,5.71,7.78,9.93,0.50,-0.12,0.98
396,5.71,7.78,9.93,0.28,0.28,1.69
401,1.95,6.09,8.93,0.28,0.28,1.69
407,0.73,6.09,7.39,0.28,0.28,1.69
411,0.73,6.09,7.39,0.20,0.41,1.55
416,0.73,6.09,7.39,0.17,0.37,1.53
422,0.84,2.30,9.16,0.17,0.37,1.53
427,0.88,2.64,9.23,0.17,0.37,1.53
431,0.88,2.64,9.23,0.02,0.04,1.37
436,0.88,2.64,9.23,-0.04,-0.04,1.29
442,-0.11,1.42,10.49,-0.04,-0.04,1.29
446,-0.11,1.42,10.49,-0.08,0.04,1.10
451,1.15,-0.30,11.03,-0.08,0.04,1.10
456,0.27,-0.61,10.45,-0.08,0.04,1.10
462,-0.19,-1.65,9.65,-0.08,0.04,1.10
466,-0.19,-1.65,9.65,-0.13,0.25,0.83
471,0.27,-1.27,10.92,-0.13,0.25,0.83
477,1.95,-0.92,11.88,-0.13,0.25,0.83
481,1.95,-0.92,11.88,-0.19,0.50,0.56
486,-1.23,-0.54,9.30,-0.19,0.50,0.56
491,-1.53,0.96,8.16,-0.19,0.50,0.56
496,-1.53,0.96,8.16,-0.26,0.30,0.30
501,-1.53,0.96,8.16,-0.26,0.39,0.24
506,-3.10,-0.88,8.58,-0.26,0.39,0.24
512,-2.61,-0.08,8.58,-0.26,0.39,0.24
516,-2.61,-0.08,8.58,-0.24,0.29,0.10
521,0.57,-0.57,10.84,-0.24,0.29,0.10
527,0.88,0.04,11.91,-0.24,0.29,0.10
531,0.88,0.04,11.91,-0.20,0.25,0.20
535,0.88,0.04,11.91,-0.19,0.29,0.24
541,3.10,0.61,13.18,-0.19,0.29,0.24
546,3.10,0.61,13.18,-0.17,0.34,0.30
552,3.10,0.61,13.18,-0.14,0.34,0.36
557,3.10,0.61,13.18,-0.07,0.38,0.48
561,3.10,0.61,13.18,-0.08,0.43,0.54
566,3.10,0.61,13.18,-0.07,0.46,0.57
571,3.10,0.61,13.18,-0.07,0.47,0.61
576,1.19,0.77,12.11,-0.07,0.47,0.61
582,1.68,1.07,11.99,-0.07,0.47,0.61
586,1.68,1.07,11.99,-0.06,0.43,0.74
591,-0.73,2.61,7.32,-0.06,0.43,0.74
597,-1.11,3.37,6.32,-0.06,0.43,0.74
601,-1.11,3.37,6.32,-0.11,0.27,0.65
606,-3.33,2.22,4.14,-0.11,0.27,0.65
612,-2.49,1.99,4.29,-0.11,0.27,0.65
616,-2.49,1.99,4.29,-0.16,0.17,0.55
621,-2.49,1.99,4.29,-0.19,0.12,0.53
626,0.15,1.42,8.46,-0.19,0.12,0.53
632,1.49,0.57,7.97,-0.19,0.12,0.53
636,1.49,0.57,7.97,-0.13,0.40,0.49
641,-3.48,2.57,8.28,-0.13,0.40,0.49
647,-3.03,2.68,7.24,-0.13,0.40,0.49
651,-3.03,2.68,7.24,-0.19,0.28,0.39
656,-3.03,2.68,7.24,-0.21,0.30,0.30
661,-3.22,-0.23,10.95,-0.21,0.30,0.30
667,-2.45,-0.88,11.54,-0.21,0.30,0.30
671,-2.45,-0.88,11.54,-0.20,0.24,0.27
676,-2.45,-0.88,11.54,-0.20,0.20,0.30
682,-0.46,-0.27,10.11,-0.20,0.20,0.30
686,-0.46,-0.27,10.11,-0.19,0.24,0.27
691,-0.46,-0.27,10.11,-0.18,0.32,0.26
696,-0.46,-0.27,10.11,-0.16,0.38,0.26
702,-2.87,2.07,7.66,-0.16,0.38,0.26
706,-2.87,2.07,7.66,-0.14,0.41,0.23
711,-3.48,2.72,10.07,-0.14,0.41,0.23
716,-2.34,2.07,10.46,-0.14,0.41,0.23
722,-2.03,1.68,9.92,-0.14,0.41,0.23
726,-2.03,1.68,9.92,-0.18,0.28,0.32
731,0.65,0.80,9.54,-0.18,0.28,0.32
737,-1.11,0.65,8.08,-0.18,0.28,0.32
741,-1.11,0.65,8.08,-0.22,-0.01,0.28
746,2.07,-0.19,7.70,-0.22,-0.01,0.28
751,1.49,0.30,7.73,-0.22,-0.01,0.28
756,1.49,0.30,7.73,-0.14,0.03,0.32
761,1.49,0.30,7.73,-0.14,0.27,0.30
767,-0.84,1.46,9.20,-0.14,0.27,0.30
771,-0.84,1.46,9.20,-0.12,0.35,0.29
776,-0.84,1.46,9.20,-0.12,0.28,0.28
781,0.50,0.61,9.80,-0.12,0.28,0.28
787,-0.77,0.15,9.08,-0.12,0.28,0.28
791,-0.77,0.15,9.08,-0.16,0.10,0.24
796,-0.77,0.15,9.08,-0.18,0.08,0.21
802,0.80,0.30,10.27,-0.18,0.08,0.21
806,0.80,0.30,10.27,-0.19,0.09,0.12
811,0.80,0.30,10.27,-0.19,0.15,0.08
816,0.80,0.30,10.27,-0.18,0.20,0.04
822,0.08,-1.15,9.88,-0.18,0.20,0.04
826,0.08,-1.15,9.88,-0.18,0.18,-0.03
831,0.73,-0.11,9.12,-0.18,0.18,-0.03
836,-1.61,0.30,10.23,-0.18,0.18,-0.03
842,-0.11,0.27,10.23,-0.18,0.18,-0.03
846,-0.11,0.27,10.23,-0.13,0.09,-0.05
851,-3.91,0.61,11.38,-0.13,0.09,-0.05
857,-5.82,2.38,10.39,-0.13,0.09,-0.05
861,-5.82,2.38,10.39,-0.12,0.18,-0.14
866,-5.82,2.38,10.39,-0.12,0.16,-0.16
872,-2.38,0.50,7.89,-0.12,0.16,-0.16
876,-2.38,0.50,7.89,-0.10,-0.04,-0.15
881,-2.38,0.50,7.89,-0.11,-0.17,-0.12
886,3.75,-0.92,8.20,-0.11,-0.17,-0.12
892,4.71,-0.61,8.81,-0.11,-0.17,-0.12
896,4.71,-0.61,8.81,-0.04,-0.18,-0.04
901,4.71,-0.61,8.81,-0.02,0.17,0.00
907,2.30,0.38,9.61,-0.02,0.17,0.00
911,2.30,0.38,9.61,0.01,0.21,0.05
916,2.30,0.38,9.61,0.03,0.17,0.11
923,-2.45,-1.04,7.59,0.03,0.17,0.11
926,-2.45,-1.04,7.59,0.10,0.08,0.18
931,-2.45,-1.04,7.59,0.12,0.06,0.19
936,-2.45,-1.04,7.59,0.13,0.01,0.21
942,0.00,-2.84,9.12,0.13,0.01,0.21
946,0.00,-2.84,9.12,0.17,-0.10,0.31
951,0.00,-2.84,9.12,0.20,-0.14,0.34
956,0.00,-2.84,9.12,0.24,-0.11,0.38
962,1.42,-2.26,10.77,0.24,-0.11,0.38
966,1.42,-2.26,10.77,0.27,0.20,0.42
971,1.42,-2.26,10.77,0.32,0.23,0.42
977,-2.61,-0.92,8.42,0.32,0.23,0.42
981,-2.61,-0.92,8.42,0.34,0.12,0.48
986,-2.61,-0.92,8.42,0.36,0.03,0.52
992,-0.69,-1.30,8.81,0.36,0.03,0.52
996,-0.69,-1.30,8.81,0.36,-0.13,0.57
1002,-0.69,-1.30,8.81,0.37,-0.15,0.60
1007,0.30,-0.57,11.30,0.37,-0.15,0.60
1011,0.30,-0.57,11.30,0.40,0.04,0.62
1016,0.30,-0.57,11.30,0.39,0.17,0.61
1021,0.30,-0.57,11.30,0.41,0.17,0.62
1027,-1.68,-1.91,9.23,0.41,0.17,0.62
1032,-1.68,-1.91,9.23,0.43,0.06,0.65
