timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
Right
5,-0.30,-1.27,9.27,-0.06,0.00,0.02
18,-0.30,-1.27,9.27,-0.07,0.00,0.02
20,-0.27,-0.23,9.38,-0.07,0.00,0.02
21,0.04,-1.04,9.61,-0.07,0.00,0.02
25,0.04,-1.04,9.61,-0.20,-0.01,-0.16
30,-1.15,-0.57,9.35,-0.20,-0.01,-0.16
36,-1.34,-1.00,9.65,-0.20,-0.01,-0.16
40,-0.11,-1.19,9.42,-0.20,-0.01,-0.16
45,-0.30,-0.77,9.65,-0.20,-0.01,-0.16
50,-0.19,-0.88,9.23,-0.20,-0.01,-0.16
56,-0.08,-1.30,9.20,-0.20,-0.01,-0.16
60,-0.27,-1.61,9.20,-0.20,-0.01,-0.16
65,-1.07,-0.73,9.73,-0.20,-0.01,-0.16
71,-0.92,-0.77,9.61,-0.20,-0.01,-0.16
75,-1.38,-1.04,8.92,-0.20,-0.01,-0.16
80,-1.19,-0.96,8.46,-0.20,-0.01,-0.16
86,-1.27,-1.11,8.58,-0.20,-0.01,-0.16
90,-1.27,-1.11,8.58,-0.13,0.05,-0.08
95,-0.15,-0.69,9.84,-0.13,0.05,-0.08
100,-0.15,-0.69,9.84,-0.12,0.01,-0.07
105,0.23,-0.92,9.93,-0.12,0.01,-0.07
113,0.23,-0.92,9.93,-0.12,-0.03,-0.04
116,-1.11,-0.84,9.81,-0.12,-0.03,-0.04
120,-1.11,-0.84,9.81,-0.11,0.04,-0.01
125,-1.11,-0.84,9.81,-0.09,0.05,0.03
130,-0.61,-0.04,8.96,-0.09,0.05,0.03
136,-0.73,-0.23,8.43,-0.09,0.05,0.03
140,-0.73,-0.23,8.43,-0.10,0.06,0.01
145,-0.38,-0.19,9.08,-0.10,0.06,0.01
150,-0.42,0.30,9.42,-0.10,0.06,0.01
156,0.19,0.00,10.27,-0.10,0.06,0.01
161,0.19,0.00,10.27,-0.10,-0.02,0.06
165,-0.80,-0.30,10.73,-0.10,-0.02,0.06
170,-0.30,-0.92,10.42,-0.10,-0.02,0.06
176,-0.08,-0.73,10.07,-0.10,-0.02,0.06
181,0.65,-1.11,10.15,-0.10,-0.02,0.06
186,0.88,-0.65,9.65,-0.10,-0.02,0.06
190,0.88,-0.65,9.65,-0.09,-0.01,0.06
195,0.88,-0.65,9.65,-0.10,0.03,0.06
200,-0.92,-0.88,8.78,-0.10,0.03,0.06
206,-1.27,-0.92,9.58,-0.10,0.03,0.06
210,-1.27,-0.92,9.58,-0.12,0.09,0.04
215,-1.34,-0.57,9.31,-0.12,0.09,0.04
221,0.23,-1.07,9.92,-0.12,0.09,0.04
225,0.23,-1.07,9.92,-0.12,-0.01,0.06
231,0.23,-1.07,9.92,-0.13,-0.03,0.04
236,-1.34,-0.69,8.50,-0.13,-0.03,0.04
240,-1.34,-0.69,8.50,-0.12,-0.00,0.04
245,-1.34,-0.69,8.50,-0.12,-0.02,0.08
250,-1.34,-0.69,8.50,-0.13,-0.04,0.07
