timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
Left Turn
366940352,3.68,-1.61,10.15,0.04,0.14,-0.21,21.50,10.81,-38.94
366957081,3.68,-1.61,10.15,0.11,-0.12,-0.19,21.50,10.81,-38.94
366960792,3.68,-1.61,10.15,0.07,-0.06,-0.32,21.50,10.81,-38.94
366968885,-3.56,-2.26,6.20,0.07,-0.06,-0.32,21.50,10.81,-38.94
366979170,-3.56,-2.26,6.20,-0.07,0.27,-0.34,21.50,10.81,-38.94
366989634,-1.42,-1.99,8.82,-0.07,0.27,-0.34,21.50,10.81,-38.94
366998794,-1.42,-1.99,8.82,0.02,0.13,-0.32,21.50,10.81,-38.94
367010058,-1.42,-1.99,8.82,-0.07,0.26,-0.34,21.50,10.81,-38.94
367020708,-1.76,-2.03,8.04,-0.07,0.26,-0.34,21.50,10.81,-38.94
367030428,-1.76,-2.03,8.04,0.06,0.13,-0.35,21.50,10.81,-38.94
367040409,0.38,-0.34,10.39,0.06,0.13,-0.35,21.50,10.81,-38.94
367050757,-2.30,-0.84,8.31,0.06,0.13,-0.35,21.50,10.81,-38.94
367060393,-2.30,-0.84,8.31,0.01,0.16,-0.45,21.50,10.81,-38.94
367070492,-2.30,-0.84,8.31,0.03,0.12,-0.46,21.50,10.81,-38.94
367080371,0.04,-2.22,8.96,0.03,0.12,-0.46,21.50,10.81,-38.94
367090438,0.04,-2.22,8.96,0.05,0.12,-0.51,21.50,10.81,-38.94
367100485,0.04,-2.22,8.96,0.04,0.18,-0.50,21.50,10.81,-38.94
367110468,0.08,-2.84,10.61,0.04,0.18,-0.50,21.50,10.81,-38.94
367120741,-0.61,-2.07,10.07,0.04,0.18,-0.50,21.50,10.81,-38.94
367130377,-0.61,-2.07,10.07,0.10,0.22,-0.40,21.50,10.81,-38.94
367139832,-0.61,-2.07,10.07,0.07,0.25,-0.35,21.50,10.81,-38.94
367150437,-0.42,-1.53,9.27,0.07,0.25,-0.35,21.50,10.81,-38.94
367160372,-0.42,-1.53,9.27,0.14,0.15,-0.21,21.50,10.81,-38.94
367170401,-0.42,-1.53,9.27,0.08,0.28,-0.14,21.50,10.81,-38.94
367180415,-1.49,-1.11,9.16,0.08,0.28,-0.14,21.50,10.81,-38.94
367190680,1.42,-3.29,9.88,0.08,0.28,-0.14,21.50,10.81,-38.94
367200591,1.42,-3.29,9.88,0.19,0.27,0.12,21.50,10.81,-38.94
367209750,1.42,-3.29,9.88,0.25,0.16,0.18,21.50,10.81,-38.94
367220374,1.95,-2.34,10.15,0.25,0.16,0.18,21.50,10.81,-38.94
367230377,1.95,-2.34,10.15,0.21,0.35,0.29,21.50,10.81,-38.94
367240421,1.95,-2.34,10.15,0.35,0.02,0.33,21.50,10.81,-38.94
367250468,-3.60,-2.87,11.80,0.35,0.02,0.33,21.50,10.81,-38.94
367260763,1.00,-4.29,8.58,0.35,0.02,0.33,21.50,10.81,-38.94
367270401,1.00,-4.29,8.58,0.38,-0.10,0.38,21.50,10.81,-38.94
367279746,1.00,-4.29,8.58,0.27,0.25,0.37,21.50,10.81,-38.94
367290924,-1.91,-2.57,7.74,0.27,0.25,0.37,21.50,10.81,-38.94
367300455,-1.91,-2.57,7.74,0.33,0.10,0.39,21.50,10.81,-38.94
367310396,-1.91,-2.57,7.74,0.25,0.13,0.37,21.50,10.81,-38.94
367320269,-2.34,-1.46,10.31,0.25,0.13,0.37,21.50,10.81,-38.94
367330697,-4.60,-2.64,8.28,0.25,0.13,0.37,21.50,10.81,-38.94
367340464,-4.60,-2.64,8.28,0.35,0.00,0.45,21.50,10.81,-38.94
367350576,-4.60,-2.64,8.28,0.23,0.19,0.37,21.50,10.81,-38.94
367360849,-2.38,-1.19,6.82,0.23,0.19,0.37,21.50,10.81,-38.94
367370402,-2.38,-1.19,6.82,0.23,-0.05,0.28,21.50,10.81,-38.94
367380407,-2.38,-1.19,6.82,0.14,0.15,0.23,21.50,10.81,-38.94
367390055,-3.18,-1.38,7.36,0.14,0.15,0.23,21.50,10.81,-38.94
367400862,0.19,0.15,9.84,0.14,0.15,0.23,21.50,10.81,-38.94
367410367,0.19,0.15,9.84,0.12,0.04,0.09,21.50,10.81,-38.94
367420435,0.19,0.15,9.84,0.07,0.15,0.07,21.50,10.81,-38.94
367430736,0.23,0.15,9.88,0.07,0.15,0.07,21.50,10.81,-38.94
367440368,0.23,0.15,9.88,0.07,0.07,0.04,21.50,10.81,-38.94
367450494,0.23,0.15,9.88,0.04,0.10,0.04,21.50,10.81,-38.94
367459941,1.34,-0.08,9.12,0.04,0.10,0.04,21.50,10.81,-38.94
367471525,2.41,-0.46,9.54,0.04,0.10,0.04,21.50,10.81,-38.94
367480353,2.41,-0.46,9.54,0.01,0.13,-0.02,21.50,10.81,-38.94
367490409,2.41,-0.46,9.54,0.05,0.05,-0.04,21.50,10.81,-38.94
367500756,2.03,-1.27,12.34,0.05,0.05,-0.04,21.50,10.81,-38.94
367510372,2.03,-1.27,12.34,0.04,0.12,-0.06,21.50,10.81,-38.94
367519747,2.03,-1.27,12.34,0.09,0.00,-0.07,21.50,10.81,-38.94
367529982,-0.19,-1.07,10.73,0.09,0.00,-0.07,21.50,10.81,-38.94
367541169,-0.80,-0.61,9.00,0.09,0.00,-0.07,21.50,10.81,-38.94
367550520,-0.80,-0.61,9.00,0.08,-0.01,-0.11,21.50,10.81,-38.94
367560478,-0.54,-0.15,8.74,0.08,-0.01,-0.11,21.50,10.81,-38.94
367570700,-0.96,-0.19,8.08,0.08,-0.01,-0.11,21.50,10.81,-38.94
367580371,-0.96,-0.19,8.08,0.03,0.01,-0.12,21.50,10.81,-38.94
367589804,-0.96,-0.19,8.08,-0.02,0.12,-0.09,21.50,10.81,-38.94
367600483,-2.49,-1.07,10.03,-0.02,0.12,-0.09,21.50,10.81,-38.94
367610374,-2.49,-1.07,10.03,0.05,-0.03,0.04,21.50,10.81,-38.94
367620396,-2.49,-1.07,10.03,0.08,0.02,0.14,21.50,10.81,-38.94
367630485,-3.52,-1.68,7.85,0.08,0.02,0.14,21.50,10.81,-38.94
367640698,-2.87,-1.27,9.96,0.08,0.02,0.14,21.50,10.81,-38.94
367650434,-2.87,-1.27,9.96,0.11,-0.04,0.40,21.50,10.81,-38.94
367659760,-2.87,-1.27,9.96,0.08,-0.00,0.46,21.50,10.81,-38.94
367670982,-1.72,-3.52,9.08,0.08,-0.00,0.46,21.50,10.81,-38.94
367680385,-1.72,-3.52,9.08,0.13,0.03,0.59,21.50,10.81,-38.94
367690395,-1.72,-3.52,9.08,0.18,-0.03,0.63,21.50,10.81,-38.94
367700260,-1.95,-2.91,8.16,0.18,-0.03,0.63,21.50,10.81,-38.94
367710697,-4.98,-3.07,5.66,0.18,-0.03,0.63,21.50,10.81,-38.94
367720362,-4.98,-3.07,5.66,0.21,-0.17,0.66,21.50,10.81,-38.94
367730491,-4.98,-3.07,5.66,0.17,-0.11,0.65,21.50,10.81,-38.94
367741143,-0.19,-1.91,9.04,0.17,-0.11,0.65,21.50,10.81,-38.94
367750505,-0.19,-1.91,9.04,0.14,-0.17,0.57,21.50,10.81,-38.94
367760408,-0.19,-1.91,9.04,0.08,-0.01,0.56,21.50,10.81,-38.94
367770045,2.61,-1.19,15.02,0.08,-0.01,0.56,21.50,10.81,-38.94
367779642,1.00,-1.27,13.95,0.08,-0.01,0.56,21.50,10.81,-38.94
367790253,1.00,-1.27,13.95,0.06,0.14,0.44,21.50,10.81,-38.94
367800920,1.00,-1.27,13.95,0.06,0.01,0.36,21.50,10.81,-38.94
367810700,-1.34,1.38,7.55,0.06,0.01,0.36,21.50,10.81,-38.94
367820371,-1.34,1.38,7.55,-0.10,0.07,0.17,21.50,10.81,-38.94
