timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
138645023,-1.99,-4.14,11.41,0.16,0.20,-0.07,-4.69,-3.62,-50.31
138662440,-3.98,-4.83,6.97,0.16,0.20,-0.07,-4.69,-3.62,-50.31
138664460,-3.98,-4.83,6.97,0.15,0.00,0.15,-4.69,-3.62,-50.31
138673563,-3.98,-4.83,6.97,-0.45,0.74,0.29,-4.69,-3.62,-50.31
138683804,-3.98,-4.83,6.97,-0.45,0.74,0.29,-10.31,-2.88,-49.62
138694769,-3.98,-4.83,6.97,0.00,-0.07,0.13,-10.31,-2.88,-49.62
138705161,-3.98,-4.83,6.97,0.39,-0.62,0.24,-10.31,-2.88,-49.62
138714905,-3.98,-4.83,6.97,0.01,0.20,0.13,-10.31,-2.88,-49.62
138724763,-3.98,-4.83,6.97,-0.09,0.30,0.16,-10.31,-2.88,-49.62
138735077,-3.98,-4.83,6.97,0.36,-0.70,0.11,-10.31,-2.88,-49.62
138744867,-3.98,-4.83,6.97,0.40,-0.41,-0.04,-10.31,-2.88,-49.62
138754375,-3.98,-4.83,6.97,-0.09,0.39,0.17,-10.31,-2.88,-49.62
138764722,-3.98,-4.83,6.97,-0.25,0.37,0.35,-10.31,-2.88,-49.62
138775054,-3.98,-4.83,6.97,-0.31,-0.32,-0.19,-10.31,-2.88,-49.62
138784802,-3.98,-4.83,6.97,0.23,-0.51,-0.31,-10.31,-2.88,-49.62
138794711,-3.98,-4.83,6.97,0.45,0.06,-0.14,-10.31,-2.88,-49.62
138805039,-3.98,-4.83,6.97,0.04,0.15,0.17,-10.31,-2.88,-49.62
138814837,-3.98,-4.83,6.97,0.02,-0.03,-0.03,-10.31,-2.88,-49.62
138824306,-3.98,-4.83,6.97,0.15,0.28,0.18,-10.31,-2.88,-49.62
138834971,-3.98,-4.83,6.97,0.24,0.06,0.27,-10.31,-2.88,-49.62
138844718,-3.98,-4.83,6.97,0.28,-0.52,0.06,-10.31,-2.88,-49.62
138854712,-3.98,-4.83,6.97,0.15,-0.17,-0.08,-10.31,-2.88,-49.62
138864624,-3.98,-4.83,6.97,-0.00,0.03,0.01,-10.31,-2.88,-49.62
138874964,-3.98,-4.83,6.97,-0.03,0.08,0.04,-10.31,-2.88,-49.62
138884727,-3.98,-4.83,6.97,-0.08,0.39,0.10,-10.31,-2.88,-49.62
138894305,-3.98,-4.83,6.97,0.12,-0.04,0.01,-10.31,-2.88,-49.62
138904939,-3.98,-4.83,6.97,0.32,-0.38,0.06,-10.31,-2.88,-49.62
138914627,-3.98,-4.83,6.97,0.31,-0.29,0.20,-10.31,-2.88,-49.62
138924681,-3.98,-4.83,6.97,0.14,0.11,0.29,-10.31,-2.88,-49.62
138934901,-3.98,-4.83,6.97,-0.12,0.60,0.29,-10.31,-2.88,-49.62
138944587,-3.98,-4.83,6.97,0.03,0.18,0.00,-10.31,-2.88,-49.62
138954729,-3.98,-4.83,6.97,0.12,-0.29,0.00,-10.31,-2.88,-49.62
138964308,-3.98,-4.83,6.97,0.32,-0.52,-0.16,-10.31,-2.88,-49.62
138974873,-3.98,-4.83,6.97,0.44,-0.28,-0.27,-10.31,-2.88,-49.62
138984537,-3.98,-4.83,6.97,-0.00,0.47,-0.23,-10.31,-2.88,-49.62
138994613,-3.98,-4.83,6.97,-0.39,0.80,-0.02,-10.31,-2.88,-49.62
139004540,-3.98,-4.83,6.97,0.02,-0.13,-0.08,-10.31,-2.88,-49.62
139014880,-3.98,-4.83,6.97,0.14,-0.33,-0.22,-10.31,-2.88,-49.62
