timestamp,quatI,quatJ,quatK,quatReal
785749.745,-0.02,-0.03,1.0,0.07
785759.298,-0.02,-0.03,1.0,0.07
785760.496,-0.02,0.02,0.99,0.11
785761.682,-0.02,0.02,0.99,0.11
785763.098,-0.02,0.02,0.99,0.11
785765.975,-0.02,0.02,0.99,0.11
785768.476,-0.02,0.02,0.99,0.11
785770.517,-0.02,0.02,0.99,0.11
785773.487,-0.02,0.02,0.99,0.11
785776.732,-0.02,0.02,0.99,0.11
785779.479,-0.02,0.02,0.99,0.11
785782.479,-0.02,0.02,0.99,0.11
785785.483,-0.02,0.02,0.99,0.11
785788.942,-0.02,0.02,0.99,0.11
785791.546,-0.02,0.02,0.99,0.11
785794.482,-0.02,0.02,0.99,0.11
785797.492,-0.02,0.02,0.99,0.11
785800.503,-0.02,0.02,0.99,0.11
785804.646,-0.02,0.02,0.99,0.11
785807.15,-0.02,0.02,0.99,0.11
785809.507,-0.02,0.02,0.99,0.11
785812.489,-0.02,0.02,0.99,0.11
785815.603,-0.02,0.02,0.99,0.11
785819.09,-0.02,0.02,0.99,0.11
785821.644,-0.02,0.02,0.99,0.11
785866.639,-0.02,0.02,0.99,0.11
785876.372,-0.02,0.02,0.99,0.11
785877.563,-0.02,0.01,0.99,0.11
785878.924,-0.02,0.01,0.99,0.11
785880.94,-0.02,0.01,0.99,0.11
785882.97,-0.02,0.01,0.99,0.11
785885.96,-0.02,0.01,0.99,0.11
785888.529,-0.02,0.01,0.99,0.11
785890.669,-0.02,0.01,0.99,0.11
785893.612,-0.02,0.01,0.99,0.11
785896.515,-0.02,0.01,0.99,0.11
785899.514,-0.02,0.01,0.99,0.11
785902.5,-0.02,0.01,0.99,0.11
785905.509,-0.02,0.01,0.99,0.11
785908.92,-0.02,0.01,0.99,0.11
785911.486,-0.02,0.01,0.99,0.11
785914.59,-0.02,0.01,0.99,0.11
785917.496,-0.02,0.01,0.99,0.11
785921.284,-0.02,0.02,0.99,0.11
785923.518,-0.02,0.02,0.99,0.11
785926.525,-0.02,0.02,0.99,0.11
785929.529,-0.02,0.02,0.99,0.11
785932.515,-0.02,0.02,0.99,0.11
785935.507,-0.02,0.02,0.99,0.11
785938.525,-0.02,0.02,0.99,0.11
785941.718,-0.02,0.02,0.99,0.11
785944.486,-0.02,0.02,0.99,0.11
785947.477,-0.02,0.02,0.99,0.11
785951.196,-0.02,0.02,0.99,0.11
785953.517,-0.02,0.02,0.99,0.1
785956.496,-0.02,0.02,0.99,0.1
785959.479,-0.02,0.02,0.99,0.1
785963.153,-0.02,0.02,0.99,0.1
785965.584,-0.02,0.01,0.99,0.1
785968.67,-0.02,0.01,0.99,0.1
785971.567,-0.02,0.01,0.99,0.1
785974.475,-0.02,0.01,0.99,0.1
785977.644,-0.02,0.02,0.99,0.1
785981.195,-0.02,0.02,0.99,0.1
785983.514,-0.02,0.02,0.99,0.1
785986.527,-0.02,0.02,0.99,0.1
785989.659,-0.02,0.02,0.99,0.1
785992.532,-0.02,0.02,0.99,0.1
785996.244,-0.02,0.02,0.99,0.1
785998.506,-0.02,0.02,0.99,0.1
786001.478,-0.02,0.02,0.99,0.1
786004.487,-0.02,0.02,0.99,0.1
786008.16,-0.02,0.02,0.99,0.1
786010.512,-0.02,0.02,0.99,0.1
786014.104,-0.02,0.02,0.99,0.1
786016.487,-0.02,0.02,1.0,0.1
786019.486,-0.02,0.02,1.0,0.1
786022.617,-0.02,0.01,1.0,0.1
786026.189,-0.02,0.01,1.0,0.09
786029.156,-0.02,0.01,1.0,0.09
786031.487,-0.02,0.01,1.0,0.09
786034.518,-0.02,0.01,1.0,0.09
786037.499,-0.02,0.01,1.0,0.09
786040.639,-0.02,0.01,1.0,0.09
786044.157,-0.02,0.01,1.0,0.09
786046.555,-0.02,0.01,1.0,0.09
786049.544,-0.02,0.01,1.0,0.09
786052.516,-0.02,0.01,1.0,0.09
786055.545,-0.02,0.01,1.0,0.09
786058.501,-0.02,0.01,1.0,0.09
786061.517,-0.02,0.01,1.0,0.09
786064.578,-0.02,0.01,1.0,0.09
786068.156,-0.02,0.01,1.0,0.09
786070.545,-0.02,0.01,1.0,0.09
786073.49,-0.02,0.01,1.0,0.09
786076.498,-0.02,0.01,1.0,0.09
786079.58,-0.02,0.01,1.0,0.09
786083.221,-0.02,0.01,1.0,0.09
786085.506,-0.02,0.01,1.0,0.09
786089.259,-0.02,0.01,1.0,0.09
786091.493,-0.02,0.01,1.0,0.09
786094.5,-0.02,0.01,1.0,0.09
786097.55,-0.02,0.01,1.0,0.09
786101.177,-0.02,0.01,1.0,0.09
786103.478,-0.02,0.01,1.0,0.09
786106.535,-0.02,0.01,1.0,0.09
786109.553,-0.02,0.01,1.0,0.08
786112.526,-0.02,0.01,1.0,0.08
786117.013,-0.02,0.01,1.0,0.08
786118.505,-0.02,0.01,1.0,0.08
786121.487,-0.02,0.01,1.0,0.08
786125.192,-0.02,0.01,1.0,0.08
786127.489,-0.02,0.01,1.0,0.08
786130.508,-0.02,0.01,1.0,0.08
786133.481,-0.02,0.01,1.0,0.08
786136.557,-0.02,0.01,1.0,0.08
786139.673,-0.02,0.01,1.0,0.08
786143.229,-0.02,0.01,1.0,0.08
786145.497,-0.02,0.01,1.0,0.08
786148.501,-0.02,0.01,1.0,0.08
786151.48,-0.02,0.01,1.0,0.08
786154.495,-0.02,0.01,1.0,0.08
786157.506,-0.02,0.01,1.0,0.08
786161.772,-0.02,0.01,1.0,0.08
786163.663,-0.02,0.01,1.0,0.08
786166.54,-0.02,0.01,1.0,0.08
786169.525,-0.02,0.01,1.0,0.08
786172.538,-0.02,0.0,1.0,0.08
786175.522,-0.02,0.0,1.0,0.08
786179.319,-0.02,0.0,1.0,0.08
786181.492,-0.02,0.0,1.0,0.08
786184.482,-0.02,0.0,1.0,0.08
786187.494,-0.02,0.0,1.0,0.08
786191.247,-0.02,0.0,1.0,0.08
786193.734,-0.02,0.0,1.0,0.08
786196.572,-0.02,0.0,1.0,0.09
786199.537,-0.02,0.0,1.0,0.09
786203.139,-0.02,0.0,1.0,0.09
786205.513,-0.02,0.0,1.0,0.09
786208.675,-0.02,0.0,1.0,0.09
786211.484,-0.02,0.0,1.0,0.09
786214.589,-0.02,0.0,1.0,0.09
786217.49,-0.02,0.0,1.0,0.09
786221.803,-0.02,0.0,1.0,0.09
786223.62,-0.02,-0.0,1.0,0.09
786226.529,-0.02,-0.0,1.0,0.09
