timestamp,quatI,quatJ,quatK,quatReal
595294.917,-0.22,-0.04,0.31,0.92
595304.702,-0.22,-0.04,0.31,0.92
595305.912,-0.02,0.03,0.0,1.0
595307.292,-0.02,0.03,0.0,1.0
595310.017,-0.02,0.03,0.01,1.0
595311.365,-0.02,0.03,0.01,1.0
595314.872,-0.01,0.03,0.01,1.0
595317.479,-0.01,0.03,0.01,1.0
595318.862,-0.01,0.03,0.01,1.0
595321.855,-0.01,0.03,0.01,1.0
595324.799,-0.01,0.03,0.01,1.0
595327.799,-0.01,0.03,0.01,1.0
595330.817,-0.01,0.03,0.01,1.0
595334.361,-0.01,0.03,0.01,1.0
595336.816,-0.01,0.03,0.01,1.0
595339.83,-0.01,0.03,0.01,1.0
595342.821,-0.01,0.03,0.01,1.0
595346.495,-0.01,0.03,0.01,1.0
595348.801,-0.01,0.03,0.01,1.0
595351.798,-0.01,0.03,0.01,1.0
595354.794,-0.01,0.03,0.01,1.0
595358.577,-0.01,0.03,0.01,1.0
595361.019,-0.01,0.03,0.01,1.0
595364.227,-0.01,0.03,0.01,1.0
595366.794,-0.01,0.03,0.0,1.0
595417.925,-0.01,0.03,0.0,1.0
595427.694,-0.01,0.03,0.0,1.0
595428.997,-0.02,0.03,-0.02,1.0
595430.601,-0.02,0.03,-0.02,1.0
595433.345,-0.02,0.03,-0.02,1.0
595435.473,-0.02,0.03,-0.03,1.0
595438.331,-0.02,0.03,-0.03,1.0
595441.522,-0.02,0.03,-0.03,1.0
595443.554,-0.02,0.03,-0.03,1.0
595446.681,-0.02,0.03,-0.03,1.0
595448.502,-0.02,0.03,-0.03,1.0
595450.933,-0.02,0.03,-0.03,1.0
595453.965,-0.02,0.03,-0.03,1.0
595456.853,-0.02,0.03,-0.03,1.0
595459.922,-0.02,0.03,-0.03,1.0
595462.821,-0.02,0.03,-0.03,1.0
595465.825,-0.02,0.03,-0.03,1.0
595470.262,-0.02,0.03,-0.04,1.0
595472.216,-0.02,0.03,-0.04,1.0
595485.108,-0.02,0.03,-0.04,1.0
595488.332,-0.02,0.03,-0.04,1.0
595496.934,-0.02,0.03,-0.04,1.0
595498.753,-0.02,0.03,-0.04,1.0
595503.04,-0.02,0.03,-0.04,1.0
595505.256,-0.02,0.03,-0.04,1.0
595507.91,-0.02,0.03,-0.04,1.0
595511.425,-0.02,0.03,-0.04,1.0
595513.903,-0.02,0.03,-0.04,1.0
595516.846,-0.02,0.03,-0.04,1.0
595519.853,-0.02,0.03,-0.04,1.0
595522.865,-0.02,0.03,-0.04,1.0
595525.835,-0.02,0.03,-0.04,1.0
595528.86,-0.02,0.03,-0.04,1.0
595531.811,-0.02,0.03,-0.04,1.0
595534.91,-0.02,0.03,-0.04,1.0
595539.063,-0.02,0.03,-0.04,1.0
595540.897,-0.02,0.03,-0.04,1.0
595543.965,-0.02,0.03,-0.04,1.0
595546.954,-0.02,0.03,-0.04,1.0
595549.804,-0.02,0.03,-0.04,1.0
595553.481,-0.02,0.03,-0.04,1.0
595555.828,-0.02,0.03,-0.04,1.0
595558.874,-0.02,0.03,-0.04,1.0
595561.812,-0.02,0.03,-0.04,1.0
595564.804,-0.02,0.03,-0.04,1.0
595567.877,-0.02,0.03,-0.04,1.0
595571.51,-0.02,0.03,-0.04,1.0
595573.865,-0.02,0.03,-0.04,1.0
595576.842,-0.02,0.03,-0.04,1.0
595579.82,-0.02,0.03,-0.04,1.0
595582.814,-0.02,0.03,-0.04,1.0
595586.589,-0.02,0.03,-0.04,1.0
595588.839,-0.01,0.03,-0.04,1.0
595591.818,-0.01,0.03,-0.04,1.0
595594.802,-0.01,0.03,-0.03,1.0
595598.505,-0.01,0.03,-0.03,1.0
595600.91,-0.01,0.03,-0.03,1.0
595603.834,-0.01,0.03,-0.03,1.0
595606.802,-0.01,0.03,-0.03,1.0
595609.92,-0.01,0.03,-0.03,1.0
595613.536,-0.01,0.03,-0.03,1.0
595616.392,-0.01,0.03,-0.03,1.0
595618.808,-0.01,0.03,-0.03,1.0
595621.832,-0.01,0.03,-0.03,1.0
595624.824,-0.01,0.03,-0.03,1.0
595628.521,-0.01,0.03,-0.03,1.0
595630.873,-0.01,0.03,-0.03,1.0
595633.843,-0.01,0.03,-0.03,1.0
595636.85,-0.01,0.03,-0.03,1.0
595639.805,-0.01,0.03,-0.03,1.0
595643.476,-0.01,0.03,-0.03,1.0
595645.82,-0.01,0.03,-0.03,1.0
595648.902,-0.01,0.03,-0.03,1.0
595651.955,-0.01,0.03,-0.03,1.0
595654.798,-0.01,0.03,-0.03,1.0
595658.501,-0.01,0.03,-0.03,1.0
595661.034,-0.01,0.03,-0.03,1.0
595663.831,-0.01,0.03,-0.03,1.0
595666.918,-0.01,0.03,-0.03,1.0
595669.802,-0.01,0.03,-0.04,1.0
595673.474,-0.01,0.03,-0.04,1.0
595675.896,-0.01,0.03,-0.04,1.0
595678.797,-0.01,0.03,-0.04,1.0
595681.793,-0.01,0.03,-0.04,1.0
595684.904,-0.01,0.03,-0.04,1.0
595688.526,-0.01,0.03,-0.04,1.0
595690.854,-0.01,0.03,-0.04,1.0
595694.026,-0.01,0.03,-0.04,1.0
595696.835,-0.01,0.03,-0.04,1.0
595699.828,-0.01,0.03,-0.04,1.0
595703.484,-0.01,0.03,-0.04,1.0
595705.835,-0.01,0.03,-0.04,1.0
595708.804,-0.01,0.03,-0.04,1.0
595711.821,-0.01,0.03,-0.04,1.0
595714.866,-0.01,0.03,-0.04,1.0
595718.496,-0.01,0.03,-0.04,1.0
595720.928,-0.01,0.03,-0.04,1.0
595723.833,-0.01,0.03,-0.04,1.0
595726.806,-0.01,0.03,-0.04,1.0
595730.49,-0.01,0.03,-0.04,1.0
595732.835,-0.01,0.03,-0.04,1.0
595736.278,-0.01,0.03,-0.04,1.0
595738.803,-0.01,0.03,-0.04,1.0
595741.796,-0.01,0.03,-0.04,1.0
595744.799,-0.01,0.03,-0.04,1.0
595748.549,-0.01,0.03,-0.04,1.0
595750.885,-0.01,0.03,-0.04,1.0
595753.833,-0.01,0.03,-0.04,1.0
