timestamp,quatI,quatJ,quatK,quatReal
403245.557,-0.01,0.02,0.01,1.0
403255.372,-0.01,0.02,0.01,1.0
403256.554,0.05,0.01,0.0,1.0
403257.727,0.05,0.01,0.01,1.0
403259.116,0.05,0.01,0.01,1.0
403262.121,0.05,0.01,0.01,1.0
403265.021,0.05,0.01,0.01,1.0
403266.889,0.05,0.01,0.01,1.0
403269.49,0.05,0.01,0.01,1.0
403272.88,0.05,0.01,0.01,1.0
403275.43,0.05,0.01,0.01,1.0
403278.443,0.05,0.01,0.01,1.0
403281.447,0.05,0.01,0.01,1.0
403284.458,0.05,0.01,0.01,1.0
403287.618,0.05,0.01,0.01,1.0
403290.537,0.05,0.01,0.02,1.0
403293.47,0.05,0.01,0.02,1.0
403296.465,0.05,0.01,0.02,1.0
403300.67,0.05,0.01,0.02,1.0
403303.313,0.05,0.01,0.02,1.0
403305.473,0.05,0.01,0.02,1.0
403308.439,0.05,0.01,0.02,1.0
403311.448,0.05,0.01,0.02,1.0
403314.552,0.05,0.01,0.02,1.0
403317.631,0.05,0.01,0.02,1.0
403365.661,0.05,0.01,0.02,1.0
403375.366,0.05,0.01,0.02,1.0
403376.564,0.05,0.01,0.03,1.0
403377.732,0.05,0.01,0.03,1.0
403379.127,0.05,0.01,0.03,1.0
403382.099,0.05,0.01,0.03,1.0
403386.116,0.05,0.01,0.03,1.0
403387.31,0.05,0.01,0.03,1.0
403390.008,0.05,0.01,0.03,1.0
403392.565,0.05,0.01,0.03,1.0
403395.567,0.05,0.01,0.03,1.0
403398.488,0.05,0.01,0.03,1.0
403401.455,0.05,0.01,0.03,1.0
403405.072,0.05,0.01,0.03,1.0
403407.531,0.05,0.01,0.03,1.0
403410.451,0.05,0.01,0.03,1.0
403413.462,0.05,0.01,0.03,1.0
403416.477,0.05,0.01,0.03,1.0
403420.04,0.05,0.01,0.03,1.0
403422.514,0.05,0.01,0.03,1.0
403425.575,0.05,0.01,0.03,1.0
403428.482,0.05,0.01,0.03,1.0
403432.142,0.05,0.01,0.03,1.0
403434.505,0.05,0.01,0.03,1.0
403437.805,0.05,0.01,0.03,1.0
403440.583,0.05,0.01,0.03,1.0
403443.444,0.05,0.01,0.03,1.0
403446.455,0.05,0.01,0.03,1.0
403450.111,0.05,0.01,0.03,1.0
403452.477,0.05,0.01,0.03,1.0
403455.45,0.05,0.01,0.03,1.0
403458.446,0.05,0.01,0.03,1.0
403461.464,0.05,0.01,0.03,1.0
403465.896,0.05,0.01,0.03,1.0
403467.46,0.05,0.01,0.03,1.0
403470.493,0.05,0.01,0.03,1.0
403473.444,0.05,0.01,0.03,1.0
403477.116,0.05,0.01,0.03,1.0
403479.46,0.05,0.01,0.03,1.0
403482.651,0.05,0.01,0.03,1.0
403485.479,0.05,0.01,0.03,1.0
403488.482,0.05,0.01,0.03,1.0
403491.586,0.05,0.01,0.03,1.0
403495.206,0.05,0.01,0.03,1.0
403497.473,0.04,0.01,0.03,1.0
403500.442,0.04,0.01,0.03,1.0
403503.455,0.04,0.01,0.03,1.0
403506.454,0.04,0.01,0.03,1.0
403509.455,0.04,0.01,0.03,1.0
403512.461,0.04,0.01,0.03,1.0
403515.576,0.04,0.01,0.03,1.0
403519.12,0.04,0.01,0.03,1.0
403521.466,0.04,0.01,0.02,1.0
403524.469,0.04,0.01,0.02,1.0
403527.437,0.04,0.01,0.02,1.0
403530.45,0.04,0.01,0.02,1.0
403533.449,0.04,0.01,0.02,1.0
403537.116,0.04,0.01,0.02,1.0
403539.532,0.04,0.01,0.02,1.0
403542.551,0.04,0.01,0.02,1.0
403545.479,0.04,0.01,0.02,1.0
403548.475,0.04,0.01,0.02,1.0
403552.909,0.04,0.01,0.02,1.0
403555.213,0.04,0.01,0.02,1.0
403557.543,0.04,0.01,0.02,1.0
403560.565,0.04,0.01,0.02,1.0
403563.468,0.04,0.01,0.02,1.0
403566.476,0.04,0.01,0.02,1.0
403569.541,0.04,0.01,0.02,1.0
403572.516,0.04,0.01,0.02,1.0
403575.442,0.04,0.01,0.02,1.0
403579.11,0.04,0.01,0.02,1.0
403581.469,0.04,0.01,0.02,1.0
