timestamp,quatI,quatJ,quatK,quatReal
764623.285,-0.02,-0.01,1.0,0.08
764632.776,-0.02,-0.01,1.0,0.08
764633.963,-0.05,0.04,1.0,0.05
764635.211,-0.04,0.04,1.0,0.05
764637.868,-0.04,0.04,1.0,0.05
764640.465,-0.04,0.04,1.0,0.05
764642.359,-0.04,0.04,1.0,0.05
764645.879,-0.04,0.04,1.0,0.05
764648.873,-0.04,0.04,1.0,0.05
764652.146,-0.05,0.04,1.0,0.05
764655.176,-0.05,0.04,1.0,0.05
764658.894,-0.05,0.04,1.0,0.05
764660.066,-0.05,0.04,1.0,0.05
764662.619,-0.05,0.04,1.0,0.05
764665.204,-0.05,0.04,1.0,0.05
764668.04,-0.05,0.04,1.0,0.05
764671.541,-0.05,0.04,1.0,0.05
764674.369,-0.05,0.04,1.0,0.05
764676.963,-0.05,0.04,1.0,0.05
764679.967,-0.05,0.04,1.0,0.05
764683.117,-0.05,0.04,1.0,0.05
764685.95,-0.05,0.04,1.0,0.05
764688.965,-0.05,0.04,1.0,0.05
764692.737,-0.05,0.04,1.0,0.05
764695.647,-0.05,0.04,1.0,0.05
764755.258,-0.05,0.04,1.0,0.05
764764.811,-0.05,0.04,1.0,0.05
764766.113,-0.05,0.03,1.0,0.05
764768.524,-0.05,0.03,1.0,0.05
764772.172,-0.05,0.03,1.0,0.05
764775.211,-0.05,0.03,1.0,0.05
764778.855,-0.05,0.03,1.0,0.05
764780.069,-0.05,0.03,1.0,0.05
764783.521,-0.05,0.03,1.0,0.05
764787.409,-0.05,0.03,1.0,0.05
764789.429,-0.05,0.03,1.0,0.05
764792.577,-0.05,0.03,1.0,0.05
764795.208,-0.05,0.03,1.0,0.05
764797.031,-0.05,0.03,1.0,0.05
764799.673,-0.05,0.03,1.0,0.05
764801.896,-0.05,0.03,1.0,0.05
764805.154,-0.05,0.03,1.0,0.05
764807.613,-0.05,0.03,1.0,0.05
764811.045,-0.05,0.02,1.0,0.05
764814.938,-0.05,0.02,1.0,0.05
764818.472,-0.05,0.02,1.0,0.05
764821.723,-0.05,0.02,1.0,0.05
764823.553,-0.05,0.02,1.0,0.06
764826.835,-0.05,0.02,1.0,0.06
764828.654,-0.05,0.02,1.0,0.06
764836.106,-0.05,0.02,1.0,0.06
764839.677,-0.05,0.02,1.0,0.06
764842.821,-0.05,0.02,1.0,0.06
764845.02,-0.05,0.02,1.0,0.06
764847.996,-0.05,0.02,1.0,0.06
764851.075,-0.05,0.02,1.0,0.06
764853.953,-0.05,0.02,1.0,0.06
764856.959,-0.05,0.02,1.0,0.06
764860.671,-0.05,0.02,1.0,0.06
764862.969,-0.05,0.02,1.0,0.07
764866.045,-0.05,0.02,1.0,0.07
764868.953,-0.05,0.01,1.0,0.07
764871.973,-0.05,0.01,1.0,0.07
764875.651,-0.05,0.01,1.0,0.07
764878.252,-0.05,0.01,1.0,0.07
764880.953,-0.05,0.01,1.0,0.07
764883.968,-0.05,0.01,1.0,0.07
764886.973,-0.05,0.01,1.0,0.07
764890.688,-0.05,0.01,1.0,0.07
764893.141,-0.05,0.01,1.0,0.07
764896.014,-0.05,0.01,1.0,0.07
764898.989,-0.05,0.01,1.0,0.07
764902.663,-0.05,0.01,1.0,0.07
764905.007,-0.05,0.01,1.0,0.07
