timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
19,-1.91,-1.19,9.61,0.04,0.31,0.01
30,1.34,0.08,8.46,0.01,-0.07,-0.02
51,-1.38,-0.38,9.2,0.01,-0.12,-0.01
71,-1.38,-0.38,9.2,-0.01,-0.08,-0.08
91,2.11,-1.76,10.73,0.01,0.01,-0.09
111,2.11,-1.76,10.73,0.04,0.08,-0.12
131,1.42,0.11,7.97,0.01,0.03,-0.13
151,1.42,0.11,7.97,-0.05,-0.19,-0.21
171,2.84,-1.8,9.2,0.02,-0.08,-0.15
192,0.8,-0.77,10.8,0.05,0.09,-0.14
211,0.8,-0.77,10.8,0.1,0.18,-0.04
231,0.8,-0.77,10.8,0.06,-0.14,0.04
251,0.8,-0.77,10.8,0.06,-0.29,0.13
271,-0.38,-1.95,8.82,0.17,0.21,0.18
291,0.04,-0.96,9.16,0.13,0.01,0.19
312,1.53,-2.95,13.07,0.08,-0.16,0.18
331,1.53,-2.95,13.07,0.08,0.16,0.09
351,1.72,-1.95,8.23,0.03,-0.04,0.09
371,1.72,-1.95,8.23,0.13,0.05,0.23
391,-0.23,-0.57,10.45,0.12,0.12,0.25
411,2.61,-0.61,11.99,0.09,-0.1,0.37
432,1.11,-0.46,8.7,0.1,0.03,0.33
452,1.34,-0.19,7.89,0.04,0.06,0.33
471,1.34,-0.19,7.89,-0.02,-0.18,0.25
491,1.76,-0.11,11.15,-0.04,-0.07,0.23
511,1.76,-0.11,11.15,-0.06,-0.01,0.17
531,-0.08,-0.69,8.46,-0.06,-0.21,0.16
551,5.05,-0.88,9.16,-0.09,0.03,0.1
572,1.53,-0.23,10.15,-0.1,0.11,0.02
592,2.11,-1.76,6.32,-0.12,-0.02,0.04
611,1.95,-1.15,11.84,-0.13,-0.11,-0.03
631,0.77,-0.84,10.73,-0.09,0.23,-0.01
651,0.0,0.69,7.89,-0.13,0.02,-0.02
671,0.34,0.69,6.85,-0.19,-0.16,-0.11
692,1.3,0.96,14.4,-0.21,0.12,-0.19
712,3.22,-0.46,8.23,-0.19,0.16,-0.29
731,3.22,-0.46,8.23,-0.25,-0.05,-0.44
751,1.61,1.49,9.04,-0.31,0.13,-0.7
772,1.61,1.49,9.04,-0.27,0.15,-0.75
791,1.46,1.91,10.15,-0.29,0.1,-0.73
811,0.23,2.18,9.12,-0.31,-0.09,-0.69
832,-1.88,-0.92,8.5,-0.29,0.1,-0.74
852,1.84,-0.65,8.42,-0.2,0.12,-0.57
871,4.37,-2.38,11.57,-0.15,-0.14,-0.47
891,0.08,-1.42,10.23,-0.04,0.27,-0.37
911,0.15,-1.53,8.43,-0.06,0.06,-0.31
931,1.57,-2.11,9.23,-0.04,-0.18,-0.22
952,2.3,-2.64,9.5,0.04,0.26,-0.16
972,-0.42,-1.46,8.36,0.08,0.29,-0.13
991,-0.42,-1.46,8.36,0.05,-0.11,-0.08
