timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
22,1.19,-0.42,12.48,0.28,0.04,0.16
41,-3.41,-0.61,9.12,0.29,0.1,0.21
60,-3.41,-0.61,9.12,0.28,-0.14,0.2
80,-3.41,-0.61,9.12,0.12,-0.24,0.14
100,-0.15,-2.38,9.81,0.28,0.16,0.21
121,-0.15,-2.38,9.81,0.28,-0.03,0.17
141,-2.03,-0.11,10.54,0.19,-0.06,0.08
161,1.42,0.61,9.8,0.14,-0.18,0.1
180,1.42,0.61,9.8,0.28,0.2,0.1
201,1.42,0.61,9.8,0.2,-0.16,0.14
221,1.19,1.11,10.31,0.14,-0.1,0.12
240,1.19,1.11,10.31,0.19,0.12,0.04
260,1.19,1.11,10.31,0.13,-0.13,0.09
281,-1.8,0.84,9.2,0.16,0.11,-0.04
300,-0.34,-0.04,9.3,0.13,-0.04,0.0
320,-0.34,-0.04,9.3,0.11,-0.06,-0.02
340,-0.34,-0.04,9.3,0.09,-0.04,0.03
360,-0.34,-0.04,9.3,0.17,0.17,0.04
380,-0.23,-0.27,9.65,0.14,-0.15,0.06
401,-1.3,0.77,9.46,0.13,0.05,0.01
421,-3.64,-0.88,6.51,0.19,0.08,-0.04
441,0.57,-1.04,8.46,0.09,-0.37,-0.09
461,-2.45,-0.08,10.04,0.13,-0.27,0.04
481,-0.15,-1.76,6.86,0.34,0.36,0.09
501,1.38,-1.3,8.54,0.21,-0.3,0.25
521,0.54,-2.38,10.57,0.29,-0.05,0.34
541,0.77,-1.65,9.92,0.38,-0.04,0.58
561,-1.88,-1.15,9.38,0.4,-0.01,0.57
581,1.34,-0.84,11.22,0.31,-0.26,0.64
601,0.69,-0.57,11.03,0.36,0.15,0.57
620,-1.49,-0.11,5.48,0.41,0.12,0.62
640,3.48,0.92,13.67,0.38,-0.02,0.62
661,-0.96,1.19,14.55,0.18,0.25,0.52
681,-1.57,-1.34,7.17,0.28,0.25,0.55
701,-2.61,2.41,5.78,0.19,0.0,0.39
721,-2.22,1.3,10.84,0.0,-0.05,0.15
741,-2.18,1.72,7.93,0.0,0.05,-0.06
760,1.0,-0.65,10.19,0.03,0.05,-0.13
781,-0.38,0.96,10.23,0.07,0.14,-0.1
801,-0.34,-0.3,10.19,0.08,0.01,-0.03
821,-3.14,2.18,7.66,0.1,0.06,-0.02
841,-3.52,-0.8,5.86,0.16,-0.12,0.01
860,-0.46,-1.46,11.8,0.11,-0.25,0.1
880,-0.04,-2.07,10.73,0.15,-0.12,0.18
900,-0.96,-1.65,8.23,0.35,0.19,0.43
921,-1.84,-0.46,9.35,0.29,-0.16,0.53
941,1.07,-2.61,10.23,0.26,-0.29,0.67
960,-1.42,-1.65,10.54,0.26,-0.29,0.67
981,1.65,-2.95,10.92,0.44,0.22,0.84
1000,0.27,0.27,11.41,0.34,-0.13,0.94
1020,-2.64,-3.18,8.27,0.31,0.06,0.83
1040,5.05,-1.23,10.96,0.31,0.06,0.83
1060,1.57,0.42,12.02,0.18,0.07,0.81
1080,-2.26,-2.22,8.66,0.31,0.47,0.78
1100,-0.54,2.22,7.39,0.31,0.47,0.78
1120,0.04,1.34,10.39,0.31,0.47,0.78
1140,-2.14,0.27,10.8,0.31,0.47,0.78
1160,-1.68,0.38,9.5,0.31,0.47,0.78
1181,2.03,-0.08,11.98,0.05,0.21,0.38
1201,1.27,0.8,13.56,-0.05,0.15,0.39
1221,-3.41,-0.73,5.9,-0.05,0.15,0.39
1241,-1.65,1.72,9.96,0.0,-0.05,0.29
1260,1.23,-1.07,13.07,-0.15,-0.06,0.16
1280,0.88,1.07,9.77,-0.15,-0.06,0.16
1301,0.15,0.92,9.54,-0.15,-0.06,0.16
1321,-1.0,-0.04,10.15,-0.15,-0.06,0.16
1340,0.19,0.38,7.74,-0.02,0.06,0.41
1361,-1.15,-1.95,7.77,-0.02,0.06,0.41
1380,2.49,-1.34,11.42,-0.04,0.01,0.24
1400,-1.38,-0.84,12.34,0.07,0.35,0.31
1422,-0.5,-2.95,6.51,0.07,0.35,0.31
1441,3.48,1.57,10.57,0.07,0.35,0.31
1460,-2.26,1.8,10.96,-0.01,-0.06,0.54
1480,-0.23,0.08,9.38,0.1,0.29,0.64
1500,-1.34,1.04,7.82,0.04,0.07,0.63
1520,-0.73,-0.46,9.39,-0.03,0.03,0.53
1540,-0.27,0.61,10.65,-0.03,0.03,0.53
1561,0.15,-0.96,10.27,-0.09,0.15,0.4
1581,-1.04,0.19,10.8,-0.02,0.23,0.38
1600,-1.8,0.84,11.26,-0.09,0.15,0.33
1620,-1.95,1.42,8.12,-0.09,0.15,0.33
1642,-4.02,0.11,9.04,-0.08,0.09,0.15
1662,-0.27,-0.65,11.03,-0.11,0.09,0.07
1681,-0.08,-1.0,8.78,-0.11,0.09,0.07
1700,-2.38,0.15,8.23,0.06,0.25,0.27
1721,-1.07,-0.34,7.85,0.06,0.25,0.27
1742,0.73,-2.38,9.27,0.03,-0.05,0.34
1760,1.0,-1.88,12.1,0.11,0.05,0.52
1782,-1.04,-1.53,8.66,0.15,0.17,0.59
1801,2.03,-2.8,11.57,0.15,-0.06,0.77
1820,-1.76,0.38,7.43,0.15,-0.06,0.77
1841,1.38,-1.84,10.15,0.15,-0.06,0.77
1862,3.1,0.54,16.47,0.05,-0.2,0.74
1880,-0.11,0.15,13.06,0.1,0.43,0.72
1900,-2.26,-2.53,7.12,0.25,0.25,0.72
1920,-1.88,1.04,6.71,-0.05,-0.09,0.36
1941,0.61,-0.08,13.71,-0.1,-0.07,0.22
1960,-1.8,1.04,9.69,-0.02,0.28,0.22
1982,-0.84,0.96,7.36,0.1,0.41,0.23
2001,-0.34,2.07,9.0,0.02,0.07,0.22
2020,1.23,1.38,8.89,-0.1,0.03,0.1
2040,3.29,0.23,10.11,-0.1,-0.06,0.2
2060,0.34,0.57,11.0,0.05,0.31,0.33
2081,-0.42,-0.96,8.2,0.05,0.31,0.33
2102,1.0,1.68,9.88,-0.05,-0.33,0.28
2122,0.84,-0.84,12.56,-0.08,-0.07,0.23
2140,0.0,0.0,11.26,0.07,0.12,0.43
2160,0.57,1.42,9.43,0.03,0.09,0.42
2181,-0.73,-1.68,10.42,0.06,0.05,0.57
2201,0.23,-0.96,9.73,0.07,0.12,0.61
2221,-0.96,-1.53,6.93,0.13,0.15,0.67
2242,0.61,-1.23,10.45,0.11,0.03,0.62
2260,2.68,-2.8,14.82,0.04,0.05,0.6
2281,0.5,0.84,11.68,0.18,0.48,0.73
2300,-3.68,-0.46,6.97,0.24,0.37,0.79
2321,-4.56,1.61,6.74,-0.03,-0.09,0.53
2341,1.27,1.23,12.41,-0.07,-0.2,0.55
2362,0.04,-0.69,12.18,0.01,0.34,0.54
2382,-0.23,2.76,9.0,0.04,0.39,0.66
2401,-0.5,1.65,9.08,-0.09,0.13,0.58
2421,-0.08,1.15,9.58,-0.16,0.07,0.53
2442,-0.27,1.8,8.23,-0.19,0.15,0.38
2461,-2.26,-0.42,9.69,-0.21,0.1,0.24
2482,0.69,0.46,10.46,-0.26,-0.02,0.22
2502,-1.42,-0.34,11.49,-0.14,0.32,0.12
2521,-2.64,2.22,9.0,-0.17,0.2,0.06
2540,-2.64,2.22,9.0,-0.17,0.07,-0.04
2561,-2.68,0.46,9.3,-0.13,0.04,-0.02
