timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
20,4.06,-2.07,16.59,0.01,-0.23,0.02
36,-4.41,0.38,8.12,0.06,-0.08,0.11
57,0.8,-0.8,14.1,0.05,-0.06,0.07
77,0.34,-1.57,10.91,0.11,0.05,0.09
96,1.34,-0.04,10.91,0.05,-0.05,0.04
116,-0.27,-0.23,9.73,0.05,0.01,0.05
143,0.96,-0.54,10.45,0.02,-0.11,0.0
162,-1.95,0.57,8.5,0.07,-0.04,0.05
181,-1.95,0.57,8.5,0.03,0.08,0.05
201,-1.19,1.53,8.36,0.01,-0.05,-0.02
221,-0.92,-0.27,10.49,0.05,-0.05,0.03
242,0.96,-1.3,9.77,0.04,-0.03,0.01
261,0.88,-0.11,10.3,0.08,0.1,-0.01
282,4.02,-0.8,9.65,0.1,0.18,0.09
302,0.15,-0.84,9.23,0.07,-0.04,0.06
321,2.53,-0.65,10.65,0.04,-0.12,0.13
341,-0.08,-0.69,9.08,0.12,0.09,0.17
361,1.19,-0.15,9.3,0.04,0.0,0.14
381,-0.73,-1.68,9.88,0.05,-0.05,0.19
402,-2.68,-0.15,9.46,0.04,-0.01,0.13
422,-1.99,-0.27,8.2,0.06,0.08,0.11
441,-1.99,-0.27,8.2,0.03,-0.04,-0.0
461,-3.26,-0.46,7.66,0.06,0.05,-0.05
481,-3.26,-0.46,7.66,0.05,-0.1,-0.09
501,-0.15,-1.8,11.84,0.09,0.0,-0.11
521,-1.68,1.23,9.2,0.06,0.18,-0.13
542,-0.92,0.04,7.66,-0.01,0.01,-0.17
561,-0.92,0.04,7.66,-0.03,0.01,-0.12
581,-0.92,0.04,7.66,0.13,-0.17,0.15
601,-0.92,0.04,7.66,0.16,0.07,0.12
621,-2.14,-0.61,7.05,0.05,-0.02,0.27
641,-2.14,-0.61,7.05,0.09,-0.14,0.0
662,1.61,-1.23,11.88,0.05,0.12,0.03
682,1.3,1.72,8.58,-0.01,0.06,-0.1
701,1.3,1.72,8.58,0.06,-0.11,-0.22
721,1.3,1.72,8.58,0.0,0.02,-0.12
741,1.3,1.72,8.58,-0.03,0.02,-0.27
761,1.3,1.72,8.58,0.03,-0.04,-0.17
781,-0.92,-0.19,7.59,0.07,-0.08,-0.06
802,-4.1,-0.08,9.5,0.17,0.12,0.06
821,-4.1,-0.08,9.5,0.11,-0.05,0.17
842,2.91,-3.22,11.26,0.16,-0.21,0.25
861,2.91,-3.22,11.26,0.26,0.12,0.38
881,-1.65,-0.5,7.43,0.23,-0.06,0.38
901,-1.65,-0.5,7.43,0.27,-0.03,0.58
921,-1.61,-1.46,10.77,0.32,-0.06,0.65
940,0.08,0.08,9.65,0.24,-0.07,0.72
961,0.08,0.08,9.65,0.23,-0.03,0.73
981,-0.61,-2.03,8.54,0.22,-0.01,0.71
1001,-0.61,-2.03,8.54,0.17,-0.01,0.76
1021,-0.61,-2.03,8.54,0.1,-0.04,0.71
1041,0.96,-1.57,11.95,0.12,-0.1,0.59
1062,-3.6,2.18,7.43,0.05,0.14,0.5
1081,-3.6,2.18,7.43,-0.13,-0.0,0.34
1101,-0.8,-1.15,11.11,-0.07,-0.03,0.22
1121,-0.54,2.91,8.2,-0.11,0.09,0.24
1141,0.77,1.0,8.73,-0.19,0.05,0.21
1160,0.04,-1.04,9.54,-0.13,-0.03,0.23
1182,1.49,1.27,10.77,-0.2,0.15,0.06
1202,1.38,-0.84,12.26,-0.19,0.02,0.07
1221,1.38,-0.84,12.26,-0.13,0.15,-0.16
1241,-0.96,2.61,5.18,-0.28,0.08,-0.21
1261,-0.96,2.61,5.18,-0.25,0.0,-0.32
1281,-2.99,0.96,10.04,-0.18,0.21,-0.17
1300,-2.45,3.56,5.56,-0.28,-0.11,-0.15
1321,-1.27,-1.46,11.11,-0.18,-0.1,-0.04
1342,-1.99,1.68,8.42,-0.11,0.15,0.02
1361,-2.84,-0.08,7.28,-0.24,0.06,0.03
1381,-0.57,-1.61,10.45,-0.18,-0.17,0.05
1401,-0.57,-1.49,11.49,-0.06,0.09,0.04
1420,-2.8,0.65,7.27,-0.24,0.23,-0.01
1442,-2.03,-0.84,7.47,-0.2,-0.16,0.12
1461,0.04,-0.34,11.95,-0.09,-0.2,0.18
1481,0.04,-0.34,11.95,-0.13,0.29,0.2
1501,-0.77,-0.34,9.27,-0.24,-0.1,-0.04
1521,-0.77,-0.34,9.27,-0.05,-0.12,0.13
1541,-1.46,-1.07,7.89,-0.19,0.05,0.13
1561,-0.84,0.77,7.47,-0.21,-0.18,0.04
1580,-0.92,0.34,10.23,-0.11,-0.07,-0.03
1601,-0.92,0.34,10.23,-0.24,0.21,-0.16
1621,-2.07,1.61,9.23,-0.3,-0.01,-0.19
1641,-0.04,1.11,10.15,-0.29,-0.06,-0.24
1660,-1.23,-0.69,9.81,-0.28,0.03,-0.18
1681,0.73,-0.08,11.68,-0.25,0.02,-0.28
1701,-2.45,1.88,7.7,-0.27,0.07,-0.32
1721,-0.61,1.99,7.62,-0.36,0.15,-0.37
1741,-0.61,1.99,7.62,-0.26,-0.11,-0.3
1761,-0.19,-1.07,10.45,-0.19,0.05,-0.42
1781,-2.38,0.42,8.31,-0.29,0.27,-0.53
1800,-1.42,0.5,6.59,-0.28,0.05,-0.3
1821,0.84,0.38,10.27,-0.17,-0.04,-0.13
1842,-1.91,-1.42,11.64,-0.13,-0.04,-0.11
1861,-0.42,-1.84,8.93,-0.11,0.08,-0.13
1881,-0.42,-1.84,8.93,-0.2,-0.02,-0.24
1901,-0.11,-1.07,11.34,-0.17,0.05,-0.45
1921,-1.91,-0.19,9.58,-0.18,0.26,-0.52
1941,-3.83,2.3,7.35,-0.3,-0.02,-0.59
1961,-3.1,-0.84,9.88,-0.25,-0.13,-0.58
1981,-0.88,3.37,10.38,-0.16,-0.03,-0.37
2001,-0.88,3.37,10.38,-0.21,0.08,-0.43
2021,-0.11,-1.19,9.12,-0.17,-0.01,-0.27
2040,-0.61,-0.92,9.46,-0.17,0.08,-0.34
2061,-1.49,-2.76,8.12,-0.07,-0.06,-0.06
2081,2.72,-1.72,11.34,-0.07,-0.07,-0.12
2101,-2.3,-1.72,8.5,-0.06,0.16,-0.07
2121,-2.3,-1.72,8.5,-0.04,0.11,0.07
2141,-2.3,-1.72,8.5,-0.04,-0.03,-0.08
2161,-0.11,0.8,9.77,-0.1,-0.18,-0.03
2181,2.72,0.8,12.18,-0.14,-0.05,-0.3
2201,0.69,0.11,11.84,-0.19,0.49,-0.42
2221,4.98,0.38,11.07,-0.24,0.2,-0.47
2241,4.98,0.38,11.07,-0.3,0.13,-0.71
2261,4.98,0.38,11.07,-0.34,0.15,-0.52
2281,2.72,-0.08,10.92,-0.29,-0.28,-0.67
2300,-1.42,-1.88,7.97,-0.21,0.14,-0.21
2321,-1.42,-1.88,7.97,-0.31,0.22,-0.68
2341,-0.5,-2.84,8.43,-0.24,0.19,-0.53
2361,-0.5,-2.84,8.43,-0.19,0.12,-0.53
2381,-0.5,-2.84,8.43,-0.2,0.19,-0.46
2401,-0.5,-2.84,8.43,-0.21,0.01,-0.39
2421,-0.11,0.57,12.91,-0.2,-0.01,-0.48
2441,-0.11,0.57,12.91,-0.14,0.17,-0.45
2461,-2.11,-1.8,10.65,-0.26,0.12,-0.63
2480,-2.11,-1.8,10.65,-0.19,0.11,-0.52
2500,0.84,0.88,12.72,-0.22,0.03,-0.8
2521,0.84,0.88,12.72,-0.2,0.38,-0.8
2541,4.94,4.45,9.61,-0.31,-0.15,-1.06
2561,4.94,4.45,9.61,-0.29,-0.17,-1.24
2580,-2.68,3.52,11.3,-0.33,0.35,-1.37
2600,-1.15,1.53,9.65,-0.41,0.48,-1.82
2621,-1.15,1.53,9.65,-0.29,0.11,-1.36
2640,-5.21,-0.77,2.53,-0.38,0.16,-1.52
2660,4.94,1.15,15.55,-0.3,0.07,-0.87
2681,16.89,-2.49,28.77,0.34,-0.56,-0.68
2700,-6.85,-2.38,0.0,0.17,1.05,-1.01
2721,-6.85,-2.38,0.0,-0.34,0.62,-1.04
2742,-0.88,-12.72,8.93,0.05,-0.18,-0.77
2761,-2.53,-5.17,9.85,0.53,-0.28,0.18
2781,1.68,1.57,9.93,0.15,-0.02,-0.25
2801,0.73,-2.38,8.82,0.14,0.4,-0.21
2820,2.8,-3.07,10.88,0.21,0.28,-0.26
2841,-9.3,0.88,4.71,0.38,0.16,-0.24
2861,-9.3,0.88,4.71,0.06,0.35,-0.02
2881,4.02,-1.3,9.65,0.07,-0.38,-0.21
2901,2.41,-5.59,12.38,0.23,-0.23,0.1
2921,0.92,0.46,13.06,0.1,0.25,-0.34
2941,-5.6,-2.22,4.6,0.03,0.51,-0.24
2960,11.38,-2.84,17.12,0.1,0.26,-0.08
2981,3.56,-3.07,9.81,0.22,0.5,-0.38
3001,-20.41,6.74,10.04,0.11,1.28,-0.21
3020,13.63,2.14,6.13,-0.23,-0.25,-0.26
3041,-0.92,-0.92,13.25,-0.12,-0.64,-0.77
