timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
20,-0.69,-0.88,10.0,-0.05,0.04,0.01
36,-1.23,-1.91,8.04,-0.02,-0.16,0.18
57,1.84,-1.38,12.45,0.05,-0.29,0.21
77,-2.91,0.42,8.28,0.13,0.13,0.19
96,0.23,1.42,8.7,-0.09,0.05,0.06
116,0.23,1.42,8.7,-0.02,-0.0,0.03
136,-0.73,-1.99,9.77,-0.01,-0.08,-0.07
156,-0.73,-1.99,9.77,0.04,0.08,0.01
177,1.0,0.23,9.54,0.06,0.06,0.09
197,-1.19,0.5,7.97,0.12,-0.06,0.18
216,0.27,2.18,9.16,0.01,-0.05,0.18
236,2.34,-0.84,13.63,0.1,0.0,0.09
256,-0.61,-0.57,9.2,0.04,0.19,0.08
276,-1.23,0.34,6.44,-0.09,-0.11,-0.14
296,0.0,-1.76,9.04,0.03,-0.13,-0.01
317,-2.22,-0.34,7.43,0.1,0.05,-0.05
337,0.8,0.0,11.8,0.04,0.07,0.04
356,2.14,-1.84,11.3,0.1,-0.07,-0.01
376,2.14,-1.84,11.3,0.13,0.2,-0.12
396,-2.03,2.26,10.42,0.04,-0.03,0.12
416,-1.04,-0.5,8.92,0.09,-0.13,0.28
437,0.69,0.84,11.15,0.12,-0.14,0.32
457,1.8,-0.88,10.27,0.09,-0.06,0.07
476,1.34,-0.73,9.2,0.07,0.13,0.05
496,-2.95,-1.72,8.46,0.03,0.03,0.09
515,1.57,-1.88,8.08,0.06,-0.23,0.39
537,-1.65,-1.38,10.27,0.21,0.03,0.61
557,-1.65,-1.38,10.27,0.18,-0.05,0.48
577,-1.65,-1.38,10.27,-0.02,0.06,0.31
597,0.15,-0.27,10.95,-0.07,0.02,0.22
616,3.75,-2.03,13.41,0.0,-0.11,0.25
636,-2.49,-2.03,9.8,0.08,0.28,0.29
656,-2.34,0.42,8.2,-0.05,0.05,0.05
676,0.23,0.23,6.93,-0.12,-0.11,0.02
697,0.15,0.84,9.0,-0.11,-0.06,-0.09
717,0.57,1.0,10.38,-0.09,0.04,-0.07
736,2.14,0.15,10.73,-0.11,0.06,-0.1
756,-0.23,0.5,9.08,-0.12,0.13,-0.14
776,-0.96,1.46,7.17,-0.18,0.01,-0.16
796,0.0,0.11,7.93,-0.17,-0.16,-0.14
817,0.34,-0.3,12.79,-0.04,0.05,-0.08
837,0.34,-0.3,12.79,-0.03,0.13,0.02
856,-1.19,0.73,8.35,-0.15,-0.05,-0.04
876,-2.61,-0.19,10.15,-0.11,0.01,-0.01
896,1.07,-0.27,10.61,-0.07,-0.13,0.04
916,1.07,-0.27,10.61,-0.02,0.15,0.1
937,-2.38,-0.23,10.03,-0.04,0.02,0.0
956,-2.38,-0.23,10.03,-0.03,-0.1,0.1
976,0.3,-0.27,11.64,-0.03,-0.02,0.08
996,-2.03,-0.46,10.57,0.0,0.11,0.1
1016,0.88,-0.19,9.61,-0.02,-0.05,0.21
1036,-0.5,-0.96,8.35,0.01,0.07,0.18
1056,-1.27,0.61,9.08,-0.04,0.07,0.12
1076,-1.27,0.61,9.08,-0.05,-0.08,0.15
1096,-1.27,0.61,9.08,-0.05,-0.01,0.06
1116,3.83,-1.46,10.11,-0.01,-0.02,0.14
1136,3.83,-1.46,10.11,-0.0,0.14,0.1
1156,-0.38,1.46,9.2,-0.09,-0.02,0.04
1176,-0.38,1.46,9.2,-0.13,-0.19,0.02
1196,1.61,-0.69,11.3,-0.06,0.05,-0.03
1216,1.61,-0.69,11.3,-0.04,0.1,-0.0
1236,1.61,-0.69,11.3,-0.06,-0.04,0.02
1256,1.61,-0.69,11.3,-0.1,-0.03,-0.07
1276,0.5,-1.46,9.2,-0.08,-0.15,-0.02
1296,0.5,-1.46,9.2,-0.04,0.07,0.0
1316,0.23,-0.27,11.64,-0.02,0.0,0.0
1336,0.23,-0.27,11.64,-0.01,0.07,0.13
1356,0.23,-0.27,11.64,-0.08,-0.11,0.1
1376,-0.65,-2.07,10.35,-0.05,-0.05,0.08
1395,1.0,-0.61,10.0,-0.06,0.08,0.1
1415,-0.42,-0.3,9.3,-0.07,0.02,0.0
1436,-0.42,-0.3,9.3,-0.09,0.0,-0.02
1456,-0.42,-0.3,9.3,-0.08,-0.05,-0.02
1477,-0.42,-0.3,9.3,-0.12,0.07,-0.15
1497,1.04,-0.27,9.08,-0.1,0.05,-0.16
1516,-0.04,0.46,9.65,-0.1,0.02,-0.24
1536,-0.23,-1.04,8.62,-0.1,0.04,-0.22
1556,-0.84,-0.34,9.69,-0.09,0.05,-0.2
1577,-1.46,-0.42,10.31,-0.03,0.06,-0.17
1597,-0.19,0.96,7.7,-0.02,0.0,-0.03
1617,-1.76,0.57,10.23,-0.03,0.04,0.0
1636,1.46,-0.69,10.11,-0.02,0.07,0.02
1656,-1.07,-0.34,9.5,-0.07,-0.12,0.05
1675,-1.07,0.11,10.57,-0.02,0.07,0.06
1696,-1.57,-0.54,8.62,-0.04,0.09,0.02
1716,-2.91,0.61,6.89,-0.04,0.04,0.03
