timestamp,quatI,quatJ,quatK,quatReal
112702443,-0.01,-0.04,-0.7,0.72
112711117,-0.01,-0.04,-0.7,0.72
112712947,0.0,0.01,-0.74,0.67
112715194,0.0,0.01,-0.74,0.67
112718022,0.0,0.01,-0.74,0.67
112720221,0.0,0.01,-0.74,0.68
112723677,0.0,0.01,-0.74,0.68
112726128,0.0,0.01,-0.74,0.68
112728963,0.0,0.01,-0.74,0.68
112731618,0.0,0.01,-0.74,0.68
112733732,0.0,0.01,-0.74,0.68
112736559,0.0,0.01,-0.74,0.68
112739175,0.0,0.01,-0.74,0.68
112741531,0.0,0.01,-0.74,0.68
112745886,0.0,0.01,-0.74,0.68
112747119,0.0,0.01,-0.74,0.68
112749619,0.0,0.01,-0.74,0.68
112752620,0.0,0.01,-0.74,0.68
112755633,0.0,0.01,-0.74,0.68
112758833,0.0,0.01,-0.74,0.68
112761642,0.0,0.01,-0.74,0.68
112764643,0.0,0.01,-0.74,0.68
112767639,0.0,0.01,-0.74,0.68
112771278,0.0,0.01,-0.74,0.68
112773638,0.0,0.01,-0.74,0.68
112836771,0.0,0.01,-0.74,0.68
112846550,0.0,0.01,-0.74,0.68
112847731,0.0,0.01,-0.73,0.68
112849141,0.0,0.01,-0.73,0.68
112851740,0.0,0.01,-0.73,0.68
112853581,0.0,0.01,-0.73,0.68
112856786,0.0,0.01,-0.73,0.68
112859525,0.0,0.01,-0.73,0.68
112861362,0.0,0.01,-0.73,0.68
112864282,0.0,0.01,-0.73,0.68
112866705,0.0,0.01,-0.73,0.68
112869844,0.0,0.01,-0.73,0.68
112872657,0.0,0.01,-0.73,0.68
112875621,0.0,0.01,-0.73,0.68
112878629,0.0,0.01,-0.73,0.68
112881711,0.0,0.01,-0.73,0.68
112884634,0.0,0.01,-0.73,0.68
112887726,0.0,0.01,-0.73,0.68
112891314,0.0,0.01,-0.73,0.68
112893639,0.0,0.01,-0.73,0.68
112897094,0.0,0.01,-0.73,0.68
112899663,0.0,0.01,-0.73,0.68
112902651,0.0,0.01,-0.74,0.68
112905653,0.0,0.01,-0.74,0.68
112908757,0.0,0.01,-0.74,0.68
112912294,0.0,0.01,-0.74,0.68
112914619,0.0,0.01,-0.74,0.68
112917616,0.0,0.01,-0.74,0.68
112920628,0.0,0.01,-0.74,0.68
112924310,0.0,0.01,-0.74,0.68
112926647,0.0,0.01,-0.74,0.68
112929636,0.0,0.01,-0.74,0.68
112932694,0.0,0.01,-0.74,0.68
112935620,-0.0,0.01,-0.74,0.68
112939290,-0.0,0.01,-0.74,0.68
112941635,-0.0,0.01,-0.74,0.68
112944701,-0.0,0.01,-0.74,0.68
112947613,-0.0,0.01,-0.74,0.68
112951310,-0.0,0.01,-0.74,0.68
112953644,-0.0,0.01,-0.74,0.68
112957216,-0.0,0.01,-0.74,0.68
112959667,-0.0,0.01,-0.74,0.68
112962657,-0.0,0.01,-0.74,0.68
112965674,-0.0,0.01,-0.74,0.68
112969320,-0.0,0.01,-0.74,0.68
112971624,-0.0,0.01,-0.74,0.68
112974618,-0.0,0.01,-0.74,0.68
112977620,-0.0,0.01,-0.74,0.68
112980656,-0.0,0.01,-0.74,0.68
112984485,-0.0,0.01,-0.74,0.68
112986656,-0.0,0.01,-0.74,0.68
112989635,-0.0,0.01,-0.74,0.68
112992623,-0.0,0.01,-0.74,0.68
112996286,-0.0,0.01,-0.74,0.68
112999261,-0.0,0.01,-0.74,0.68
113001636,-0.0,0.01,-0.74,0.68
113004709,-0.0,0.01,-0.74,0.68
113007741,-0.0,0.01,-0.74,0.68
113011309,-0.0,0.01,-0.74,0.67
113013640,-0.0,0.01,-0.74,0.67
113017058,-0.0,0.01,-0.74,0.67
113019659,-0.0,0.01,-0.74,0.67
113022652,-0.0,0.01,-0.74,0.67
113025673,-0.0,0.01,-0.74,0.67
113028646,-0.0,0.01,-0.74,0.67
113031626,-0.0,0.01,-0.74,0.67
113034767,-0.0,0.01,-0.74,0.67
113037619,-0.0,0.01,-0.74,0.67
113041370,-0.0,0.01,-0.74,0.67
113043641,-0.0,0.01,-0.74,0.67
113046632,-0.0,0.01,-0.74,0.67
113049632,-0.01,0.01,-0.74,0.67
113052628,-0.01,0.01,-0.74,0.67
113056358,-0.01,0.01,-0.74,0.67
113058803,-0.01,0.01,-0.74,0.67
113061854,-0.01,0.01,-0.74,0.67
113064621,-0.01,0.01,-0.74,0.67
113067645,-0.01,0.01,-0.74,0.67
113071395,-0.01,0.01,-0.74,0.67
113073642,-0.01,0.01,-0.74,0.67
113076913,-0.01,0.01,-0.74,0.67
113079673,-0.01,0.01,-0.74,0.67
113082769,-0.01,0.02,-0.74,0.67
113085678,-0.01,0.02,-0.74,0.67
113089365,-0.01,0.02,-0.74,0.67
113091835,-0.0,0.02,-0.74,0.67
113094618,-0.0,0.02,-0.74,0.67
113098288,-0.0,0.02,-0.74,0.67
113100626,-0.0,0.02,-0.74,0.67
113103636,-0.0,0.02,-0.74,0.67
113106787,-0.0,0.02,-0.74,0.67
113109637,-0.0,0.02,-0.74,0.67
113112615,-0.0,0.02,-0.74,0.67
113116310,-0.0,0.02,-0.74,0.67
113118757,-0.0,0.02,-0.74,0.67
113121864,-0.0,0.02,-0.74,0.67
113124639,-0.0,0.02,-0.74,0.67
113127613,-0.0,0.02,-0.74,0.67
113130623,-0.0,0.02,-0.74,0.67
113134396,-0.0,0.02,-0.74,0.67
113136814,-0.0,0.02,-0.74,0.67
113139666,-0.0,0.02,-0.74,0.67
113142649,-0.0,0.02,-0.74,0.67
113145668,-0.0,0.02,-0.74,0.67
113149290,-0.0,0.02,-0.74,0.67
113151769,-0.0,0.02,-0.74,0.67
113154614,-0.0,0.02,-0.74,0.67
113157708,-0.0,0.02,-0.74,0.67
113161285,-0.0,0.02,-0.74,0.67
113163640,-0.0,0.02,-0.74,0.67
113166796,-0.0,0.02,-0.74,0.67
113169666,-0.0,0.02,-0.74,0.67
113172640,-0.0,0.02,-0.74,0.67
113176415,-0.0,0.02,-0.74,0.67
113178649,-0.0,0.02,-0.74,0.67
113181693,-0.0,0.02,-0.74,0.67
113184624,-0.0,0.02,-0.74,0.67
113187626,-0.0,0.02,-0.74,0.67
113191390,-0.0,0.02,-0.74,0.67
113193636,-0.0,0.02,-0.74,0.67
