timestamp,quatI,quatJ,quatK,quatReal
531889774,0.08,-0.0,-1.0,0.01
531899486,0.08,-0.0,-1.0,0.01
531900734,0.02,0.01,1.0,0.02
531901914,0.02,0.02,1.0,0.02
531904342,0.02,0.02,1.0,0.02
531906959,0.02,0.02,1.0,0.02
531908746,0.02,0.02,1.0,0.02
531911522,0.02,0.02,1.0,0.02
531913799,0.02,0.02,1.0,0.02
531916724,0.02,0.02,1.0,0.02
531919686,0.02,0.02,1.0,0.02
531922655,0.02,0.02,1.0,0.02
531926153,0.02,0.02,1.0,0.02
531928820,0.02,0.02,1.0,0.02
531931657,0.02,0.02,1.0,0.02
531934767,0.02,0.02,1.0,0.02
531938333,0.02,0.02,1.0,0.02
531940668,0.02,0.02,1.0,0.02
531943780,0.02,0.02,1.0,0.02
531946662,0.02,0.02,1.0,0.02
531949653,0.02,0.02,1.0,0.02
531953942,0.02,0.02,1.0,0.02
531955691,0.02,0.02,1.0,0.02
531958890,0.02,0.02,1.0,0.02
531961659,0.02,0.02,1.0,0.02
532009834,0.02,0.02,1.0,0.02
532019652,0.02,0.02,1.0,0.02
532020852,0.02,0.02,1.0,0.01
532023091,0.02,0.02,1.0,0.01
532025524,0.02,0.02,1.0,0.01
532028346,0.02,0.02,1.0,0.01
532030169,0.02,0.02,1.0,0.01
532033022,0.02,0.02,1.0,0.01
532035960,0.02,0.02,1.0,0.01
532038164,0.02,0.02,1.0,0.01
532041751,0.02,0.02,1.0,0.01
532044979,0.02,0.02,1.0,0.01
532046772,0.02,0.02,1.0,0.01
532049781,0.02,0.02,1.0,0.01
532052587,0.02,0.03,1.0,0.01
532054707,0.02,0.03,1.0,0.01
532057697,0.02,0.03,1.0,0.01
532060711,0.02,0.03,1.0,0.01
532063752,0.02,0.03,1.0,0.01
532067347,0.02,0.03,1.0,0.01
532069914,0.02,0.03,1.0,0.01
532076170,0.02,0.03,1.0,0.01
532077788,0.02,0.03,1.0,0.01
532080852,0.02,0.03,1.0,0.01
532085208,0.02,0.03,1.0,0.01
532088820,0.02,0.03,1.0,0.01
532090436,0.02,0.03,1.0,0.01
532093459,0.02,0.03,1.0,0.01
532096290,0.02,0.03,1.0,0.01
532098132,0.02,0.03,1.0,0.01
532101107,0.02,0.03,1.0,0.01
532102923,0.02,0.03,1.0,0.01
532105770,0.02,0.03,1.0,0.01
532108821,0.02,0.03,1.0,0.01
532111660,0.02,0.03,1.0,0.01
532114753,0.02,0.03,1.0,0.01
532117686,0.02,0.03,1.0,0.01
532120663,0.02,0.03,1.0,0.01
532123650,0.02,0.03,1.0,0.01
532126656,0.02,0.03,1.0,0.01
532130395,0.02,0.03,1.0,0.01
532132708,0.02,0.03,1.0,0.01
532136139,0.02,0.03,1.0,0.01
532138690,0.02,0.03,1.0,0.01
532141659,0.02,0.03,1.0,0.01
532144677,0.02,0.03,1.0,0.01
532148336,0.02,0.03,1.0,0.01
532151095,0.02,0.03,1.0,0.01
532153677,0.02,0.03,1.0,0.01
532156687,0.02,0.03,1.0,0.01
532159766,0.02,0.03,1.0,0.01
532162688,0.02,0.03,1.0,0.01
532165672,0.02,0.03,1.0,0.01
532169404,0.02,0.03,1.0,0.01
532172390,0.02,0.03,1.0,0.01
532174779,0.02,0.03,1.0,0.01
532177704,0.02,0.03,1.0,0.01
532180700,0.02,0.03,1.0,0.01
532183785,0.02,0.03,1.0,0.01
532186666,0.02,0.03,1.0,0.01
532190392,0.02,0.03,1.0,0.01
532192695,0.02,0.03,1.0,0.01
532196142,0.02,0.03,1.0,0.01
532198689,0.02,0.03,1.0,0.01
532201659,0.02,0.03,1.0,0.01
532204656,0.02,0.03,1.0,0.01
532208326,0.02,0.03,1.0,0.01
532210704,0.01,0.03,1.0,0.01
532213684,0.01,0.03,1.0,0.01
532216659,0.01,0.03,1.0,0.01
532219655,0.01,0.03,1.0,0.01
532223339,0.01,0.03,1.0,0.01
532225691,0.01,0.03,1.0,0.01
532228689,0.01,0.03,1.0,0.01
532231745,0.01,0.03,1.0,0.01
532235526,0.01,0.03,1.0,0.01
532237686,0.01,0.03,1.0,0.01
532240685,0.01,0.03,1.0,0.01
532243649,0.01,0.03,1.0,0.01
532246651,0.02,0.03,1.0,0.01
532250428,0.02,0.03,1.0,0.01
532252720,0.02,0.03,1.0,0.01
532256045,0.02,0.03,1.0,0.01
532258790,0.02,0.03,1.0,0.02
532261691,0.02,0.03,1.0,0.02
532264679,0.02,0.03,1.0,0.02
532268359,0.02,0.03,1.0,0.02
532271254,0.02,0.03,1.0,0.02
532273715,0.02,0.03,1.0,0.02
532276667,0.02,0.03,1.0,0.02
532279653,0.02,0.03,1.0,0.02
532282664,0.02,0.03,1.0,0.02
532285700,0.02,0.03,1.0,0.02
532288743,0.02,0.03,1.0,0.02
532292341,0.02,0.04,1.0,0.02
532294665,0.02,0.04,1.0,0.02
532297680,0.02,0.04,1.0,0.02
532300681,0.02,0.04,1.0,0.02
532303679,0.02,0.04,1.0,0.02
532306663,0.02,0.04,1.0,0.02
532309808,0.02,0.04,1.0,0.02
532313357,0.02,0.04,1.0,0.02
532315699,0.02,0.04,1.0,0.02
532318692,0.02,0.04,1.0,0.02
532321653,0.02,0.04,1.0,0.02
532324664,0.02,0.04,1.0,0.02
532328329,0.02,0.04,1.0,0.02
532330674,0.02,0.04,1.0,0.02
532333913,0.02,0.04,1.0,0.02
532336681,0.02,0.04,1.0,0.02
532339656,0.02,0.04,1.0,0.02
532343338,0.02,0.04,1.0,0.02
532345943,0.02,0.04,1.0,0.02
532348703,0.02,0.04,1.0,0.02
532351654,0.02,0.04,1.0,0.02
532355425,0.02,0.04,1.0,0.02
532357680,0.02,0.04,1.0,0.02
532360991,0.02,0.04,1.0,0.02
532363666,0.02,0.04,1.0,0.02
532366662,0.02,0.04,1.0,0.02
532370418,0.02,0.04,1.0,0.02
532372733,0.02,0.04,1.0,0.02
532376173,0.02,0.04,1.0,0.02
532378695,0.02,0.04,1.0,0.02
532381696,0.02,0.04,1.0,0.02
532384820,0.02,0.04,1.0,0.02
532388333,0.02,0.04,1.0,0.02
532390839,0.02,0.05,1.0,0.02
532393667,0.02,0.05,1.0,0.02
532396679,0.02,0.05,1.0,0.02
532399675,0.02,0.05,1.0,0.02
532402681,0.02,0.05,1.0,0.02
532406491,0.02,0.05,1.0,0.02
532409402,0.02,0.05,1.0,0.01
532411674,0.02,0.05,1.0,0.01
532414683,0.02,0.05,1.0,0.01
532417755,0.02,0.05,1.0,0.01
532420789,0.02,0.05,1.0,0.01
532423655,0.02,0.05,1.0,0.01
532426665,0.02,0.05,1.0,0.01
532430380,0.02,0.05,1.0,0.01
532432722,0.02,0.05,1.0,0.01
532436223,0.02,0.05,1.0,0.0
532438691,0.02,0.05,1.0,0.0
532441690,0.02,0.06,1.0,0.0
532444697,0.02,0.06,1.0,0.0
532448364,0.02,0.06,1.0,0.0
532450785,0.02,0.06,1.0,0.0
532453664,-0.02,-0.06,-1.0,0.0
532456672,-0.02,-0.06,-1.0,0.0
532459771,-0.02,-0.06,-1.0,0.0
532464071,-0.02,-0.06,-1.0,0.0
532465748,-0.02,-0.06,-1.0,0.0
532468664,-0.02,-0.06,-1.0,0.0
532472376,-0.02,-0.06,-1.0,0.01
532474753,-0.02,-0.06,-1.0,0.01
532477724,-0.02,-0.06,-1.0,0.01
532481003,-0.02,-0.06,-1.0,0.01
532483768,-0.02,-0.06,-1.0,0.01
532486661,-0.02,-0.06,-1.0,0.01
532490374,-0.02,-0.06,-1.0,0.01
532492674,-0.02,-0.06,-1.0,0.01
532495737,-0.02,-0.07,-1.0,0.01
532498688,-0.02,-0.07,-1.0,0.01
532501696,-0.02,-0.07,-1.0,0.02
532504685,-0.02,-0.07,-1.0,0.02
532509069,-0.02,-0.07,-1.0,0.02
532510709,-0.02,-0.07,-1.0,0.02
532513688,-0.02,-0.07,-1.0,0.02
532516699,-0.02,-0.07,-1.0,0.02
532520340,-0.02,-0.07,-1.0,0.02
532523292,-0.02,-0.07,-1.0,0.03
532525686,-0.02,-0.07,-1.0,0.03
532528680,-0.03,-0.07,-1.0,0.03
532531767,-0.03,-0.07,-1.0,0.03
532535446,-0.03,-0.07,-1.0,0.03
532537667,-0.03,-0.07,-1.0,0.03
532540842,-0.03,-0.07,-1.0,0.03
532543672,-0.03,-0.08,-1.0,0.04
532547342,-0.03,-0.08,-1.0,0.04
532550456,-0.03,-0.08,-1.0,0.04
532552693,-0.03,-0.08,-1.0,0.04
532555695,-0.03,-0.08,-1.0,0.04
532558793,-0.03,-0.08,-1.0,0.04
532562363,-0.03,-0.08,-1.0,0.04
532564686,-0.03,-0.08,-1.0,0.05
532567679,-0.03,-0.08,-1.0,0.05
532570665,-0.03,-0.08,-1.0,0.05
532573661,-0.03,-0.08,-1.0,0.05
532576688,-0.03,-0.08,-0.99,0.05
532580386,-0.03,-0.08,-0.99,0.05
532582682,-0.03,-0.08,-0.99,0.06
532585746,-0.03,-0.08,-0.99,0.06
532588663,-0.03,-0.08,-0.99,0.06
532591662,-0.03,-0.08,-0.99,0.06
532595348,-0.03,-0.08,-0.99,0.06
532597672,-0.03,-0.09,-0.99,0.06
532600791,-0.03,-0.09,-0.99,0.07
532603664,-0.03,-0.09,-0.99,0.07
532606660,-0.03,-0.09,-0.99,0.07
532610566,-0.03,-0.09,-0.99,0.07
532613342,-0.03,-0.09,-0.99,0.07
532615690,-0.03,-0.09,-0.99,0.07
532618692,-0.03,-0.09,-0.99,0.07
532622365,-0.03,-0.09,-0.99,0.08
532627918,-0.03,-0.09,-0.99,0.08
532640304,-0.03,-0.09,-0.99,0.08
532642538,-0.03,-0.09,-0.99,0.08
532647398,-0.03,-0.09,-0.99,0.09
532650246,-0.03,-0.09,-0.99,0.09
532651856,-0.03,-0.09,-0.99,0.09
532653852,-0.03,-0.09,-0.99,0.09
532655042,-0.03,-0.09,-0.99,0.09
532659194,-0.03,-0.09,-0.99,0.09
532662709,-0.03,-0.09,-0.99,0.09
532664736,-0.03,-0.09,-0.99,0.09
532667783,-0.03,-0.09,-0.99,0.09
532670416,-0.03,-0.09,-0.99,0.09
532672487,-0.03,-0.09,-0.99,0.1
532675705,-0.03,-0.09,-0.99,0.1
532679355,-0.03,-0.09,-0.99,0.1
532681346,-0.03,-0.09,-0.99,0.1
532684250,-0.03,-0.09,-0.99,0.1
532686255,-0.03,-0.09,-0.99,0.1
532689087,-0.03,-0.09,-0.99,0.1
532693783,-0.03,-0.09,-0.99,0.1
532696720,-0.03,-0.09,-0.99,0.1
532700385,-0.03,-0.09,-0.99,0.1
532702722,-0.03,-0.09,-0.99,0.1
532705703,-0.03,-0.09,-0.99,0.1
532708772,-0.03,-0.09,-0.99,0.1
532711668,-0.03,-0.09,-0.99,0.1
532715346,-0.03,-0.09,-0.99,0.1
532717693,-0.03,-0.09,-0.99,0.1
532720843,-0.03,-0.09,-0.99,0.1
532723657,-0.03,-0.09,-0.99,0.1
532727334,-0.03,-0.09,-0.99,0.1
532729684,-0.03,-0.09,-0.99,0.1
532733116,-0.03,-0.09,-0.99,0.1
532735667,-0.03,-0.09,-0.99,0.1
532738664,-0.03,-0.09,-0.99,0.1
532741670,-0.03,-0.09,-0.99,0.1
532745406,-0.03,-0.09,-0.99,0.1
532747767,-0.03,-0.09,-0.99,0.1
532750676,-0.03,-0.09,-0.99,0.1
532753735,-0.03,-0.09,-0.99,0.1
532757427,-0.03,-0.09,-0.99,0.1
532759820,-0.03,-0.09,-0.99,0.1
532762697,-0.03,-0.09,-0.99,0.1
532765658,-0.03,-0.09,-0.99,0.1
532768764,-0.03,-0.09,-0.99,0.1
532771660,-0.03,-0.09,-0.99,0.1
532775334,-0.03,-0.09,-0.99,0.1
532777670,-0.03,-0.09,-0.99,0.1
