timestamp,quatI,quatJ,quatK,quatReal
88224678,-0.01,0.04,-0.05,1.0
88234424,-0.01,0.04,-0.06,1.0
88235634,0.02,0.02,-0.03,1.0
88236910,0.02,0.02,-0.03,1.0
88238538,0.02,0.02,-0.03,1.0
88240336,0.02,0.02,-0.03,1.0
88243152,0.02,0.02,-0.03,1.0
88245555,0.02,0.02,-0.03,1.0
88249008,0.02,0.02,-0.03,1.0
88251556,0.02,0.02,-0.03,1.0
88254545,0.02,0.02,-0.03,1.0
88258136,0.02,0.02,-0.03,1.0
88260947,0.02,0.02,-0.03,1.0
88263753,0.01,0.02,-0.03,1.0
88266550,0.01,0.02,-0.03,1.0
88269562,0.01,0.02,-0.03,1.0
88272559,0.01,0.02,-0.03,1.0
88275584,0.01,0.02,-0.03,1.0
88278721,0.01,0.02,-0.03,1.0
88281544,0.01,0.02,-0.03,1.0
88284547,0.01,0.02,-0.03,1.0
88288321,0.01,0.02,-0.03,1.0
88290574,0.01,0.02,-0.03,1.0
88293661,0.01,0.02,-0.03,1.0
88296537,0.01,0.02,-0.03,1.0
88341679,0.01,0.02,-0.03,1.0
88351423,0.01,0.02,-0.03,1.0
88352609,0.0,0.02,-0.04,1.0
88353787,-0.0,0.02,-0.05,1.0
88356632,-0.0,0.02,-0.05,1.0
88359471,-0.0,0.02,-0.05,1.0
88360860,-0.0,0.02,-0.05,1.0
88362709,-0.0,0.02,-0.05,1.0
88365589,-0.0,0.02,-0.05,1.0
88368715,-0.0,0.02,-0.05,1.0
88371601,-0.0,0.02,-0.05,1.0
88374542,-0.0,0.02,-0.05,1.0
88377572,-0.0,0.02,-0.05,1.0
88380601,-0.0,0.02,-0.05,1.0
88383673,-0.0,0.02,-0.05,1.0
88386652,-0.01,0.02,-0.05,1.0
88389544,-0.01,0.02,-0.05,1.0
88393224,-0.01,0.02,-0.06,1.0
88395662,-0.01,0.02,-0.06,1.0
88398970,-0.01,0.02,-0.06,1.0
88401604,-0.01,0.02,-0.06,1.0
88404581,-0.01,0.02,-0.06,1.0
88408279,-0.01,0.02,-0.06,1.0
88410626,-0.01,0.02,-0.06,1.0
88413570,-0.01,0.02,-0.06,1.0
88416549,-0.01,0.02,-0.06,1.0
88419545,-0.01,0.02,-0.06,1.0
88423245,-0.01,0.02,-0.06,1.0
88425577,-0.01,0.02,-0.06,1.0
88428554,-0.01,0.02,-0.07,1.0
88431546,-0.01,0.02,-0.07,1.0
88435220,-0.01,0.02,-0.07,1.0
88437634,-0.01,0.02,-0.07,1.0
88440992,-0.01,0.02,-0.07,1.0
88443575,-0.01,0.02,-0.07,1.0
88446548,-0.01,0.02,-0.07,1.0
88450226,-0.01,0.02,-0.07,1.0
88452577,-0.01,0.02,-0.07,1.0
88455641,-0.01,0.02,-0.07,1.0
88458550,-0.01,0.02,-0.07,1.0
88461721,-0.01,0.02,-0.07,1.0
88465321,-0.01,0.02,-0.07,1.0
88467596,-0.01,0.02,-0.07,1.0
88470660,-0.01,0.02,-0.07,1.0
88473624,-0.01,0.02,-0.07,1.0
88476543,-0.01,0.02,-0.07,1.0
88479548,-0.01,0.02,-0.07,1.0
88483303,-0.01,0.02,-0.07,1.0
88485604,-0.01,0.02,-0.07,1.0
88488569,-0.01,0.02,-0.07,1.0
88491561,-0.01,0.02,-0.07,1.0
88495225,-0.01,0.02,-0.07,1.0
88497569,-0.01,0.02,-0.07,1.0
88501088,-0.01,0.02,-0.07,1.0
88503548,-0.01,0.02,-0.07,1.0
88506545,-0.01,0.02,-0.07,1.0
88509562,-0.01,0.02,-0.07,1.0
88513314,-0.01,0.02,-0.07,1.0
88515605,-0.01,0.02,-0.07,1.0
88518541,-0.01,0.02,-0.07,1.0
88524493,-0.01,0.02,-0.07,1.0
88526508,-0.01,0.02,-0.07,1.0
88540174,-0.01,0.02,-0.07,1.0
88541767,-0.01,0.02,-0.07,1.0
88545420,-0.01,0.02,-0.07,1.0
88555040,-0.01,0.02,-0.07,1.0
88556832,-0.01,0.02,-0.07,1.0
88560525,-0.01,0.02,-0.07,1.0
88562637,-0.01,0.02,-0.07,1.0
88565662,-0.01,0.02,-0.07,1.0
88568454,-0.01,0.02,-0.07,1.0
88570053,-0.01,0.02,-0.07,1.0
88574123,-0.01,0.02,-0.07,1.0
88576555,-0.01,0.02,-0.07,1.0
88580206,-0.01,0.02,-0.07,1.0
88583261,-0.01,0.02,-0.07,1.0
88586764,-0.01,0.02,-0.07,1.0
88588015,-0.01,0.02,-0.07,1.0
88590942,-0.01,0.02,-0.07,1.0
88595192,-0.01,0.02,-0.07,1.0
