timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
19,2.45,2.53,8.85,0.0,0.0,-0.0
22,2.45,0.34,10.57,-0.05,0.03,-0.27
31,-3.68,0.5,6.63,-0.09,0.13,-0.26
41,-0.69,-1.53,7.66,-0.09,0.13,-0.26
51,0.27,-1.57,10.0,-0.09,0.13,-0.26
61,2.41,-1.91,13.14,-0.09,0.13,-0.26
72,2.91,-0.84,13.18,-0.06,0.09,-0.21
81,0.34,-1.88,10.91,-0.06,0.09,-0.21
91,2.18,-0.34,12.26,-0.06,0.09,-0.21
101,0.19,0.15,9.93,-0.06,0.09,-0.21
111,-1.34,-0.19,7.7,-0.01,0.06,-0.18
122,1.49,-1.34,9.38,-0.01,0.06,-0.18
131,1.8,-0.38,9.84,-0.01,0.06,-0.18
142,-0.65,-0.38,8.35,-0.04,0.09,-0.2
151,-1.3,-0.61,8.88,-0.04,0.09,-0.2
162,-0.77,-0.08,7.59,0.01,-0.04,-0.16
171,0.65,-0.23,9.5,0.01,-0.14,-0.15
182,1.72,-0.42,10.65,0.01,-0.14,-0.15
191,1.65,-1.65,8.5,0.01,-0.03,-0.15
202,3.37,-1.68,10.23,0.03,-0.04,-0.13
211,1.27,-1.84,10.65,0.03,-0.04,-0.13
221,-1.91,-0.92,9.16,0.03,-0.04,-0.13
232,-4.21,-0.46,9.54,0.08,0.11,-0.12
241,-1.61,0.19,8.24,0.09,0.08,-0.07
251,0.54,0.04,8.89,0.09,0.08,-0.07
261,3.48,-0.46,10.3,0.09,0.08,-0.07
271,4.98,-1.53,9.12,0.09,0.08,-0.07
281,2.84,-1.99,10.19,0.09,0.08,-0.07
291,-14.9,-0.96,9.88,0.09,0.08,-0.07
302,-8.08,1.61,12.3,0.09,0.08,-0.07
311,-8.08,1.61,12.3,0.11,0.02,-0.3
321,6.05,0.8,8.31,0.11,0.02,-0.3
331,11.07,-1.68,8.04,0.11,0.02,-0.3
341,0.27,0.77,7.55,0.11,0.02,-0.3
351,-8.12,1.0,5.17,0.11,0.02,-0.3
362,-5.25,4.25,7.43,0.11,0.02,-0.3
371,4.02,2.61,6.59,0.11,0.02,-0.3
382,6.4,-3.29,9.89,0.11,0.02,-0.3
391,4.02,-5.71,15.82,0.19,0.38,-0.05
401,1.0,0.84,9.54,0.19,0.38,-0.05
412,1.57,0.19,10.27,0.19,0.38,-0.05
421,-0.23,-3.26,8.54,0.19,0.38,-0.05
432,-0.92,-2.68,9.96,0.19,0.38,-0.05
441,-4.14,-0.57,9.08,0.19,0.38,-0.05
452,-5.79,-0.92,8.92,0.19,0.38,-0.05
461,-0.11,-1.46,9.46,0.22,-0.23,0.19
471,0.8,-0.57,7.36,0.22,-0.23,0.19
481,-1.84,-1.38,6.79,0.22,-0.23,0.19
492,-4.06,-1.19,7.74,0.22,-0.23,0.19
501,-1.23,-0.84,8.01,0.29,0.03,0.51
511,-0.15,-0.73,8.81,0.29,0.03,0.51
521,1.65,-1.46,10.96,0.29,0.03,0.51
532,2.38,-2.53,10.27,0.29,0.03,0.51
541,-0.92,-2.49,10.96,0.29,0.03,0.51
551,-1.0,-1.04,9.85,0.29,0.03,0.51
562,1.42,-0.19,5.86,0.29,0.03,0.51
571,1.42,-0.19,5.86,0.23,-0.14,0.61
581,-0.73,-2.11,11.26,0.23,-0.14,0.61
591,-0.19,-1.99,11.95,0.23,-0.14,0.61
601,-1.07,-1.95,10.77,0.3,-0.13,0.68
611,4.14,-0.84,11.8,0.3,-0.13,0.68
621,5.82,-0.92,13.91,0.32,-0.09,0.62
633,-2.38,-0.57,10.95,0.31,0.02,0.56
641,-1.04,0.57,10.19,0.26,0.1,0.49
651,-1.61,0.96,8.08,0.15,-0.13,0.28
662,-0.61,1.99,9.38,0.15,-0.13,0.28
671,-0.61,1.99,9.38,0.03,-0.09,0.04
682,1.3,1.88,11.04,0.03,-0.09,0.04
692,1.3,1.88,11.04,-0.01,0.05,-0.15
701,1.91,2.91,9.89,-0.01,-0.06,-0.24
711,2.26,4.29,10.0,-0.03,-0.03,-0.3
721,2.91,3.29,9.61,-0.06,0.09,-0.38
731,0.04,3.22,7.39,-0.06,0.09,-0.38
742,-0.46,2.45,8.27,-0.13,0.01,-0.55
751,-0.61,2.3,11.68,-0.13,0.01,-0.55
761,-6.32,1.68,7.24,-0.13,0.01,-0.55
771,-2.61,3.87,8.58,-0.13,0.01,-0.55
781,2.84,1.84,10.23,-0.13,0.01,-0.55
791,2.84,1.53,8.42,-0.23,-0.38,-0.94
801,2.11,-0.8,9.04,-0.23,-0.38,-0.94
811,-0.54,-1.07,8.62,-0.14,0.45,-0.8
822,-0.96,0.04,9.23,-0.14,0.45,-0.8
831,-0.96,0.04,9.23,-0.07,-0.22,-0.64
842,-0.8,-2.8,11.07,-0.07,-0.22,-0.64
851,-0.84,-4.94,8.73,-0.07,-0.22,-0.64
861,-1.07,-3.48,9.61,0.15,0.04,-0.12
872,-1.38,-3.79,9.43,0.15,0.04,-0.12
882,-2.49,-4.45,7.36,0.23,0.03,0.13
891,-3.26,-4.94,7.36,0.35,0.05,0.54
901,-3.52,-3.98,6.71,0.39,-0.01,0.69
911,-3.68,-4.94,8.12,0.46,-0.18,1.01
922,0.11,-4.37,11.45,0.46,-0.18,1.01
931,0.11,-4.37,11.45,0.59,-0.08,1.3
942,-2.14,-4.71,8.27,0.59,-0.08,1.3
952,-2.14,-4.71,8.27,0.63,-0.1,1.6
961,0.08,-3.26,11.76,0.59,-0.01,1.57
971,-0.57,-3.14,10.96,0.6,0.05,1.63
981,0.77,-3.37,10.77,0.66,-0.19,1.78
991,-3.87,-1.61,6.89,0.66,-0.19,1.78
1002,-3.1,-3.29,8.16,0.56,-0.12,1.96
1011,-1.95,-3.14,5.52,0.56,-0.12,1.96
1021,3.1,-0.8,9.16,0.56,-0.12,1.96
1031,6.51,-4.64,13.57,0.57,-0.13,1.96
1042,0.57,-2.38,13.29,0.54,-0.07,1.87
1051,0.57,-2.38,13.29,0.6,-0.03,1.87
1062,1.84,-2.18,11.34,0.6,-0.03,1.87
1071,1.84,-2.18,11.34,0.37,-0.02,1.46
1081,3.45,-1.07,7.7,0.34,0.06,1.43
1094,-0.46,-1.49,8.01,0.29,0.11,1.42
1101,-1.38,0.5,8.04,0.18,-0.05,1.22
1111,-0.38,-0.15,9.54,0.18,-0.05,1.22
1122,-2.61,1.42,6.89,0.13,0.07,1.02
1132,3.91,2.34,9.23,0.13,0.07,1.02
1141,0.61,1.46,10.88,0.11,-0.11,0.79
1151,1.15,1.23,9.88,-0.02,0.15,0.58
1162,2.87,1.8,11.3,-0.02,0.15,0.58
1171,1.8,3.95,10.65,-0.12,0.24,0.21
1182,4.41,2.87,10.92,-0.12,0.24,0.21
1192,4.41,2.87,10.92,-0.18,0.27,-0.16
1201,-0.3,2.26,9.69,-0.24,0.26,-0.24
1212,-0.3,2.26,9.69,-0.28,0.03,-0.42
1221,1.53,1.34,10.88,-0.24,0.09,-0.48
1232,1.53,1.34,10.88,-0.31,0.16,-0.52
1241,3.41,1.04,8.23,-0.3,0.0,-0.63
1252,1.84,0.54,9.92,-0.3,0.0,-0.63
1262,1.38,-0.27,10.91,-0.28,0.19,-0.61
1273,1.15,0.42,10.65,-0.22,0.11,-0.57
1282,1.15,0.42,10.65,-0.2,0.16,-0.51
1291,0.11,-0.3,8.7,-0.16,0.08,-0.36
1302,-1.42,-0.08,8.42,-0.16,0.05,-0.32
1311,-1.42,-0.08,8.42,-0.16,0.04,-0.15
1322,-5.05,4.41,7.59,-0.16,0.04,-0.15
1332,-5.05,4.41,7.59,-0.21,-0.01,0.23
1342,3.29,-3.41,10.41,-0.08,-0.33,0.3
1352,3.29,-3.41,10.41,0.22,-0.04,0.59
1362,4.02,-4.94,11.07,0.36,0.17,0.78
1372,1.38,6.78,9.61,0.4,0.08,0.84
1382,1.38,6.78,9.61,0.04,0.26,0.65
1392,-7.32,-3.83,8.5,0.04,0.26,0.65
1402,-7.32,-3.83,8.5,-0.05,-0.04,0.46
1412,0.11,-11.49,12.87,0.2,-0.47,0.7
1423,6.32,-2.76,10.31,0.33,-0.49,0.63
1431,6.32,-2.76,10.31,0.11,0.56,0.57
1442,-6.36,-3.98,7.24,0.11,0.56,0.57
1452,-6.36,-3.98,7.24,0.23,-0.12,1.08
1462,0.08,-0.69,10.27,0.23,-0.12,1.08
1472,0.08,-0.69,10.27,0.43,-0.28,1.26
1482,8.04,1.72,14.29,0.32,0.3,1.2
1491,8.04,1.72,14.29,0.25,0.24,1.2
1501,-4.06,0.04,9.73,0.18,0.19,1.19
1511,-0.46,0.73,7.97,0.18,0.22,1.21
1522,-0.46,0.73,7.97,0.2,0.15,1.33
1532,-0.46,0.73,7.97,0.13,0.1,1.46
1542,-4.6,-0.27,9.0,0.13,0.06,1.54
1551,-1.0,-2.84,9.34,0.14,-0.19,1.64
1562,-1.38,-0.73,9.92,0.17,-0.26,1.59
1572,-1.38,-0.73,9.92,0.12,0.21,1.54
1582,-0.57,1.38,9.43,0.08,0.04,1.46
1592,-0.57,1.38,9.43,-0.01,0.1,1.34
1602,-0.84,0.96,12.41,-0.06,0.22,1.24
1611,-0.84,0.96,12.41,-0.06,-0.0,1.11
1622,1.0,0.65,9.42,-0.1,0.22,1.05
1632,-2.18,3.14,7.74,-0.18,0.35,1.05
1642,-2.18,3.14,7.74,-0.31,0.08,0.85
1651,4.29,-2.57,13.71,-0.31,0.08,0.85
1662,4.29,-2.57,13.71,-0.17,0.16,0.71
1671,4.29,-2.57,13.71,-0.21,0.29,0.58
1682,0.8,2.72,9.12,-0.27,0.21,0.51
1692,0.8,2.72,9.12,-0.42,0.33,0.26
1702,-0.15,2.49,7.24,-0.42,0.33,0.26
1711,-0.15,2.49,7.24,-0.52,0.35,0.21
1722,-2.68,3.33,7.2,-0.54,0.28,0.17
1732,-2.68,3.33,7.2,-0.55,0.13,0.16
1741,-2.68,0.92,2.57,-0.55,0.09,0.25
1752,-2.68,0.92,2.57,-0.45,-0.13,0.36
1761,-2.68,0.92,2.57,-0.33,0.16,0.15
1773,0.65,-0.69,14.94,-0.33,0.16,0.15
1782,0.65,-0.69,14.94,-0.41,0.5,-0.2
1792,-6.82,4.14,2.61,-0.68,0.45,-0.35
1801,-1.72,4.06,4.21,-0.82,0.41,-0.42
1811,-0.04,2.41,7.66,-0.79,-0.02,-0.39
1822,1.72,-2.26,14.21,-0.7,-0.11,-0.36
1832,1.72,-2.26,14.21,-0.38,0.07,-0.15
1842,2.68,1.72,10.39,-0.42,0.25,-0.18
1851,2.68,1.72,10.39,-0.57,0.21,-0.24
1861,0.0,3.26,3.33,-0.74,0.14,-0.32
1872,0.0,3.26,3.33,-0.76,0.07,-0.5
1882,0.0,3.26,3.33,-0.67,0.09,-0.49
1893,2.84,0.46,11.46,-0.67,0.09,-0.49
1902,2.84,0.46,11.46,-0.57,0.07,-0.59
1912,1.23,1.53,9.61,-0.67,0.34,-0.71
