timestamp,quatI,quatJ,quatK,quatReal
319174514,-0.09,0.07,0.99,0.08
319184952,-0.09,0.07,0.99,0.08
319186302,-0.03,0.03,0.69,0.72
319187488,-0.03,0.03,0.69,0.72
319188834,-0.03,0.03,0.69,0.72
319192002,-0.03,0.03,0.69,0.72
319196106,-0.03,0.03,0.69,0.72
319197961,-0.03,0.03,0.69,0.72
319200996,-0.03,0.03,0.69,0.72
319203638,-0.03,0.03,0.69,0.72
319205427,-0.03,0.03,0.69,0.72
319207857,-0.03,0.03,0.69,0.72
319210398,-0.03,0.03,0.69,0.72
319213430,-0.02,0.03,0.69,0.73
319216468,-0.02,0.03,0.69,0.73
319219385,-0.02,0.03,0.69,0.73
319222378,-0.02,0.03,0.69,0.73
319225399,-0.02,0.03,0.69,0.73
319228983,-0.02,0.03,0.69,0.73
319231481,-0.02,0.03,0.69,0.73
319234382,-0.02,0.03,0.69,0.73
319237387,-0.02,0.03,0.69,0.73
319241149,-0.02,0.03,0.69,0.73
319243438,-0.02,0.03,0.68,0.73
319246379,-0.02,0.03,0.68,0.73
319303498,-0.02,0.03,0.68,0.73
319313247,-0.02,0.03,0.68,0.73
319314458,-0.03,0.03,0.68,0.73
319316979,-0.03,0.03,0.68,0.73
319318391,-0.03,0.03,0.68,0.73
319320215,-0.03,0.03,0.68,0.74
319323104,-0.03,0.03,0.68,0.74
319325813,-0.03,0.03,0.68,0.74
319327636,-0.03,0.03,0.68,0.74
319330421,-0.03,0.03,0.68,0.74
319333412,-0.03,0.03,0.68,0.74
319336383,-0.03,0.03,0.68,0.74
319339392,-0.02,0.03,0.68,0.74
319342392,-0.02,0.03,0.68,0.74
319345388,-0.02,0.03,0.68,0.74
319349040,-0.02,0.03,0.68,0.74
319351388,-0.02,0.03,0.68,0.74
319354390,-0.02,0.03,0.68,0.74
319357382,-0.02,0.03,0.68,0.74
319360391,-0.02,0.03,0.68,0.74
319363447,-0.02,0.03,0.68,0.74
319366587,-0.02,0.03,0.68,0.74
319370196,-0.02,0.03,0.68,0.74
319372453,-0.02,0.03,0.68,0.74
319375417,-0.02,0.03,0.68,0.74
319378995,-0.02,0.03,0.68,0.74
319381385,-0.02,0.03,0.68,0.74
319384389,-0.02,0.03,0.68,0.74
319387383,-0.02,0.03,0.68,0.74
319391155,-0.02,0.03,0.68,0.74
319393392,-0.02,0.03,0.68,0.74
319396375,-0.02,0.03,0.68,0.74
319399390,-0.02,0.03,0.68,0.74
319402394,-0.02,0.03,0.68,0.74
319406729,-0.02,0.03,0.68,0.74
319409063,-0.02,0.03,0.68,0.74
319411387,-0.02,0.03,0.68,0.73
319414382,-0.02,0.03,0.68,0.73
319417384,-0.02,0.03,0.68,0.73
319420396,-0.02,0.03,0.68,0.73
319423445,-0.02,0.03,0.68,0.73
319426410,-0.02,0.03,0.68,0.73
319429473,-0.02,0.03,0.68,0.73
319433248,-0.02,0.03,0.68,0.73
319435450,-0.02,0.03,0.68,0.73
319438642,-0.02,0.03,0.68,0.73
319441501,-0.02,0.03,0.68,0.73
319445068,-0.02,0.03,0.68,0.73
319447386,-0.02,0.03,0.68,0.73
319450436,-0.02,0.03,0.68,0.73
319453555,-0.02,0.03,0.68,0.73
319456381,-0.02,0.03,0.68,0.73
319459396,-0.02,0.03,0.68,0.73
319463105,-0.02,0.03,0.68,0.73
319465493,-0.02,0.03,0.68,0.73
319468612,-0.02,0.03,0.68,0.73
319471439,-0.02,0.03,0.68,0.73
319474390,-0.02,0.03,0.68,0.73
319478090,-0.02,0.03,0.68,0.73
319480396,-0.02,0.03,0.68,0.73
319483650,-0.02,0.03,0.68,0.73
319486411,-0.02,0.03,0.68,0.73
319489504,-0.01,0.03,0.68,0.73
319492487,-0.01,0.03,0.68,0.73
319495426,-0.01,0.03,0.68,0.73
319498526,-0.01,0.03,0.68,0.73
319502047,-0.01,0.03,0.68,0.73
319505053,-0.01,0.04,0.68,0.73
319507375,-0.01,0.04,0.69,0.73
319510389,-0.01,0.04,0.69,0.73
319513521,-0.01,0.04,0.69,0.73
319516465,-0.01,0.04,0.69,0.73
319519396,-0.01,0.04,0.69,0.73
319522389,-0.01,0.04,0.69,0.73
319526807,-0.01,0.04,0.69,0.73
319529191,-0.01,0.04,0.69,0.73
319531402,-0.01,0.04,0.69,0.73
319534390,-0.01,0.04,0.69,0.73
319537379,-0.01,0.04,0.69,0.73
319540500,-0.01,0.04,0.69,0.72
319543800,-0.01,0.04,0.69,0.72
319546409,-0.01,0.04,0.69,0.72
319549445,-0.01,0.04,0.69,0.72
319552410,-0.01,0.04,0.69,0.72
319556110,-0.01,0.04,0.69,0.72
319558516,-0.01,0.04,0.69,0.72
319561395,-0.01,0.04,0.69,0.72
319564378,-0.01,0.04,0.69,0.72
319567396,-0.01,0.04,0.69,0.72
319571824,-0.01,0.04,0.69,0.72
319573467,-0.01,0.04,0.69,0.72
319576429,-0.01,0.04,0.69,0.72
319579384,-0.01,0.04,0.69,0.72
319583046,-0.01,0.04,0.69,0.72
319585401,-0.01,0.04,0.69,0.72
319588590,-0.01,0.04,0.69,0.72
319591466,-0.01,0.04,0.69,0.72
319594385,-0.01,0.04,0.69,0.72
319597398,-0.01,0.04,0.69,0.72
319601065,-0.01,0.04,0.69,0.72
319603449,-0.01,0.04,0.69,0.72
319606411,-0.01,0.04,0.69,0.72
319609466,-0.01,0.04,0.69,0.72
319612412,-0.01,0.04,0.69,0.72
319615599,-0.01,0.04,0.69,0.72
319618409,-0.01,0.04,0.69,0.72
319621472,-0.01,0.04,0.69,0.72
319624395,-0.01,0.04,0.69,0.72
319627393,-0.01,0.04,0.69,0.72
319631795,-0.01,0.04,0.69,0.72
319633389,-0.01,0.04,0.69,0.72
319636518,-0.01,0.04,0.69,0.72
319639396,-0.01,0.04,0.69,0.73
319643068,-0.01,0.04,0.69,0.73
319645391,-0.01,0.04,0.69,0.73
319648496,-0.01,0.04,0.69,0.73
319651381,-0.01,0.04,0.69,0.73
319654379,-0.01,0.04,0.69,0.73
319658053,-0.01,0.04,0.69,0.73
319660390,-0.01,0.04,0.68,0.73
319663451,-0.01,0.04,0.68,0.73
319666582,-0.01,0.04,0.68,0.73
319670112,-0.01,0.04,0.68,0.73
319672411,-0.01,0.04,0.68,0.73
319675423,-0.01,0.04,0.68,0.73
319678440,-0.01,0.04,0.68,0.73
319681390,-0.01,0.04,0.68,0.73
319685046,-0.01,0.04,0.68,0.73
319687400,-0.01,0.04,0.68,0.73
319690501,-0.01,0.03,0.68,0.73
319693619,-0.01,0.03,0.68,0.73
