timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
17,-2.3,-2.91,6.93,-0.2,-0.02,-0.15
30,1.27,2.07,11.5,-0.02,-0.14,0.09
50,1.27,2.07,11.5,-0.06,0.21,-0.03
70,1.65,-0.42,9.23,-0.06,0.05,-0.01
90,1.65,-0.42,9.23,-0.09,-0.12,-0.03
110,-0.73,-0.11,8.46,-0.12,0.05,0.01
130,0.04,-0.46,10.3,-0.1,-0.07,0.04
151,-1.49,0.38,9.16,-0.04,0.02,0.16
171,-1.49,0.38,9.16,-0.06,-0.19,0.14
191,-1.49,0.38,9.16,-0.08,0.14,0.15
211,-1.95,0.19,7.7,-0.08,0.06,0.2
230,0.8,-0.8,7.97,-0.08,-0.16,0.29
250,-1.88,0.08,10.27,-0.11,-0.08,0.24
270,-1.88,0.08,10.27,-0.05,0.18,0.27
291,-1.19,-0.04,7.43,-0.14,-0.13,0.19
311,-0.84,-0.77,9.31,-0.11,0.01,0.25
331,-1.23,0.73,9.23,-0.18,0.04,0.11
350,1.3,0.38,9.38,-0.24,0.01,-0.04
370,0.3,-0.8,10.27,-0.27,0.09,-0.14
391,-1.07,0.19,9.58,-0.24,0.09,-0.25
411,0.57,0.5,10.54,-0.24,0.06,-0.21
430,-0.88,2.3,8.04,-0.25,0.08,-0.25
450,0.54,2.07,9.73,-0.31,-0.08,-0.33
471,0.8,1.99,9.3,-0.35,0.05,-0.4
491,1.34,-0.15,10.39,-0.3,-0.02,-0.37
511,0.08,1.11,9.38,-0.27,0.15,-0.36
531,0.65,-0.27,9.23,-0.29,0.0,-0.46
551,1.11,-0.23,10.77,-0.33,0.03,-0.53
571,0.38,-0.96,9.89,-0.29,0.1,-0.56
590,0.5,0.23,10.61,-0.24,0.07,-0.53
611,0.23,-0.77,9.96,-0.24,0.05,-0.55
630,1.38,-0.57,9.34,-0.24,0.05,-0.55
651,1.99,-0.65,10.61,-0.17,0.07,-0.51
671,0.08,-0.5,9.04,-0.17,0.11,-0.5
691,0.27,-0.5,8.81,-0.12,0.03,-0.52
711,2.18,-1.04,11.19,-0.12,-0.04,-0.56
730,0.3,-1.19,11.42,-0.09,0.07,-0.54
750,0.0,-0.92,9.16,0.0,0.11,-0.52
770,0.84,-1.15,9.2,0.0,0.05,-0.54
791,0.69,-1.15,9.73,-0.02,0.03,-0.54
811,-0.57,-0.54,10.15,0.04,0.12,-0.3
830,-0.23,-2.8,9.54,0.04,0.12,-0.3
850,1.57,-3.14,10.0,0.04,0.12,-0.3
870,0.34,-3.22,9.54,0.04,0.12,-0.3
890,-0.65,-2.45,9.61,0.22,0.09,0.13
910,0.84,-1.8,8.58,0.22,0.09,0.13
931,0.15,-0.42,8.96,0.24,-0.0,0.21
950,1.11,-1.68,9.04,0.21,0.02,0.2
971,-0.04,-1.46,9.85,0.2,-0.02,0.2
990,0.11,-1.04,9.2,0.17,0.01,0.11
1010,1.88,-0.92,9.96,0.15,-0.06,0.12
1031,-0.84,-0.04,8.7,0.15,-0.06,0.12
1051,1.88,-0.8,9.69,0.15,-0.06,0.12
1070,0.08,-0.73,10.73,0.15,-0.06,0.12
1090,0.34,-0.69,9.04,0.15,-0.06,0.12
1111,0.11,-1.07,8.84,0.15,-0.06,0.12
1130,1.04,-0.11,9.73,0.11,-0.0,-0.01
1150,0.61,-0.23,8.88,0.11,-0.0,-0.01
1170,0.65,-0.34,10.0,0.06,-0.01,-0.04
1191,2.49,-0.11,10.42,0.06,-0.01,-0.04
1210,1.27,-0.65,10.42,0.05,-0.04,-0.03
1230,0.46,-0.04,9.46,0.05,-0.04,-0.03
1250,-0.11,-0.23,7.39,0.0,-0.04,-0.13
1271,1.11,0.11,9.27,-0.01,-0.06,-0.14
1291,1.95,-0.5,10.88,-0.01,-0.06,-0.14
1310,0.3,-1.0,9.23,-0.01,-0.06,-0.14
1332,1.72,-0.27,8.96,-0.01,-0.06,-0.14
1350,-0.84,0.11,9.12,-0.01,0.04,-0.21
1371,-0.65,-0.23,9.04,-0.01,0.04,-0.21
1390,1.84,-0.77,9.5,-0.01,-0.11,-0.18
1410,0.23,-1.0,10.31,0.03,0.08,-0.12
1431,0.34,-1.27,9.0,0.02,0.11,-0.11
1450,0.46,-0.84,8.85,0.01,-0.11,-0.07
1471,1.34,-0.65,10.0,0.04,-0.07,-0.01
1491,-0.08,-0.96,9.27,0.06,0.03,0.05
1510,0.5,-2.3,9.65,0.06,-0.04,0.08
1530,0.23,-0.92,10.57,0.04,0.04,0.08
1551,0.77,-1.46,9.43,0.06,0.0,0.1
1570,1.46,-1.07,10.46,0.06,-0.05,0.1
1591,0.0,-1.23,9.46,0.06,0.01,0.11
1612,1.84,-1.53,9.12,0.02,-0.03,0.09
1630,1.0,-1.0,8.28,0.05,-0.01,0.1
1650,-0.8,-0.88,9.96,0.05,0.08,0.14
1671,1.42,-0.61,8.89,0.05,-0.1,0.16
1691,0.57,-0.88,10.11,0.05,-0.1,0.16
1710,0.15,-0.88,9.12,0.05,0.06,0.15
1731,1.49,-0.77,9.08,0.03,-0.04,0.16
1750,0.61,-0.34,9.08,0.0,-0.0,0.1
1770,0.38,0.34,9.58,-0.04,0.02,0.04
1791,1.19,0.27,9.58,-0.07,-0.05,-0.04
1811,1.68,-0.42,10.0,-0.08,0.01,-0.12
1831,0.5,-0.11,9.69,-0.09,0.08,-0.18
1851,1.49,0.11,10.07,-0.12,-0.05,-0.27
1871,0.42,0.65,9.73,-0.14,-0.03,-0.31
1890,0.27,0.5,10.03,-0.19,0.07,-0.43
1911,-0.04,0.3,9.08,-0.18,0.01,-0.47
1931,0.34,0.34,9.65,-0.19,0.02,-0.54
1951,-0.88,1.15,9.08,-0.2,0.07,-0.58
1972,0.11,-0.15,10.19,-0.21,0.06,-0.62
1992,0.19,-1.04,9.84,-0.21,0.01,-0.63
2011,-1.27,-1.76,10.0,-0.14,0.13,-0.6
2031,-0.92,-1.53,8.73,-0.13,0.01,-0.59
2050,-0.57,-2.87,8.42,-0.08,-0.05,-0.52
2071,-0.5,-2.41,10.69,-0.04,0.09,-0.47
2092,0.69,-2.57,9.65,0.01,0.06,-0.39
2111,0.54,-2.53,10.19,0.04,-0.0,-0.33
2130,-0.08,-2.22,9.04,0.1,0.1,-0.15
2151,-0.19,-1.72,9.27,0.14,0.01,0.02
2171,0.04,-1.53,9.54,0.17,-0.0,0.18
2191,0.42,-1.91,9.0,0.2,0.0,0.29
2212,0.15,-0.73,9.96,0.2,-0.0,0.33
2231,-0.15,-0.8,9.65,0.18,0.0,0.35
2250,0.92,-0.77,9.81,0.15,-0.04,0.32
2271,0.96,-0.88,9.08,0.13,-0.03,0.26
2291,0.54,-1.0,10.11,0.09,0.04,0.14
2311,-0.88,-0.61,9.16,0.05,-0.0,0.03
2332,-0.15,-0.3,9.46,0.02,-0.04,-0.06
2351,-0.46,-0.5,9.65,0.01,0.06,-0.14
2371,0.42,-0.3,10.07,0.01,-0.01,-0.18
2391,0.5,-0.42,9.2,-0.0,-0.0,-0.28
2411,0.5,-0.42,9.2,-0.01,0.05,-0.29
2431,0.15,0.19,9.54,-0.04,0.02,-0.32
2451,0.3,-0.3,9.77,-0.01,0.04,-0.26
2472,-0.19,0.38,10.0,-0.01,0.05,-0.23
2491,0.04,0.46,10.0,-0.03,0.01,-0.21
2510,-1.0,-0.3,9.77,-0.06,0.07,-0.24
2531,-1.0,-0.3,9.77,-0.05,-0.01,-0.24
2550,-0.57,-0.57,9.08,-0.04,0.06,-0.23
2571,-0.57,-0.34,9.5,-0.07,0.05,-0.29
2591,-0.19,-1.27,9.35,-0.08,-0.03,-0.3
