timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
19,0.0,0.8,9.12,-0.23,-0.09,-0.09
30,0.38,-2.61,5.32,0.22,-0.28,0.2
51,1.0,-0.11,14.05,0.17,-0.42,0.16
71,2.11,-1.49,11.42,0.03,0.06,0.02
91,-2.61,-0.27,5.13,0.03,0.06,0.02
111,-0.19,0.46,10.11,0.2,-0.13,0.25
131,0.84,0.42,13.02,0.2,-0.13,0.25
151,-0.46,-0.54,7.66,0.2,-0.13,0.25
171,-2.11,-1.0,8.35,0.2,-0.13,0.25
191,3.33,-0.08,16.63,0.02,-0.15,0.03
211,3.03,-1.46,12.68,0.02,-0.15,0.03
231,-6.7,0.11,3.79,0.23,0.47,0.33
251,-7.86,0.92,3.07,0.23,0.47,0.33
271,3.79,-0.5,10.88,-0.08,-0.61,-0.31
291,1.46,0.8,13.37,-0.08,-0.61,-0.31
311,0.11,-1.46,8.12,0.16,0.56,0.16
331,-6.32,-0.5,5.52,0.16,0.56,0.16
352,4.71,-1.72,10.15,0.16,0.56,0.16
371,-1.84,0.04,12.76,-0.0,-0.48,0.12
391,-4.41,-2.68,7.17,-0.0,-0.48,0.12
411,2.8,-2.57,7.86,0.15,-0.43,0.19
432,1.95,0.23,10.73,0.15,-0.43,0.19
451,2.57,-0.92,12.87,0.15,-0.43,0.19
471,-4.71,-0.11,8.01,0.15,-0.43,0.19
491,0.15,-0.34,8.81,0.14,0.0,0.32
512,-1.15,1.19,11.42,0.05,-0.3,0.31
532,-0.8,-1.46,7.47,0.03,0.02,0.3
551,-1.95,-0.96,7.89,0.06,-0.01,0.22
571,-0.27,-0.46,12.1,0.06,-0.01,0.22
591,-0.27,1.04,8.62,-0.0,0.07,0.06
612,-0.8,1.04,11.54,-0.02,0.13,0.02
632,0.92,1.19,9.5,-0.02,0.06,0.02
652,-1.0,0.92,8.7,-0.05,-0.0,-0.0
672,0.77,0.77,9.46,-0.06,-0.0,-0.13
691,0.42,-0.19,8.92,-0.07,0.04,-0.21
711,-0.61,-0.27,6.59,-0.02,-0.01,-0.27
732,4.79,-0.27,12.72,-0.06,-0.25,-0.29
752,-0.42,-0.34,11.68,-0.04,-0.01,-0.19
772,-1.76,-2.11,6.59,0.06,0.36,-0.09
791,0.04,0.69,7.05,0.09,-0.28,-0.03
811,-0.88,0.23,10.65,0.03,-0.11,-0.19
831,0.54,-2.18,9.77,0.05,-0.01,-0.13
851,-0.08,-1.65,10.34,0.16,-0.0,0.04
872,0.0,-1.68,11.0,0.21,-0.03,0.25
892,-2.57,-0.54,7.97,0.27,0.14,0.34
911,-2.07,-1.91,7.09,0.23,-0.14,0.34
932,0.84,-1.53,11.22,0.23,-0.15,0.34
951,-0.61,-0.96,12.18,0.23,0.11,0.5
972,0.77,-1.72,8.77,0.29,0.13,0.61
990,-2.03,-0.84,9.77,0.23,-0.01,0.6
1012,2.14,-2.8,9.93,0.16,-0.08,0.43
1032,-1.0,0.57,9.73,0.13,-0.16,0.42
1051,-0.27,-0.65,10.84,0.11,0.07,0.26
1071,1.19,-1.23,10.41,0.13,0.03,0.26
1091,-2.87,0.65,6.59,0.1,-0.04,0.08
1111,4.21,0.19,15.55,0.01,-0.25,0.07
1132,-2.18,0.15,9.16,0.03,0.22,0.14
1152,-0.88,-2.41,6.59,0.17,0.22,0.2
1171,0.23,1.61,8.78,0.08,-0.17,0.17
1191,-0.92,-0.08,9.65,0.04,0.0,0.08
1211,0.38,-1.04,10.69,0.04,-0.05,0.1
1232,0.57,-0.88,9.08,0.11,0.09,0.18
1252,0.92,-0.77,11.38,0.13,0.02,0.31
1272,-1.11,0.11,9.31,0.13,0.05,0.37
1291,-2.95,-1.11,6.62,0.13,0.04,0.32
1311,-1.23,-0.69,10.5,0.07,-0.11,0.25
1331,1.07,-0.08,11.92,0.07,0.04,0.28
1351,-0.46,-0.88,9.3,0.13,0.1,0.34
1372,-0.3,-1.07,8.92,0.1,-0.02,0.31
1392,0.3,-0.46,10.19,0.09,-0.09,0.29
1412,-0.38,-0.15,9.65,0.09,0.09,0.27
1431,-0.46,-0.96,10.11,0.1,0.03,0.31
1451,-1.65,-0.73,9.88,0.12,0.09,0.29
1471,-1.88,-0.42,7.16,0.11,-0.06,0.26
1491,0.19,0.08,11.61,0.08,-0.1,0.36
1512,-2.26,-0.27,8.35,0.13,0.27,0.44
1533,0.04,-2.11,6.97,0.17,0.04,0.43
1551,0.15,0.27,8.74,0.07,-0.05,0.31
1571,-0.42,-0.42,10.39,0.07,0.05,0.33
1591,2.45,-0.96,12.83,0.08,0.11,0.4
1612,0.34,-2.11,8.7,0.11,0.19,0.39
1632,-2.8,0.8,8.96,0.18,-0.01,0.52
1652,-0.73,-0.84,7.73,0.06,-0.01,0.33
1671,-0.73,-0.84,7.73,0.07,-0.1,0.27
