timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
18,-0.88,0.04,10.39,-0.06,0.09,-0.15
30,2.11,1.0,10.53,0.05,-0.11,0.17
51,2.14,-0.61,13.37,0.13,0.01,0.14
71,-1.72,1.04,7.51,0.12,0.18,0.24
91,-3.45,0.19,8.27,0.04,-0.07,0.13
111,1.07,-0.61,9.77,0.04,-0.06,0.24
131,0.5,-1.07,10.07,0.06,-0.09,0.25
150,0.23,0.77,11.8,0.03,0.11,0.1
171,0.42,-1.0,10.92,0.02,0.04,0.12
191,-2.68,1.65,6.78,0.01,0.11,0.11
212,0.04,-0.57,8.58,-0.1,-0.06,0.03
232,1.72,-0.27,13.14,-0.04,-0.15,0.13
252,-0.88,0.5,10.11,-0.0,0.22,0.07
271,-0.42,0.3,7.43,-0.1,0.01,0.07
291,-0.11,-0.54,10.45,-0.12,-0.01,0.0
311,-0.15,-1.07,10.5,-0.07,-0.01,0.05
332,0.92,-1.19,8.5,-0.07,-0.0,0.08
352,1.19,0.27,10.65,-0.08,0.1,0.15
370,0.08,-0.57,8.73,-0.04,0.0,0.27
391,-1.68,1.99,6.97,-0.15,0.04,0.23
411,1.19,-0.96,11.19,-0.09,-0.15,0.18
431,-1.42,-1.72,11.38,-0.04,0.19,0.11
451,-4.06,-0.11,5.66,-0.18,0.24,-0.01
472,0.5,0.08,11.11,-0.21,-0.02,-0.05
490,0.5,0.08,11.11,-0.12,-0.08,-0.14
511,-0.46,2.49,8.7,-0.18,0.15,-0.14
531,0.19,1.34,10.73,-0.25,0.08,-0.29
551,0.46,0.23,10.38,-0.21,0.08,-0.33
571,-1.95,1.38,7.12,-0.27,0.02,-0.3
592,-0.46,-1.53,6.4,-0.22,-0.06,-0.18
611,-0.23,-1.68,12.49,-0.11,-0.07,-0.07
631,0.73,-0.88,8.81,-0.06,0.01,-0.05
651,0.84,-0.77,8.84,-0.12,0.04,-0.09
671,-2.3,-0.38,11.99,-0.04,0.2,-0.02
691,-2.03,-0.04,7.55,-0.04,-0.12,0.1
712,-0.3,-0.5,6.66,-0.04,-0.12,0.2
732,1.46,-2.99,11.57,-0.06,0.02,0.15
751,1.46,-2.99,11.57,-0.04,0.05,0.15
771,-1.15,-1.07,6.86,-0.12,0.0,0.16
791,-1.15,-1.07,6.86,0.07,-0.13,0.16
811,-2.14,-2.57,9.84,0.05,0.22,0.29
831,-2.14,-2.57,9.84,-0.16,-0.01,0.07
852,-1.65,-0.8,9.69,-0.03,-0.08,0.33
871,-0.38,-0.8,9.77,-0.03,-0.12,0.28
891,0.19,0.42,10.07,-0.14,0.05,0.2
911,-1.19,-1.65,11.19,-0.14,0.08,0.08
931,-1.76,-0.61,9.35,-0.19,0.08,-0.07
951,-1.76,-0.61,9.35,-0.28,-0.0,-0.18
972,0.46,0.96,8.5,-0.29,-0.0,-0.25
991,-0.92,2.99,10.27,-0.27,0.1,-0.26
1011,-0.92,2.99,10.27,-0.38,0.11,-0.39
1031,-1.0,1.42,9.8,-0.41,0.09,-0.49
1050,-1.53,0.04,8.77,-0.37,0.13,-0.41
1071,0.19,-0.88,9.65,-0.35,-0.05,-0.45
1090,0.19,-0.88,9.65,-0.31,0.14,-0.34
1111,-0.46,1.27,11.46,-0.29,0.16,-0.35
1131,-0.46,1.27,11.46,-0.26,-0.02,-0.1
1151,3.71,-1.91,13.64,-0.18,-0.15,-0.08
1171,1.46,-3.52,11.72,-0.05,0.18,-0.07
1191,-0.61,0.08,7.36,-0.26,0.17,-0.13
1211,-0.61,0.08,7.36,-0.18,-0.0,-0.08
1231,0.0,-1.99,9.12,-0.16,-0.15,-0.12
1252,-0.69,-1.23,10.46,-0.15,-0.06,-0.04
1271,-0.69,-1.23,10.46,-0.14,0.12,-0.21
1291,-0.84,-0.54,10.11,-0.12,0.13,-0.18
1311,-0.84,-0.54,10.11,-0.24,0.11,-0.18
1331,0.5,0.69,8.23,-0.3,-0.24,-0.19
1351,0.5,0.69,8.23,-0.17,-0.17,-0.16
1371,0.5,0.69,8.23,-0.15,0.36,-0.26
1391,0.5,0.69,8.23,-0.31,-0.02,-0.3
1411,1.23,-1.8,12.83,-0.16,-0.13,-0.28
1431,1.23,-1.8,12.83,-0.14,0.2,-0.06
1451,-0.46,0.92,6.71,-0.22,-0.08,-0.06
1470,-0.46,0.92,6.71,-0.14,-0.04,-0.06
1490,0.0,0.38,11.26,-0.26,0.17,-0.33
1511,-0.57,1.34,8.43,-0.43,0.1,-0.47
1531,2.34,0.08,16.63,-0.35,-0.12,-0.64
1551,-1.72,1.84,9.92,-0.27,0.46,-0.69
1571,-5.67,3.79,-4.06,-0.6,0.16,-0.6
1590,5.05,-0.88,19.43,-0.44,-0.48,-0.25
1610,6.17,-4.29,20.8,-0.06,0.03,-0.34
1631,2.07,-3.45,10.61,-0.46,0.54,-0.61
1651,-1.49,-4.75,9.43,-0.53,0.43,-0.77
1671,3.87,-5.05,14.68,0.01,-0.09,-0.49
1691,-2.41,1.3,7.73,-0.14,0.16,-0.46
1711,-4.18,4.98,3.71,-0.45,0.15,-0.62
1730,-0.96,0.0,8.08,-0.2,-0.25,-0.34
1751,0.34,-0.27,14.1,-0.06,-0.3,-0.23
1771,-3.6,-1.0,10.34,-0.27,-0.11,-0.57
1791,-6.24,-0.77,12.53,-0.29,0.81,-0.59
1811,0.88,-4.06,6.36,-0.1,0.16,-0.53
1831,1.0,-2.45,8.39,-0.09,-0.48,-0.31
1850,-4.29,2.07,14.9,-0.1,0.36,-0.45
1871,-4.29,2.07,14.9,-0.07,0.37,-0.28
1891,0.34,-1.27,5.94,-0.15,-0.28,-0.46
1911,-0.92,0.34,8.78,-0.13,0.03,-0.83
1930,-3.26,3.29,7.27,-0.37,0.65,-0.84
1951,-0.08,1.61,13.52,-0.12,0.3,-0.76
1970,1.07,1.53,9.77,-0.08,-0.01,-0.47
1990,0.19,1.34,8.93,-0.18,0.06,-0.33
2011,1.0,-0.34,12.14,-0.12,0.25,-0.58
2031,-2.91,-4.45,8.42,-0.05,0.34,-0.51
2051,-1.61,-1.27,9.65,-0.08,0.25,-0.48
2071,-0.46,-2.91,9.23,-0.07,0.07,-0.5
2091,2.49,-1.27,14.25,0.01,0.11,-0.46
2110,-1.34,0.46,10.27,-0.05,0.37,-0.39
2131,-0.8,0.5,6.44,-0.08,0.01,-0.35
2151,-4.1,-0.84,9.0,-0.02,0.14,-0.29
2171,-1.07,-1.3,7.09,-0.04,0.01,-0.32
2191,-1.07,-1.3,7.09,-0.11,-0.03,-0.43
2211,0.5,0.11,13.64,-0.04,0.35,-0.6
2230,-0.42,-1.84,8.23,-0.11,0.28,-0.54
2251,-1.68,0.57,6.82,-0.16,0.01,-0.5
2270,1.99,-0.42,13.33,0.01,0.08,-0.5
2291,-1.95,-0.04,7.59,-0.16,0.07,-0.35
2311,-1.95,-0.04,7.59,-0.1,-0.04,-0.53
2331,-1.95,-0.04,7.59,-0.08,0.1,-0.58
2351,1.57,-0.5,9.5,-0.17,0.17,-0.67
2370,1.57,-0.5,9.5,-0.15,0.17,-0.82
2391,-1.11,-0.57,10.57,-0.07,0.24,-0.76
2411,0.3,0.5,8.23,-0.06,0.17,-0.76
2431,0.8,0.73,7.7,-0.19,0.12,-0.85
