timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
21,-0.8,0.42,9.58,0.07,-0.07,-0.05
36,-1.04,-0.23,11.38,0.05,-0.14,-0.01
57,-0.11,-0.34,9.77,0.08,-0.06,-0.02
76,-0.11,-0.34,9.77,0.08,0.02,-0.08
96,-0.73,-0.65,8.5,0.06,0.09,-0.1
116,-0.27,0.57,9.73,0.04,-0.09,-0.09
143,1.46,0.23,10.61,0.06,-0.07,-0.13
162,0.92,-0.15,9.77,0.03,0.03,-0.18
181,0.92,-0.15,9.77,0.05,0.13,-0.19
202,0.08,-0.54,9.27,0.06,-0.07,-0.12
222,1.04,-0.88,10.77,0.11,-0.03,-0.12
241,-1.3,-1.15,9.42,0.11,0.27,-0.05
261,-3.64,0.96,5.48,0.05,0.04,0.03
282,1.61,-1.65,13.91,0.13,-0.32,0.17
301,-1.84,-0.04,8.2,0.2,0.05,0.07
321,0.5,-0.19,8.73,0.02,0.08,-0.11
341,-1.68,-2.49,10.45,0.12,0.09,-0.02
361,-0.54,-0.5,10.35,0.12,-0.04,-0.04
381,-2.61,-0.08,9.42,-0.06,0.07,-0.02
402,-11.68,-1.88,10.5,0.12,-0.12,-0.04
422,-0.84,0.04,9.96,0.08,-0.04,-0.27
441,-1.11,1.19,9.43,0.07,0.11,0.03
461,-0.73,-0.23,7.93,0.04,-0.17,0.21
481,-0.73,-0.23,7.93,0.1,-0.13,0.23
501,-1.99,-0.8,9.61,0.07,0.05,0.19
521,0.88,-2.22,10.39,0.11,-0.06,0.27
541,-1.38,-1.0,9.77,0.1,0.09,0.31
561,0.57,-0.61,9.34,0.09,-0.06,0.29
581,-0.42,-1.15,9.54,0.06,-0.03,0.31
601,1.76,-1.72,8.7,0.05,-0.13,0.29
621,1.76,-1.72,8.7,0.03,0.03,0.26
641,1.19,-0.69,10.57,0.01,-0.01,0.22
662,-0.38,-0.11,9.35,-0.01,0.04,0.17
681,-2.8,0.96,4.75,-0.01,0.2,0.19
701,-0.92,-0.11,6.55,-0.11,-0.22,0.13
721,2.45,0.19,13.95,-0.09,-0.21,0.07
741,2.45,0.19,13.95,-0.03,0.25,0.03
761,-0.65,1.11,9.0,-0.18,0.19,-0.1
782,-1.68,-0.11,8.54,-0.15,0.02,-0.11
802,-1.8,0.46,8.84,-0.14,-0.13,-0.15
821,-1.8,0.46,8.84,-0.18,0.12,-0.21
841,0.46,1.23,10.69,-0.21,-0.03,-0.36
861,0.46,1.23,10.69,-0.16,0.13,-0.36
881,0.46,1.23,10.69,-0.15,0.05,-0.4
902,-1.65,0.73,8.23,-0.12,0.06,-0.34
922,-2.76,-0.54,8.54,-0.13,0.01,-0.41
941,-2.34,-1.3,8.89,-0.07,0.11,-0.37
961,0.38,-1.95,10.77,-0.01,-0.09,-0.32
981,0.38,-1.95,10.77,0.11,0.1,-0.1
1001,0.38,-1.95,10.77,0.15,-0.01,0.05
1021,0.38,-1.95,10.77,0.17,-0.11,0.17
1041,0.0,-2.49,8.43,0.19,-0.1,0.29
1061,0.08,-1.88,9.8,0.21,0.04,0.3
1081,0.08,-1.88,9.8,0.2,-0.08,0.41
1101,1.46,-1.57,10.53,0.19,-0.09,0.45
1121,1.46,-1.57,10.53,0.19,0.03,0.46
1141,1.46,-1.57,10.53,0.1,-0.03,0.38
1161,0.88,-0.46,10.61,0.04,-0.14,0.37
1181,0.88,-0.46,10.61,0.05,0.06,0.26
1201,0.88,-0.46,10.61,-0.03,0.05,0.16
1221,-2.38,0.54,8.12,-0.02,0.03,0.07
1241,-2.38,0.54,8.12,-0.06,-0.07,-0.1
1261,-2.38,0.54,8.12,-0.1,0.03,-0.2
1281,-2.38,0.54,8.12,-0.21,-0.02,-0.37
1301,1.42,1.95,11.3,-0.23,0.02,-0.4
1322,1.42,1.95,11.3,-0.26,0.15,-0.49
1341,-2.34,1.91,8.28,-0.26,0.07,-0.54
1361,-2.03,1.42,9.16,-0.27,-0.03,-0.52
1381,-0.61,-0.04,9.8,-0.26,-0.04,-0.62
1401,1.68,-1.07,11.53,-0.22,-0.03,-0.6
1421,-0.08,-1.3,10.07,-0.11,0.13,-0.51
1441,-2.87,-0.11,8.93,-0.11,0.2,-0.5
1461,-2.87,-0.11,8.93,-0.05,-0.08,-0.38
1481,-2.87,-0.11,8.93,0.03,-0.03,-0.24
1501,-0.3,-2.07,10.54,0.1,0.05,-0.13
1521,-1.19,-2.3,8.89,0.13,0.05,-0.07
1541,1.3,-2.07,10.54,0.16,-0.05,0.03
1562,1.19,-2.76,10.5,0.24,0.01,0.14
1581,-1.57,-2.03,8.08,0.27,0.09,0.17
1601,-0.69,-1.0,8.2,0.24,-0.13,0.24
1621,-0.88,-1.53,9.46,0.23,-0.1,0.3
1641,-1.19,-0.08,8.54,0.3,0.11,0.42
1661,-0.88,-2.03,9.08,0.25,0.01,0.43
1681,-0.34,-1.23,9.85,0.25,-0.09,0.48
1702,-0.92,-0.69,9.73,0.25,0.0,0.51
1721,-2.34,-0.34,8.7,0.19,-0.02,0.5
1741,0.08,-1.34,10.53,0.13,-0.07,0.45
1761,-2.99,-0.73,9.0,0.11,0.09,0.35
1780,-2.61,-0.5,8.78,0.1,0.06,0.32
1801,-0.73,0.11,9.04,0.05,-0.02,0.25
1821,-0.77,1.04,9.08,-0.04,0.0,0.11
1841,-2.26,0.27,8.42,-0.06,0.02,0.06
1861,-0.15,-1.0,10.73,-0.09,-0.1,0.01
1881,-2.76,0.77,8.31,-0.05,0.07,0.08
1900,-1.23,-0.11,10.11,-0.05,0.07,0.08
1920,-0.3,-0.46,9.96,-0.07,-0.08,0.13
1941,-0.57,-1.42,8.08,-0.07,-0.08,0.13
1961,-0.92,-1.11,10.69,-0.02,-0.06,0.17
1981,0.61,-1.65,9.43,-0.03,-0.06,0.13
2001,0.84,-1.15,11.04,-0.03,-0.06,0.13
2021,-2.38,-0.8,8.85,-0.06,0.08,0.01
2041,0.04,1.49,7.66,-0.12,-0.13,-0.12
2061,1.34,1.34,11.84,-0.14,-0.17,-0.14
2081,-1.07,0.73,9.88,-0.13,0.07,-0.19
2101,-0.54,1.15,9.84,-0.12,0.15,-0.19
2121,-2.57,0.46,7.7,-0.12,0.15,-0.19
2141,-0.46,0.34,9.35,-0.12,0.15,-0.19
2161,-0.54,0.73,7.86,-0.13,-0.01,-0.36
2181,0.27,0.77,8.77,-0.16,-0.04,-0.39
2202,1.19,-0.69,11.42,-0.15,-0.08,-0.38
2221,-1.23,0.77,10.69,-0.04,0.19,-0.26
2241,-2.38,-0.08,7.59,-0.04,0.19,-0.26
2261,-1.42,-0.34,9.2,-0.04,0.19,-0.26
2281,-1.72,-1.61,8.32,-0.05,-0.09,-0.13
2301,-2.03,-0.69,7.43,0.02,-0.11,-0.09
2321,0.04,-1.42,11.49,0.03,-0.14,-0.08
2341,-3.68,0.11,7.86,0.11,0.23,-0.03
2361,-0.23,1.61,8.92,0.11,0.23,-0.03
2381,-1.57,0.54,9.92,-0.06,-0.21,-0.15
2401,-0.57,0.88,9.96,-0.06,-0.21,-0.15
2421,-1.84,1.11,9.23,-0.06,-0.21,-0.15
2441,-1.04,1.04,9.54,-0.02,-0.09,-0.1
2461,1.57,-0.69,10.38,-0.02,-0.13,-0.1
2481,-0.8,-1.0,8.36,0.04,0.12,-0.03
2501,0.3,-1.04,9.58,0.04,0.12,-0.03
2521,1.72,-2.53,11.98,0.02,-0.17,0.04
2542,-2.26,-2.34,9.5,0.08,-0.04,0.05
2561,-0.5,-1.84,8.42,0.14,0.22,0.12
2581,-0.65,-1.23,7.89,0.16,-0.03,0.21
2601,-0.65,-0.42,9.81,0.13,0.01,0.26
2621,-1.88,-0.19,9.27,0.16,0.06,0.35
2641,0.84,-0.92,8.96,0.16,0.06,0.35
2662,-1.19,-1.0,9.58,0.16,0.06,0.35
2681,-0.92,-1.15,10.96,0.05,0.04,0.37
2701,-2.64,0.3,8.62,0.04,0.1,0.3
2721,-1.8,-0.27,8.2,0.02,0.07,0.28
2741,-1.88,0.15,9.85,-0.06,-0.06,0.19
2762,0.23,0.19,10.23,-0.08,-0.02,0.11
2782,-2.22,0.5,9.0,-0.06,0.0,0.09
2801,-3.41,-0.15,9.81,-0.09,0.02,0.0
2821,-0.96,-0.08,10.0,-0.14,-0.09,-0.07
2841,-1.8,-1.61,8.42,-0.11,0.07,-0.12
2861,-0.19,-0.27,9.96,-0.08,0.0,-0.12
2881,-0.61,-0.57,9.04,-0.09,-0.12,-0.12
2901,0.04,-1.46,10.95,-0.06,0.03,-0.13
2921,-0.57,0.08,10.69,-0.03,0.07,-0.11
2941,-2.11,-0.3,7.09,-0.04,0.03,-0.14
2961,0.11,-0.54,10.15,-0.06,-0.17,-0.15
2981,-0.73,0.15,10.27,-0.03,-0.0,-0.22
3001,0.23,1.07,9.96,-0.03,0.19,-0.21
3021,-2.03,-0.19,8.31,-0.03,0.19,-0.21
3042,-1.0,1.68,9.16,-0.01,0.07,-0.21
3061,-0.69,0.15,9.38,-0.04,-0.03,-0.24
3081,0.57,-0.11,10.04,-0.06,-0.02,-0.29
3101,-1.49,-1.61,9.46,0.02,0.18,-0.23
3122,0.19,-0.88,10.15,0.0,0.11,-0.24
3142,-1.23,-0.23,7.85,0.07,0.07,-0.13
3162,-0.5,-0.08,8.2,0.08,0.04,-0.04
3181,-1.46,-1.19,8.2,0.06,-0.04,0.04
3201,0.23,-1.34,11.11,0.09,-0.12,0.05
3221,-0.69,-1.49,9.73,0.17,0.08,0.11
3242,-2.26,-1.11,8.5,0.11,0.0,0.05
3262,-1.19,0.57,9.31,0.05,-0.14,0.01
3282,-1.76,0.23,8.84,0.06,-0.03,-0.02
3302,-1.88,1.27,10.31,0.07,0.07,-0.05
3321,-1.3,1.15,8.78,0.04,-0.04,-0.05
3341,-0.34,1.19,9.54,-0.0,-0.03,-0.07
3361,-1.57,0.11,10.07,0.01,0.08,-0.01
3381,-1.23,0.57,8.08,-0.01,-0.04,0.04
3402,1.91,-1.8,12.18,-0.01,-0.16,0.08
3422,-1.23,-2.07,10.45,0.01,-0.1,0.1
3441,0.19,-1.38,8.96,0.08,0.07,0.14
3461,0.08,-2.87,8.77,0.08,-0.03,0.16
3481,-0.77,-1.27,8.96,0.12,-0.05,0.18
3501,-0.73,-0.88,8.89,0.15,0.0,0.27
3521,1.65,-1.11,9.5,0.13,-0.01,0.29
3542,-0.19,-0.23,9.65,0.08,-0.12,0.3
3561,-1.23,0.54,9.39,0.08,0.12,0.32
3581,-2.99,0.84,7.24,0.05,0.02,0.35
3601,-2.45,0.73,7.93,-0.04,-0.12,0.28
3622,-1.95,-1.46,9.0,-0.05,-0.03,0.21
3641,0.08,-1.42,12.22,-0.09,-0.06,0.14
3662,-2.26,0.46,9.77,-0.06,-0.0,0.15
3681,-2.72,0.34,8.39,-0.04,0.11,0.11
3701,0.23,-0.3,10.91,-0.12,-0.14,0.04
3722,-0.96,-0.34,10.27,-0.1,0.04,0.0
3741,-1.99,-0.46,9.46,-0.1,0.02,-0.1
3761,-1.99,-0.46,9.46,-0.1,-0.04,-0.13
3781,-0.08,-0.77,9.12,-0.11,-0.03,-0.18
3802,-2.26,0.19,8.32,-0.08,-0.04,-0.18
3821,-3.75,-0.27,7.05,-0.04,0.06,-0.13
3841,0.92,-1.04,9.65,-0.05,-0.26,-0.09
3861,1.57,-1.65,12.02,0.0,0.03,-0.1
3881,-2.72,-0.84,9.38,0.04,0.2,-0.08
3901,-0.38,-0.65,9.89,-0.01,-0.05,-0.14
3922,-0.04,-0.38,11.57,0.01,0.05,-0.08
3941,1.15,0.27,10.07,0.04,-0.01,-0.01
3961,1.49,-0.5,10.65,0.02,-0.05,0.02
3981,0.57,-0.73,9.65,0.02,0.03,0.08
4001,0.27,-0.04,9.8,0.02,0.05,0.08
4021,0.27,-0.04,9.8,0.08,0.07,0.07
4042,-1.53,-0.38,7.35,0.04,0.01,0.0
4062,-2.49,-0.54,8.84,0.03,0.02,-0.1
4081,-2.49,-0.54,8.84,-0.0,-0.0,-0.22
4101,-0.65,1.34,10.19,0.02,0.18,-0.21
4121,-2.61,1.84,8.66,-0.04,0.12,-0.27
4141,-2.61,1.84,8.66,-0.09,-0.12,-0.26
